蒸し暑い,"むしあつい「CHƯNG THỬ」 humid / nóng ẩm, oi bức
今日は湿度が高くて、蒸し暑い。
Hôm nay độ ẩm cao, trời oi bức"
温度計,"おんどけい「ÔN ĐỘ KẾ」 nhiệt kế
この温度計は湿度も測れる。
Nhiệt kế này có thể đo cả độ ẩm
＋湿度計：しつどけい：độ ẩm kế"
プラス,"plus / higher , dương ,tăng
明日の気温は、今日と比べてプラス3度らしい。
Nghe nói nhiệt độ ngày mai tăng 3 độ so với hôm qua"
マイナス,"minus, lower / âm, giả
①今日の気温は、昨日と比べてマイナス10℃だった。
Nhiệt độ ngày hôm nay giảm 10 độ so với ngày hôm qua
②明日の朝の気温は、マイナスになるだろう。
Nhiệt độ sáng mai có lẽ sẽ xuống âm"
凍る,"こおる「ĐỐNG」 to freeze, đóng băng
道が凍っていて、とても危ない。
Đường đóng băng, rất nguy hiểm"
氷,"こおり「BĂNG」 ice/ băng, đá
夏、冷凍庫で氷を作っておく。
Mùa hè, tôi làm sẵn đá bằng tủ đông"
冷える,"ひえる「LÃNH」 to chill / lạnh, cóng
天気予報によると、夕方から冷えるらしい。
Theo dự báo thời tiết, từ chiều tối trời sẽ lạnh"
けっこう,"pretty, quite / khá
今週、けっこう寒い日が続いている。
Tuần này, những ngày khá lạnh sẽ kéo dài"
非常な,"ひじょうな「PHI THƯỜNG」 severely, extremely / rất
今年の夏は、非常に暑くなりそうだ。
Mùa hè năm nay có vẻ sẽ rất nóng"
夏日,"なつび「HẠ NHẬT」 summer day, ngày hè nhiệt độ trên 25
今日は、今年初めての夏日になった。
Hôm nay sẽ ngày hè đầu tiên trong năm trên 25 độ"
真夏日,"まなつび「CHÂN HẠ NHẬT」 tropical day, ngày hè nóng trên 30 độ
今年は、真夏日が多いそうだ。
Nghe nói năm nay những ngày hè nóng trên 30 độ nhiều"
猛暑日,"もうしょび「MÃNH THỬ NHẬT」 extremely hot day, ngày hè cực nóng trên 35 độ
猛暑日が続いているので、体に気をつけている。
Những ngày hè nóng trên 35 độ kéo dài nên chú ý giữ gìn sức khỏe"
冬日,"ふゆび「ĐÔNG NHẬT」 chilly day / ngày đông nhiệt độ dưới âm độ
冬日には、手袋もマフラーも必要だ。
Trong ngày đông nhiệt độ âm cần cả găng tay và khăn quàng ."
真冬日,"まふゆび「CHÂN ĐÔNG NHẬT」 ice day / ngày nhiệt độ âm cao nhất trong ngày
東京で、真冬日はとても珍しい。
Ở tokyo rất hiểm những ngày đông nhiệt độ cao nhất dưới 0 độ"
暖冬,"だんとう「NOÃN ĐÔNG」 warm winter / mùa đông ấm
今年は暖冬で、雪が少ない。
Năm nay mùa đông ấm tuyết rơi ít."
冷夏,"れいか「LÃNH HẠ」 cold summer / mùa hè mát
冷夏になると、海に行く人が減る。
Khi mùa hè mát hơn mọi năm, những người đi biển giảm"
せっかく,"at great pains / chẳng mấy khi, được
せっかくの休みなのに、天気が悪く寒い。
Được ngày nghỉ mà thời tiết vừa xấu vừa lạnh"
