伝わる,"つたわる「TRUYỀN」　to be communicated / được truyền đi
インターネットで、世界にニュースが伝わる。
Tin thời sự đc truyền đi thế giới qua mạng net
（～を）伝える：つたえる：to pass along / truyền, truyền đạt"
うわさ,"rumor / lời đồn, tin đồn
悪いうわさは、あっという間に伝える。
Tin đồn xấu chắng mấy chốc đc truyền đi"
記事,"きじ「KÍ SỰ」 / article / bài, bài báo
新聞で、興味のある記事だけを読んでいる。
Tôi chỉ đọc các bài mà tôi quan tâm trên báo"
週刊誌,"しゅうかんし「CHU KHAN CHÍ」 / weekly magazine / tuần báo
この週刊誌は、経済の専門雑誌だ。
Tuần báo này là tạp chí chuyên về kinh tế
＋月刊誌：げっかんし：nguyệt san"
政治家,"せいじか「CHÁNH TRÌ GIA」 /politician / chính trị gia
政治家のインタビュー記事を読む。
Tôi đọc bài phỏng vấn 1 chính trị gia"
政府,"せいふ「CHÁNH PHỦ」 / government / chính phủ
政府から大切な発表があった。
Có 1 công bố quan trọng từ chính phủ"
市民,"しみん「THỊ DÂN」 / citizen / người dân, công dân
広場に多くの市民が集まった。
Nhiều người dân đã tập trung ở quảng trường
＋国民：こくみん： a people / người dân, nhân dân"
立場,"たちば 「LẬP TRÀNG」position / lập trường
あの政治家は、国民の立場で話をする。
Chính trị gia ấy nói chuyện trên lập trường của người dân"
世の中,"よのなか 「THẾ TRUNG」/ world / thế gian, xã hội
みんな暮らしやすい世の中になってほしい。
Tôi mong trở thành 1 xã hội mà ở đó tất cả mọi người đều dễ sống
＝社会：しゃかい"
重大な,"じゅうだいな 「TRỌNG ĐẠI」/ serious / important / rất quan trọng, trọng đại
車の会社が重大な発表をした。
Công ty xe hơi đã ra 1 công bố rất quan trọng"
重要な,"じゅうような「TRỌNG YẾU」 / important / quan trọng
今日は重要なニュースが多かった。
HÔm nay có nhiều tin thời sự quan trọng"
大して,"たいして「ĐẠI」 / (not so) much, (not) very / đặc biệt, to tát
この番組は、日本語の勉強に大して役に立たない。
Chương trình này ko giúp ích gì đặc biệt trong việc học tiếng Nhật
＋大したことがない：nothing special / ko có gì đặc biệt"
くだらない,"trivial / vở vẩn, tầm thường, chẳng ra gì
くだらない番組を、つい見てしまう。
Biết thế mà vẫn cứ xem cái chương trình vớ vẩn"
司会者,"しかいしゃ「TI HỘI GIẢ」 / host / người dẫn chương trình / MC
春から、番組の司会者がかわった。
Từ mùa xuân người dẫn chương trình đã thay đổi
＋司会：しかい：host / sự dẫn chương trình"
生放送,"なまほうそう「SANH PHÓNG TỐNG」 / live broadcast/ truyền hình trực tiếp
生放送の途中で、何か問題が起きたらしい。
HÌnh như đã xảy ra vấn đề gì đó khi đang truyền hình trực tiếp
＝ライブ
＋再放送：さいほうそう：rerun / phát lại"
商品,"しょうひん「THƯƠNG PHẨM」 / goods, merchandise / sản phẩm
この商品は、とても売れている。 
Sản phẩm này bán rất chayh
＋新商品：Sản phẩm mới"
発売,"はつばい「PHÁT MẠI」 / bám ra, bắt đầu bán
明日、新しいゲームが発売される。
Ngày mai, game mới sẽ bắt đầu được bán
＋新発売： đợt bán mới"
評判,"ひょうばん「BÌNH PHÁN」 / reputation / đánh giá
新しい出版された雑誌は、評判がいい。
Tạp chí mới xuất bản được đáng giá tốt"
注目,"ちゅうもく「CHÚ MỤC」 notice, attention / dồn sự chú ý
世界中の人が、その女優に注目している。
Mọi người trên thế giới đang dồn sự chú ý đến nữ diễn viên ấy"
ヒット,"hit, hot / gây sốt, nhiều người thích
今一番ヒットしている曲をダウンロードした。"
やっぱり,"as I Thought / quả là, đúng là
A「あの二人は結婚するそうですね。」
B「やっぱり二人は付き合っていたんですね。」
＝やはり"
まさか,"no way, cannot be / lẽ nào lại vậy
A「あの番組の司会者が、昨日入院したって。」
B「まさか。あんなに元気だったのに。」
nghe nói MC của chương trình đó nhập viện ngày hôm qua
Lẽ nào lại vậy, anh ấy trông khỏe thế kia mà"
やっと,"finally / cuối cùng, mãi cũng
A国とB国の問題が、やっと解決された。"
結句,"けっきょく「KẾT CÚ」 / ultimately , in the end / kết cục, cuối cùng
結句、この記事はうそだった。"
