表現,"ひょうげん「BIỂU HIỆN」 expression / sự diễn đạt, thể hiện, cách nói
私は、気持ちをうまく表現できない。"
あがる,"become nervous / căng thẳng , hồi hộp
スピードであがって、内容を忘れてしまった。
＝緊張する：きんちょう："
あせる,"to be flustered / cuống, rối trí
あせらないで、ゆっくり話してください。
＋あせり：impatience / sự cuống , rối trí"
そわそわ,"resless / sợ bồn chồn, sốt ruột
兄は朝から、そわそわしている。"
我慢,"がまん「NGÃ MẠN」 endurance / sự chịu đựng
お腹が空いて、もう我慢できない。"
自慢,"じまん「TỰ MẠN」 boastful / sự tự hào, hãnh diện
彼は家族のことを、よく自慢している。"
感心,"かんしん「CẢM TÂM」 concern, interest / quan tâm
私は政治に、全然感心がない
＋無関心：disinterest / ko quan tâm"
機嫌,"きげん「KI HIỀM」 mood, spirit / tâm trạng
今日、部長は機嫌がいい。
＋不機嫌：ふきげん：bad mood, tâm trạng ko vui
＋上機嫌：じょうきげん：good mood, tâm trạng tốt"
平気,"へいき「BÌNH KHÍ」 calmness/ sự bình thản
彼は平気そうな顔をしているが、本当の気持ちはわからない。"
本気,"ほんき「BỔN KHÍ」 seriousness / sự thật lòng
その人が本気かどうか、目を見ればわかる。"
迷う,"まよう「MÊ」 to get loss, lạc
映画館に行きたいが、道に迷ってしまった。"
迷い,"まよい「MÊ」 being lost / phân vân
留学したいと思っているが、気持ちに迷いがある。"
微妙,"びみょう「VI DIỆU」 subtle, complicated / khó tả
うれしいのか、さびしいのか微妙な気持ちだ。"
魅力,"みりょく「MỊ LỰC」 charm / vẻ hấp dẫn
彼女のきれいな目に、魅力を感じだ。
＋魅力的な：みりょくてきな：charming , hấp dẫn"
本音,"ほんね「BỔN ÂM」 true feeling / suy nghĩ thực lòng, lòng dạ
日本人は、なかなか本音を言わない。
＜＞建前"
ましな,"better / còn tốt hơn
あんな人の下で働くくらいなら、辞めるほうがまじだ。"
涙,"なみだ「 LỆ」 tear / nước mắt
家族を思い出して、ときどき涙が出る。"
憎む,"にくむ「TĂNG」 to hate / hận, căm thù
彼を愛していたが、今は憎んでいる。
＋憎い：にくい：hate / căm ghét"
カウンセリング,"counseling / sự tư vấn, tư vấn tâm lý
カウンセリングを受けると、気持ちが楽になる。"
