配った (くばった);Phát, phân phát
石油 (せきゆ);Dầu mỏ
父母 (ふぼ);Bố mẹ
主要 (しゅよう);Chủ yếu
加熱 (かねつ);Gia nhiệt, đun nóng
深く (ふかく);Sâu
感情的 (かんじょうてき);Cảm tính
残さない (のこさない);Không để lại
順番 (じゅんばん);Thứ tự
勤めて (つとめて);Làm việc tại
左右 (さゆう);Trái phải
負けて (まけて);Thua
逆 (ぎゃく);Ngược lại
運休 (うんきゅう);Ngưng chạy
汗 (あせ);Mồ hôi
マイク;Micro
覚めて (さめて);Tỉnh giấc
あやしい;Đáng ngờ
派手な (はでな);Lòe loẹt
禁止 (きんし);Cấm
隠した (かくした);Giấu đi
一応 (いちおう);Tạm thời
検討=よく考える;Xem xét, cân nhắc
企業=会社;Công ty
バック=後ろに下がる;Lùi lại
一流=素晴らしい;Hàng đầu
ようやく=やっと;Cuối cùng
内容;Nội dung
活動;Hoạt động
落ち着く;Bình tĩnh
ぐっすり;Ngủ say
性格;Tính cách
割って (わって);Làm vỡ
基本 (きほん);Cơ bản
横 (よこ);Bên cạnh, bên
最初 (さいしょ);Đầu tiên
返しました (かえしました);Trả lại
包丁 (ほうちょう);Dao làm bếp
適当 (てきとう);Thích hợp
家具 (かぐ);Đồ nội thất
解いて (といて);Giải quyết
腰 (こし);Eo, hông
受験 (じゅけん);Thi tuyển
低かった (ひくかった);Thấp
方向 (ほうこう);Hướng
影響 (えいきょう);Ảnh hưởng
うらやましい;Ghen tỵ
我慢 (がまん);Chịu đựng
消極的 (しょうきょくてき);Tiêu cực
経由 (けいゆ);Quá cảnh, ghé qua
仲 (なか);Quan hệ
取り出した (とりだした);Lấy ra
一度に (いちどに);Một lần
アクセス;Truy cập, đi lại thuận tiện
あきらめた;Từ bỏ
うろうろ;Lảng vảng, loanh quanh
売り切れ=ほとんど売れました;Bán hết
カーブ=曲がって;Cong, cua
退屈=つまらない;Buồn chán
さっそく=すぐに;Ngay lập tức
ゆるい=大きい;Lỏng
知識;Kiến thức
ひびく;Vang vọng, cộng hưởng
完成;Hoàn thành
あわてる;Vội vàng
実物;Vật thực tế
汚して (よごして);Làm bẩn
選手 (せんしゅ);Tuyển thủ
月末 (げつまつ);Cuối tháng
産業 (さんぎょう);Công nghiệp
朝刊 (ちょうかん);Báo sáng
断った (ことわった);Từ chối
広場 (ひろば);Quảng trường
降りました (おりました);Xuống (tàu, xe)
帰宅 (きたく);Về nhà
細かく (こまかく);Nhỏ, chi tiết
法律 (ほうりつ);Pháp luật
空 (から);Trống rỗng
会費 (かいひ);Hội phí
ヒント;Gợi ý
想像 (そうぞう);Tưởng tượng
振って (ふって);Vẫy tay
きちんと;Ngăn nắp
感覚 (かんかく);Cảm giác
効果的 (こうかてき);Hiệu quả
おたがいに;Lẫn nhau
番 (ばん);Lượt, phiên
制限 (せいげん);Hạn chế
なめて;Liếm
避難=にげて;Tránh, lánh nạn
案=アイデア;Ý tưởng
だまって=話さなかった;Im lặng
ベスト=最もよい;Tốt nhất
配達=届けて;Giao hàng
診察;Khám bệnh
行き先;Nơi đến
取り消す;Hủy bỏ
共通;Chung
復習 (ふくしゅう);Ôn tập
小型 (こがた);Nhỏ gọn
疑って (うたがって);Nghi ngờ
細く (ほそく);Hẹp, nhỏ
退院 (たいいん);Xuất viện
夫婦 (ふうふ);Vợ chồng
留守 (るす);Vắng nhà
短気 (たんき);Nóng tính
心配 (しんぱい);Lo lắng
焼いて (やいて);Nướng
必ず (かならず);Nhất định
制服 (せいふく);Đồng phục
平気 (へいき);Bình thản
めんどうくさい;Phiền phức
あくび;Ngáp
テーマ;Chủ đề
差 (さ);Sự chênh lệch
うっかり;Bất cẩn
可能 (かのう);Có thể
期限 (きげん);Hạn chót
