知識,"ちしき「TRI THỨC」 kiến thức
もっといろいろな知識を増やしたい。
Tôi muốn tăng cường nhiều kiến thức hơn nữa"
理解,"りかい「LÍ GIẢI」 sự lý giải, hiểu
前より早く日本語が理解できるようになった。
Tôi bắt đầu hiểu tiếng Nhật nhanh hơn trước"
目指す,"めざす「MỤC CHỈ」 nhắm tới, lấy mục tiêu
N3合格を目指して毎日がんばっている。
Lấy mục tiêu thi đỗ N3 hằng ngày tôi cố gắng học tập"
試す,"ためす「THÍ」 to test, to try, thử
練習問題で自分の実力を試してみよう。
Tôi sẽ thử thực lực của mình bằng bài test"
自信,"じしん「TỰ TÍN」 tự tin
日本語の日常会話に自信がある。
Trong hội thoại thông thường bằng tiếng Nhật thì tôi tự tin"
やる気,"やるき「KHÍ」 hứng làm
やる気はあるが、なかなか集中できない。
Có hứng làm nhưng mãi ko thể tập trung"
くやしい,"cay cú, ấm ức, tiếc
９４点で不合格だった。とてもくやしい。
94 điểm và bị rớt. Tôi rất tiếc"
レベル,"trình độ
早くN1ラベルの勉強をしたい。 
Tôi muốn nhanh chóng học trình độ N1
＋生活レベル：せいかつレベル：mức sống"
利口,"りこう「LỢI KHẨU」 khôn ngoan, lanh lợi
弟は利口で、医者になることを目指している。
Em trai tôi lanh lợi và hướng dẫn mục tiêu trở thành bác sĩ
＜＞ばか：ngu ngốc"
さっそく,"ngay, luôn
勉強した単語を、さっそく使ってみる。
Tôi thử dùng luôn từ đã học"
ざっと,"qua, lướt qua
テスト前に教科書をざっと復習した。
Tôi đã ôn sách giáo khoa trước bài kiểm tra"
しっかり,"nghiêm chỉnh, cẩn thận
彼は毎日しっかり予習も復習もしている。
Hằng ngày anh ta đều ôn bài và học trước bài cẩn thận"
じっくり,"thong thả
時間はあるので、じっくり解いてください。
Có thời gian nên hãy thong thả làm bài"
相当,"そうとう「TƯƠNG ĐƯƠNG」 tương đối
今日のテストは、相当難しいかった。
Bài kiểm tra ngày hôm nay tương đối là khó"
まあまあ,"cũng được, tạm được
この問題で８０点なら、まあまあだろう。
Với bài này mà dc 80 điểm thì có lẽ cũng được"
努力,"どりょく「NỖ LỰC」 sự nỗ lực, cố gắng
努力すれば、きっといい結果になる。
Nếu cố gắng nhất định sẽ cho kết quả tốt"
なまける,"lười
昨日の夜なまけたので、テストの点が悪かった。
Đêm qua tôi lười nên điểm kiểm tra thấp
＋怠け者：なまけもの：kẻ lười"
得意な,"とくい「ĐẮC Ý」 giỏi, tốt
努力したので、会話も得意になった。
Vì đã nỗ lực nên hội thoại của tôi cũng trở nên học giỏi"
苦手,"にがて（な）「KHỔ THỦ」 yếu
苦手な科目は作文だ。
Môn học yếu của tôi là tập làm văn"
マスター,"sự thành thạo
外国語をマスターするのは大変だ。
Để thành thạo ngoại ngữ rất vất vả"
問い合わせ,"といあわせる: hỏi, thắc mắc
日本語能力試験について、電話で問い合わせた
Tôi gọi dt hỏi về kỳ thi năng lực tiếng Nhật
＋問い合わせ：といあわせ：sự hỏi, thắc mắc"
