肌,CƠ - 訓: はだ - 音: キ - 故事: Phần thịt (月) ở trên bàn (几) là da CƠ (肌) - Ví dụ: 肌 (はだ) / 肌着 (はだぎ) / 素肌 (すはだ)
粧,THOA / TRANG - 音: ショウ - 故事: Gạo (米) để trang (庄) điểm cho khuôn mặt - Ví dụ: 化粧 (けしょう) / 化粧室 (けしょうしつ) / 化粧品 (けしょうひん)
髪,PHÁT - 訓: かみ - 音: ハツ - 故事: Người bạn (友) có mái tóc dài (長) là tóc PHÁT (髪) - Ví dụ: 髪 (かみ) / 髪の毛 (かみのけ) / 金髪 (きんぱつ) / 間一髪 (かんいっぱつ)
華,HOA - 音: カ / ケ - 故事: Cỏ (艹) nở hoa rực rỡ như hoa HOA (華) - Ví dụ: 華やか (はなやか) / 豪華 (ごうか) / 華道 (かどう)
鏡,KÍNH - 訓: かがみ - 音: キョウ - 故事: Kim loại (金) đứng (立) dưới ánh mặt trời (日) để soi gương KÍNH (鏡) - Ví dụ: 鏡 (かがみ) / 鏡台 (きょうだい) / 望遠鏡 (ぼうえんきょう)
勢,THẾ - 訓: いきおーい - 音: セイ - 故事: Dùng lực (力) để trồng cây (執) tạo ra THẾ (勢) trận - Ví dụ: 勢い (いきおい) / 姿勢 (しせい) / 大勢 (おおぜい)
柔,NHU - 訓: やわーらか / やわーらかい - 音: ジュウ / ニュウ - 故事: Cây (木) có mâu (矛) nhọn nhưng lại rất mềm NHU (柔) - Ví dụ: 柔らかい (やわらかい) / 柔道 (じゅうどう) / 柔軟 (じゅうなん)
軟,NHUYỄN - 訓: やわーらか / やわーらかい - 音: ナン - 故事: Cái xe (車) bị thiếu (欠) hơi nên rất mềm NHUYỄN (軟) - Ví dụ: 軟らかい (やわらかい) / 軟弱 (なんじゃく) / 柔軟性 (じゅうなんせい)
帽,MẠO - 音: ボウ - 故事: Khăn (巾) đội trên đầu mặt (冒) là cái mũ MẠO (帽) - Ví dụ: 帽子 (ぼうし) / 脱帽 (だつぼう)
傘,TẢN / TẢN - 訓: かさ - 音: サン - 故事: Bốn người (人人人人) đứng dưới mái che là cái ô TẢN (傘) - Ví dụ: 傘 (かさ) / 雨傘 (あまがさ) / 日傘 (ひがさ)
革,CÁCH - 訓: かわ - 音: カク - 故事: Da động vật phơi khô để cải CÁCH (革) thành đồ dùng - Ví dụ: 革 (かわ) / 革命 (かくめい) / 改革 (かいかく) / 革製品 (かわせいひん)
靴,NGOA - 訓: くつ - 音: カ - 故事: Da (革) biến hóa (化) thành đôi giày NGOA (靴) - Ví dụ: 靴 (くつ) / 靴下 (くつした) / 製靴 (せいか)
柄,BÍNH - 訓: がら / え - 音: ヘイ - 故事: Cây (木) mọc hướng về phía Nam (南) là cái cán/họa tiết BÍNH (柄) - Ví dụ: 柄 (がら) / 花柄 (はながら) / 横柄 (おうへい)
装,TRANG - 訓: よそおーう - 音: ソウ / ショウ - 故事: Sĩ (士) tử mặc trang (壮) phục bằng vải (衣) là TRANG (装) điểm - Ví dụ: 装う (よそおう) / 服装 (ふくそう) / 装置 (そうち)
慣,QUÁN - 訓: なーれる / なーらす - 音: カン - 故事: Trái tim (忄) đã QUÁN (慣) với việc đếm tiền (貝) xuyên suốt (貫) - Ví dụ: 慣れる (なれる) / 習慣 (しゅうかん) / 慣習 (かんしゅう)
競,CẠNH - 訓: きそーう / せーる - 音: キョウ / ケイ - 故事: Hai người (兄) đứng lên (立) để tranh CẠNH (競) - Ví dụ: 競う (きそう) / 競争 (きょうそう) / 競馬 (けいば)
養,DƯỠNG - 訓: やしなーう - 音: ヨウ - 故事: Nuôi con cừu (羊) để ăn (食) là nuôi DƯỠNG (養) - Ví dụ: 養う (やしなう) / 栄養 (えいよう) / 養成 (ようせい)
課,KHÓA - 音: カ - 故事: Dùng lời nói (言) để thực hiện kết quả (果) là phân KHÓA (課) - Ví dụ: 課 (か) / 課題 (かだい) / 課長 (かちょう) / 課税 (かぜい)
論,LUẬN - 音: ロン - 故事: Dùng lời nói (言) để thảo LUẬN (論) về những cuốn sách được xếp (侖) lại - Ví dụ: 論文 (ろんぶん) / 結論 (けつろん) / 議論 (ぎろん) / 理論 (りろん)
