受付,"うけつけ「THỤ PHÓ」 quầy lễ tân
受付で名前を書かないと、会社の中に入れない。
Nếu ko ghi tên ở quầy lễ tân thì ko vào đc cty
＋受け付ける：うけつける：tiếp nhận"
ミーティング,"meeting / cuộc họp
3時からのミーティングには、社長も出席する。
Giám đốc cũng tham dự cuộc họp vào lúc 3 giờ"
話し合う,"はなしあう「THOẠI HỢP」 to discuss, nói chuyện vs nhau, bàn bạc
来月のイベントについて、みんなで話し合った。
Tất cả đã nói chuyên vs nhau về sự kiện của tháng tới"
調整,"ちょうせい「ĐIỀU CHỈNH」 adjustment, sự diều phối, sắp xếp, dàn xếp
出張のスケジュールを調整した。
Tôi đã sắp xếp lịch trình công tác"
能力,"のうりょく「NĂNG LỰC」 ability , nâng lực
A社では、能力のある外国人を採用している。
Ở cty A tuyển dụng những người nước ngoài có năng lực"
役割,"やくわり「DỊCH CÁT」 role, vai trò
一人一人の役割を、しっかり決めましょう。
Chúng ta hãy qui định rõ ràng vai trò của từng người"
もうかる,"có lời, lời lãi
会社がもうかるためには、アイディアが必要だ。
Cần có ý tưởng để cty lời lãi
＋（～を）もうける：to make a profit / kiếm tiền, kiếm lời"
通勤,"つうきん「THÔNG CẦN」 sự đi làm ( chỉ việc đi và về)
通勤に往復で4時間もかかる。
Mất những 4 tiếng đi làm vừa đi vừa về"
早退,"そうたい「TẢO THỐI」 leaving early, sự về sớm
かぜをひいたので、3時くらいに早退した。
Tôi đã bị cảm nên về sớm tầm 3 giờ"
無断,"むだん「VÔ ĐOẠN」 ko xin phép
社会人が無断で休むなんて、信じられない。
KO thể tin được là nv nghỉ mà ko xin phép"
社会人,"しゃかいじん「XÃ HỘI NHÂN」 người đi làm
弟は、今年の春から社会人になる。
Em trai tôi sẽ trở thành người đi làm từ mùa xuân năm nay"
一人一人,"「ひとりひとり」「NHẤT NHÂN NHẤT NHÂN」 từng người từng người
社長が一人一人の意見を聞いた
Giám đốc nghe ý kiến từng người một"
印鑑,"いんかん「ẤN GIÁM」 seal, con dấu
銀行の書類のために、印鑑が必要だ。
Cần có con dấu để làm giấy tờ ngân hàng
＋はんこ：seal, con dấu"
インタビュー,"interview, phỏng vấn
テレビ番組のインタビューで、仕事について聞かれた
Tôi bị hỏi về cv trong cuộc phỏng vấn của một chương trình truyền hình"
アンケート,"survey, cuộc điều tra, khảo sát, thăm dò
会社で商品に関するアンケートを取った。
Ở cty đã làm cuộc khảo sát liên quan đến sản phẩm"
回答,"かいとう「HỒI ĐÁP」 answer, sự trả lời, hồi đáp
ほとんどの社員が、アンケートに回答した。
Hầu hết nhân viên đều trả lời khảo sát"
ノック,"knock, gõ cửa
部屋に入るときは、ドアをノックしてください。
Hãy gõ cửa khi vào phòng"
月末,"げつまつ「NGUYỆT MẠT」 cuối tháng
この会社では月末が給料日だ。
Cty này phát lương cuối tháng"
確かめる,"たしかめる「XÁC」 to confirm, kiểm tra lại, xác nhận
書類を受け取ったら、必ず内容を確かめる。
Khi nhận giấy tờ nhất định phải kiểm tra nội dung"
確かに,"たしかに「XÁC」 surely, truly, chắc là, đúng là
A「今日は社長が出張なので、会議は明日にしましょう。」 Hôm nay giám đốc đi công tác nên chúng ta hãy để cuộc họp vào ngày mai đi
B「確かにそのほうがいいですね。」
Chắc là nên như thế nhỉ"
とっくに,"long ago, đã, từ lâu rồi
A「部長は？」 Trưởng phòng đâu rồi
B「とっくに帰りましたよ。1時間くらい前に。」
Về từ lâu rồi mà, khoảng 1 tiếng trước"
失業,"しつぎょう「THẤT NGHIỆP」 sự thất nghiệp
兄は先月会社を辞めて、今失業中だ。
Anh trai tôi đã nghỉ việc từ tháng trước, bây giờ đang thất nghiệp"
