日にち,"ひにち/ day / the number of days, ngày
シアーの申し込みの締め切りまで日にちがない。
Chẳng còn bao nhiêu ngày là đến hạn chót đăng ký chuyến du lịch"
日帰り,"ひがえり「NHẬT QUY」 day trip, du lịch trong ngày
大阪に日帰りで出張する。
Tôi đi công tác Osaka về trong ngày
＋日帰り旅行：ひがえりりょこう：du lịch đi về trong ngày"
泊まり,"とまり「BẠC」 staying at, trọ, nghỉ
土曜日に、泊まりで温泉に行った。
Thứ bảy, tôi đã đi tắm suối nóng và nghỉ lại"
宿泊,"しゅくはく「TÚC BẠC」 lodging, sự trọ, nghỉ
交通費と宿泊代で、５万円くらいかかる。
Tiền đi lại và tiền trọ mất khoảng 5man yên"
滞在,"たいざい「TRỆ TẠI」 stay, ở, lưu trú
アメリカに滞在中、友達と会う予定だ。
Tôi dự định gặp bạn bè trong thời gian ở mỹ"
団体,"だんたい「ĐOÀN THỂ」 group/organnization, đoàn
団体で旅行するときは、時間を守ってください。
Khi đi du lịch theo đoàn, hãy tuân thủ thời gian
＜＞個人：こじん：cá nhân
＋団体旅行：だんたいりょこう：du lịch theo đoàn"
シアー,"tour, chuyến du lịch
母と日帰りのバスシアーに参加した。
Tôi tham gia chuyến du lịch đi về trong ngày cùng mẹ
＋日帰りシアー：du lịch về trong ngày
＋温泉シアー：du lịch suối nước nóng"
あちこち,"here and there, đó đây, khắp nơi
留学中、日本のあちこちを旅行した。
Trong thời gian du lịch tôi đã đi du lịch đây đó ở Nhật
＝あちらこちら"
観光,"かんこう「QUAN QUANG」 sightseeing, sự du lịch, tham quan
出張ではなく、観光でヨーロッパに行きたい。
Tôi muốn đến châu Âu ko phải đi công tác mà đi du lịch
＋観光客：かんこうきゃく：khách du lịch
＋観光地：かんこうち：khu du lịch
＋観光スポット：điểm du lịch"
費用,"ひよう「PHÍ DỤNG」 expense, cost, phí, chi phí
家族みんなで旅行すると、費用がかかる。
Nếu đi du lịch cả gia đình thì chi phí tốn kém"
予算,"よさん「DƯ TOÁN」 budget, kinh phí, ngân sách
一人１０万円の予算で、海外旅行を考えている。
Tôi đang tính toán đi du lịch nước ngoài vs ngân sách 10 man yên"
集合,"しゅうごう「TẬP HỢP」 gathering, sự tập trung, tập hợp
空港のロビーに、10時に集合してください。
Hãy tập trung lại sảnh sân bay lúc 10 giờ"
解散,"かいさん「GIẢI TÁN」 sự giải tán
帰りは空港で解散する
Lúc về chúng tôi giải tán ở sân bay"
旅館,"りょかん「LỮ QUÁN」 lữ quán ( nhà trọ kiểu Nhật)
あの旅館に、ぜひ泊まってみたい。
Tôi rất muốn thứ trọ ở lữ quán đó"
五つ星ホテル,"いつつぼしホテル, khách sạn 5 sao
初めて五つ星ホテルに泊まる。
Lần đầu trọ lại ở khách sạn 5 sao
＋3つ星レストラン：nhà hàng 3 sao"
満室,"まんしつ「MÃN THẤT」 hết phòng
あのホテルは満室で、予約できなかった。
Khách sạn ấy ko thể đặt được vì hết phòng"
チェックイン,"thủ tục nhận phòng
この旅館は、3時以降にチェックインできる。
Lữ quán này có thể làm thủ tục nhận phòng lúc 3 giở trở đi
＜＞チェックアウト"
近づく,"ちかづく「CẬN」 to get close to, đến gần
帰る日が近づくと、さびしくなる。
Ngày về đến gần, tôi trở nên buồn"
取り消す,"とりけす「THỦ TIÊU」 to cancel, hủy
体の具合がよくないので、予約を取り消した。
Có thể ko đc khỏe nên tôi đã hủy đặt chỗ
＝キャンセルする
＋取り消し： retraction / hủy"
追加,"ついか「TRUY GIA」 addition, sự bổ sung, thêm
東京行きの切符を、1枚追加できますか。
Có thể thêm 1 vé đi Tokyo nữa ko"
持ち物,"もちもの「TRÌ VẬT」 đồ mang theo
忘れ物がないか、持ち物をチェックする。
Tôi kiểm tra lại đồ mang theo xem có quên thứ gì ko"
足りる,"たりる「TÚC」 to be enough, đủ
行きたい場所が多くて、四日では足りない。
CÓ nhiều nơi tôi muốn đi nên 4 ngày là ko đủ"
スーツケース,"suitcase, vali
お土産をたくさん買って、スーツケースが重い。
Tôi mua nhiều quà nên vali nặng"
使用,"しよう「SỬ DỤNG」 usage, việc sử dụng
このカードは、日本では使用できない。
Thẻ này ko sử dụng dc ở nhật"
船旅,"ふなたび「THUYỀN LỮ」 boat trip, du lịch tàu thủy
私は一度も船旅をしたことがない。
Tôi chưa từng đi du lịch tàu thủy bao giờ
＋船便：ふなびん：sea mail, gửi đường biển"
時差,"じさ「THÌ SOA」 chênh lệch múi giờ
日本に戻ってから、時差でずっと眠い。
Sau khi quay về Nhật do chêch lệch múi giờ tôi cứ buồn ngủ suốt
＋時差ボケ：じさぼけ： mệt mỏi do chênh lệch múi giờ"
両替,"りょうがえ「 LƯỠNG THẾ」sự đổi tiền
両替は、空港でもホテルでもできる。
Có thể đổi tiền ở sân bay or ở khách sạn đều được"
ドル,"dollar, tiền Mỹ
日本円をドルに両替して、海外へ持って行く。
Tổi đổi tiền yên sang $ để đem đi nước ngoài
＋ユーロ：euro, châu Âu
＋ポンド：pound, bảng ANh
＋元：げん: yuan: Nhân dân tệ"
来日,"らいにち「LAI NHẬT」 đến Nhật Bản
来月、友達が初めて来日する。
Tháng sau, bạn tôi lần đầu tiên đến Nhật Bản
＝訪日：ほうにち"
