Nの／普通系＋こと,"Việc ~
英語の言うことはよく聞いたほうがいい。
Những việc mà sensei nói thì bạn nên nghe thật kĩ"
Vる／ない＋ことがある,"Thỉnh thoảng làm ~
朝は電車が込んでいて、乗れないことがある。
Sáng thì tàu thường đông người nên thỉnh thoảng không đi lên"
Vた＋ことがある,"Đã từng ~
富士山さんに登ったことがありますか。
Bạn đã từng leo núi Phú Sĩ chưa ?"
Vる／ない＋ことにした,"Tôi quyết định～
いろいろ比べてみて、この辞書を買うことにした。
Sau khi so sánh nhiều lần, tôi quyết định mua từ điển này"
Vる／ない＋ことになった,"Tôi Được/Bị quyết định ~
来月アメリカへ出張することになった
Tháng sau tôi được đi công tác tại Mỹ"
Vる／ない＋ことにしている,"Tôi Quyết định ~
Diễn tả thói quen do bản thân tự quyết định (có ý chí của người nói)
健康のため、毎朝牛乳を飲むことにしている。
Để tốt cho sức khỏe, tôi quyết định uống sữa mỗi sáng"
Vる／ない＋ことになっている,"Được ai đó quyết định, quy định ~
Diễn tả một tập quán, 1 dự định, 1 kết hoạch, 1 quy định đã được cơ quan, tổ chức or người khác quyết định
日本では、車は左側を走ることになっている。
Ở Nhật, ô tô được quy định chạy bên trái"
～ように,Để ~ (Mục đích không ý chí)
～ようになる,"Thay đổi từ không ->có thể (ngược lại)
初めてスキーに行った。2時間ほどで滑れるようになった。
Lần đầu đi trượt tuyết. Trong khoảng 2 tiếng tôi đã có thể trượt tuyết được"
～ようにする,"Cố gắng ~
分からない言葉はすぐに辞書で調べるようにしている。
Từ vựng không biết, tôi sẽ cố gắng tra từ điển ngay lập tức"
～ようだ。,"Hình như ~ (phán đoán)
彼女は本当に何も知らないようだった。
Hình như cô ấy thật sự cái gì cũng ko biết"
～ような・ように・ようだ,"Giống như là ~ (so sánh, ví von)
山の上から見た景色はまるで絵のようだった。
Phong cảnh nhìn từ trên núi, nó giống hệt như bức tranh
まだ2月なのに、今日は春のような暖かさだ。
Vẫn là tháng 2 thế mà, hôm nay trời ấm như là mùa xuân.
この川の水は氷のように冷たい。
Nước của con sông này lạnh như là nước đá
氷　こおり　「BĂNG」　Nước đá"
～ように＋V。,"Hãy ~ (mệnh lệnh, nhắc nhở)
先生は学生にもっとよく勉強するように言った。
Giáo viên đã nói với học sinh rằng là hãy học hành chăm chỉ hơn
時間に遅れないように。
Đừng có đến muộn"
～ように。,"Cầu chúc ~
今年が良い年になりまるように。
Mong cho năm nay là 1 năm tốt lành"
