注目,"ちゅうもく「CHÚ MỤC」 Chú ý/Quan tâm 
意味 　① 人の注意の目を集めること 
ポイント 注目される 
例文 ・　会議中におならをして注目を浴びて/集めて 
しまった 
意味 　② 注意して見ること 
ポイント　　注目する 
例文 ・最近、ＲＩＫＩという日本語学校に注目している。 "
分析,"ぶんせき「PHÂN TÍCH」 Phân tích 
意味 　複雑なことを１つ１つ分けて、 原因の結果を考える 
ポイント  なぜ？要因は？ を考える。
例文
統計資料を見て、お客さんが増えた理由を 
分析する"
反映,"はんえい「PHẢN ÁNH」  PHẢN ÁNH
意味 （主張、意見）が〜まで及ぶ。 
Ａ→Ｂに影響し、現れること。 
ポイント  意見・考えを〜に反映する
例文
国民の声を政治に反映させよう。 
・お客様からいただいた意見をサービス改善に
反映する。"
強み,"つよみ「CƯỜNG」 Sở trường, điểm mạnh
意味　強いところ、長所
ポイント　　＜＞弱み
例文　　・ＲＩＫＩ日本語の強みは「面白さ」です。"
回復,"かいふく「HỒI PHỤC」 Hồi phục 
意味 ・景気が回復してきた
ポイント 悪い状態になったものが元に戻ること 
経済、体調が回復する 
例文 ・祖父の体調が回復に向かっている。"
方針,"ほうしん「PHƯƠNG CHÂM」 Phương châm 
意味 計画での目指す方向 
ポイント 針の方向 
例文 ・来年に向けた会社の方針を発表する。 
子供の教育方針について夫と意見が合わない。"
範囲,"はんい「PHẠM VI」 Phạm vi
意味 〜から〜まで 
例文 ・今回の試験範囲はかなり広いらしい。 
(相手に頼まれた時) 
「はい。できる範囲で協力しますよ。」 "
利益,"「りえき」「LỢI ÍCH」 Lợi ích/Lợi nhuận 
意味 得 
ポイント 売り上げー費用 
利益 ⇔ 損失 
例文 ・目の前の利益ばかり追っているといつか損をするよ。 
・今年は景気が良く、会社の利益も去年の２倍に なった。 "
解消,"かいしょう「GIẢI TIÊU」 Giải tỏa, hủy bỏ 
意味 　今までの状態がなくなること 
ポイント 　問題、ストレス＿ 
例文 ・私のストレス解消法はカラオケに行くことです。"
改善,"かいぜん「CẢI THIỆN」 Cải thiện 
意味 　あるものをさらに良くしていくこと 
ポイント 改めて、よく(善)する 
例文 ・この教材はまだまだ改善すべきだ。 "
