身長,"しんちょう「THÂN TRƯỜNG」 height, chiều cao
妹は、私より身長が3センチ高い。
Em gái tôi cao hơn tôi 3cm"
伸びる,"のびる「THÂN」 to grow, phát triển
弟は高校生で、まだ身長が伸びている。
Em trai tôi là học sinh cấp 3 nên vẫn còn phát triển chiều cao
（～を）伸ばす：to extend, kéo dài"
測る,"はかる「TRẮC」 to measure, đo
身長を測ったら、1年前より2センチ伸びていた。
Khi đo chiều cao thì nhận ra đã cao hơn 2 cm so vs 1 năm trước
＋量る：はかる：to measure / đo"
体重,"たいじゅう「THỂ TRỌNG」 body weight, cân nặng, thể trọng
朝と夜、体重をチェックしている。
Tôi kiểm tra cân nặng vào buổi sáng và buổi tối"
体重計,"たいじゅうけい「THỂ TRỌNG KẾ」 scale, cân, cân sức khỏe
新しい体重計で、家族の健康をチェックする
Tôi kiểm tra sức khỏe của gia đình bằng cân sức khỏe mới
＋はかり / scale / cân"
体温,"たいおん「THỂ ÔN」 body temperature, thân nhiệt
私の体温は、ふだん36度ちょっとです
Thân nhiệt tôi bình thường là 36 độ hơn 1 chút
＋体温計：たいおんけい： cặp nhiệt độ"
額,"ひたい「NGẠCH」 forehead / trán
彼の額をさわったら、とても熱かった。
Sờ trán anh ấy rất nóng
＝おでこ"
血液,"けつえき「HUYẾT DỊCH」 blood, máu
血液を調べると、病気がわかる。
Kiểm tra máu sẽ biết bệnh
＝血：ち"
血液型,"けつえきがた「HUYẾT DỊCH HÌNH」 blood type, nhóm máu
私の血液型はＢ型、彼はＯ型です。
Nhóm máu của tôi là B còn anh ấy là O
＋血液型占い：けつえきがたうらない：xem bói theo nhóm máu"
心臓,"しんぞう「TÂM TẠNG」 heart, trái tim
運動すると、心臓の動きが速くなる。
Khi vận động, tim sẽ đập nhanh"
汗,"あせ「HÃN」 sweat, mồ hôi
スポーツで汗をかくのは気持ちがいい。
Việc ra mồ hôi khi tập thể thao rất dễ chịu"
息,"いき「TỨC」 breath, hơi thở
ゆっくり息をしてください。
Hãy thở chậm lại"
ため息,"ためいき「TỨC」 sigh, thở dài
また体重が増えて、ため息が出た。
Cân nặng lại tăng khiến tôi thở dài"
皮ふ,"ひふ skin, da
皮ふが弱いので、クリームを使っている。
Da yếu nên tôi dùng kem bôi"
顔色,"かおいろ「NHAN SẮC」 complexion , sắc mặt
今日、彼は顔色が悪い。
Hôm nay sắc mặt anh ấy trông xấu"
睡眠,"すいみん「THỤY MIÊN」 sleep, giấc ngủ
健康のために、睡眠に気を付けている。
Vì sức khỏe, hãy chú ý đến giấc ngủ
＝眠り：ねむり
＋睡眠時間：thời gian ngủ
＋睡眠不足: ngủ không đủ"
まぶた,"eyelid, mí mắt
花粉症で、まぶたが赤くなった。
Mí mắt bị đỏ vì dị ứng phấn hoa"
丈夫な,"じょうぶな「TRƯỢNG PHU」 strong, khỏe, dẻo dai
子供のころから、体が丈夫です。
Cơ thể tôi dẻo dai từ hồi bé"
歯科医,"しかい「XỈ KHOA Y」 dentist, nha sỹ
1年に1回、歯科医に診てもらう
1 năm 1 lần tôi đi nha sỹ
＝歯医者：はいしゃ"
虫歯,"むしば「TRÙNG XỈ」 cavity, răng sâu
虫歯が見つかったので、歯医者に通っている。
Phát hiện ra răng sâu nên tôi đang đến bác sỹ răng để điều trị"
裸,"はだか「LỎA」 nudity, trần truồng
私は子供のころ、裸で泳いでいた。
Lúc nhỏ tôi đã cởi truồng đi tắm"
裸足,"はだし「LỎA TÚC」 barefoot, chân trần
夏休みに、裸足で海岸を走った。
Kỳ nghỉ hè tôi đi bộ chân trần trên bờ biển"
