父親,"ちちおや「PHỤ THÂN」
父親は今年50歳になる。
Bố tôi năm nay 50 tuổi"
母親,"ははおや「MẪU THÂN」
母親の料理は、とても美味しい。"
長女,"ちょうじょ「TRƯỜNG NỮ」
私は長女で、妹が一人いる。Tôi là con gái cả, dưới tôi là em gái"
長男,"ちょうなん「TRƯỜNG NAM」
姉に元気な長男が生まれた。
Chị tôi đã sinh ra được đứa con trai đầu khỏe mạnh"
次女,"じじょ「THỨ NỮ」
次女は母に似ている。
Con gái thứ hai giống mẹ"
次男,"じなん「THỨ NAM」
次男はとても背が高い。Cậu con trai hai rất cao"
三男,"さんなん「TAM NAM」
三男は兄弟の中で一番元気だ。Con trai ba khỏe mạnh nhất trong các anh em."
三女,"さんじょ「TAM NỮ」
三女は小学一年生だ。Con gái thứ ba là học sinh lớp một tiểu học"
末っ子,"すえっこ「MẠT TỬ」
彼は5人兄弟の末っ子だ。Anh ấy là con út trong gia đình 5 anh em."
一人っ子,"ひとりっこ「NHẤT NHÂN TỬ」
私の友達には、一人っ子が多い。
Bạn bè tôi nhiều người là con một."
姉妹,"しまい「TỈ MUỘI」
私は3人姉妹の末っ子だ。Tôi là con út trong gia đình 3 chị gái"
一人娘,"ひとりむすめ「NHẤT NHÂN NƯƠNG」
父親は一人娘の結婚式で泣いた。Cha đã khóc trong đám cưới của con gái một của mình"
親子,"おやこ「THÂN TỬ」
最近、親子でよく海外旅行をしている。
Gần đây, bố mẹ và con cái hay đi du lịch nước ngoài."
夫婦,"ふうふ「PHU PHỤ」
佐藤さん夫婦は、毎日散歩している。
Vợ chồng anh Satou, mỗi ngày  đi dạo"
（ご）夫妻,"ふさい「PHU THÊ」
部長ご夫妻の家に招待された。
Tôi được vợ chồng trưởng phòng mời tới nhà chơi"
親類,"しんるい「THÂN LOẠI」
田中さんと私は親類だ。Tanaka và tôi là họ hàng
＝親せき"
先祖,"せんぞ「TIÊN TỔ」
うちの先祖に、有名なサムライがいるそうだ。
Nghe nói tổ tiên của nhà tôi có một vị Samurai nổi tiếng
＋祖先：そせん「TỔ TIÊN」"
尊敬,"そんけい「TÔN KÍNH」
私は両親をとても尊敬している。
Tôi rất kính trọng bố mẹ tôi"
おじ,"父とおじは二人兄弟だ。
Bố và chú là 2 anh em"
おば,"母親よりおばに、いろいろ相談する。
Tôi tâm sự nhiều với dì hơn là mẹ."
いとこ,"今日、いとこが遊びに来る。
Hôm nay, tôi đi chơi với em họ."
おい,"おいが生まれて、おばあさんになった。
Cháu trai chào đời, thế là tôi trở thành dì."
めい,"おいもめいも、とても可愛い。
Cả cháu trai lẫn cháu gái rất dễ thương"
連れる,"つれて「LIÊN」
子供を連れて、近所の公園に行く。
Tôi dắt đứa con đi công viên gần nhà"
似る,"にる「TỰ」
A「お父さんとお母さん、どちらに似ていますか」
B「父に似ていると言われます。」
Bố và mẹ, bạn giống ai
Mọi người bảo tôi giống bố"
そっくり,"妹の顔は、父親にそっくりだ。
Mặt của em gái giống bố như đúc"
