日付,"ひづけ「NHẬT PHÓ」 ngày tháng
日付と時刻: Date & Time"
章節,"しょうせつ「CHƯƠNG TIẾT」 ◆ Những chương và mục; chương và đoạn (thơ)
この教科書は全部で5章10節に分かれています。
Cuốn sách giáo khoa này được chia thành 5 chương và 10 tiết."
オブジェクト,"Object 
このクラスからオブジェクトを作成します。
Tạo 1 đối tượng từ lớp này"
入れ替え,"いれかえ「NHẬP THẾ」 thay thế, hoán đổi, đổi chỗ
古いパソコンを新しいものと入れ替えました。
Tôi đã thay máy tính cũ bằng cái mới."
通知,"つうち「THÔNG TRI」 THÔNG BÁO!
新しいメッセージの通知が届きました。
Tôi đã nhận được thông báo về tin nhắn mới."
シスログ,"Syslog - log hệ thống
シスログを確認して、エラーの原因を調べてください。
Hãy kiểm tra log hệ thống để tìm nguyên nhân lỗi."
想定,"そうてい「TƯỞNG ĐỊNH」 giả định, dự kiến, hoặc giả sử
想定より早くプロジェクトが終わった。
Dự án đã kết thúc sớm hơn so với dự kiến."
合致,"がっち「HỢP TRÍ」 phù hợp, khớp với, hoặc trùng khớp
彼の考え方は会社の方針と合致している。
Cách suy nghĩ của anh ấy phù hợp với phương châm của công ty."
省略,"しょうりゃく「TỈNH LƯỢC」 lược bỏ, rút gọn, hoặc bỏ qua
日本語ではよく「私は」を省略して話す。
Trong tiếng Nhật, người ta thường lược bỏ “watashi wa” khi nói."
発着,"はっちゃく「PHÁT TRỨ」 việc xuất phát và đến nơi
この空港は国内線の発着が多い。
Sân bay này có nhiều chuyến bay nội địa cất và hạ cánh."
Nに対して,"1. Danh từ + にとって

Ý nghĩa: “đối với…/ theo …, thì…”. Dùng để diễn tả quan điểm hay đánh giá.

2. Danh từ + に対(たい) して / Danh từ 1 + に対する + danh từ 2

Ý nghĩa: “đối với/ hướng về”, để chỉ đối tượng mà hành động trong câu hướng về
3. Danh từ + について/ Danh t "
割付,"わりつけ「CÁT PHÓ」 phân bổ, bố trí, hoặc chia phần
作業の割付を見直す必要がある。
Cần xem lại việc phân bổ công việc."
繰り返す,"くりかえす「SÀO PHẢN」 lặp lại, làm lại, hoặc nhắc lại
同じミスを繰り返さないように気をつけている。
Cố gắng không lặp lại cùng một sai lầm."
通常,"つうじょう「THÔNG THƯỜNG」 bình thường, thông thường
この作業は通常2時間かかります。
Công việc này thông thường mất khoảng 2 tiếng."
割当,"わりあて「CÁT ĐƯƠNG」 phân chia, phân bổ, hoặc chỉ định
各メンバーにタスクの割当を行った。
Đã phân công nhiệm vụ cho từng thành viên."
