対応,たいおう「ĐỐI ỨNG」 - Xử lý (với khách). 意味：周りの状況に合わせて事をする. ポイント：依頼、問題に対し、対応する. 例文：・クレーム対応 ・お忙しい所恐縮ですがご対応よろしくお願いいたします。
特徴,とくちょう「ĐẶC TRƯNG」 - Đặc trưng. 意味：他と比べて目立つ点、ポイント. 例文：・耳が特徴적ですね。
向こう,むこう - Phía trước; phía đối diện; Hướng. 意味：① 正面の前 ② 距離を隔てた、あちらの方. 例文：・この映画、評判がいいらしいよ。 ・赤信号で渡った向こうが悪い！
引用,いんよう「DẪN DỤNG」 - Trích dẫn. 意味：人の言葉や文章を自分の文の中に使う（用いる）こと. 例文：・レポートなどで他の本から引用する場合は必ず引用元を書くこと。
吸収,きゅうしゅう「HẤP THU」 - Hấp thu; Thấm hút; Tiếp thu. 意味：① 吸い取ること ② 外から取り入れて自分のものにすること. ポイント：水、汗、知識、ノウハウ. 例文：・栄養を吸収する。 ・新人の内に先輩をたくさん吸収してください。
性能,せいのう「TÍNH NĂNG」 - Tính năng. 意味：機械や道具の能力. 例文：・Apple 製品はデザイン性だけでなく、性能も良い。
得点,"とくてん「ĐẮC ĐIỂM」 - Sự ghi điểm, điểm số. 意味：競技で点をとること. ポイント：スポーツ、試験. 例文：・今回のゲームはベトナム側がたくさん得点を得た。 ・対して日本側はあまり得点が伸びなかった。"
予報,よほう「DỰ BÁO」 - Dự báo. 意味：事前に（推測して）知らせること. ポイント：【覚え方】予想して報告する. 例文：・今朝の天気予報によると、午後から雨がふるらしい。
実現,じつげん「THỰC HIỆN」 - Thực hiện. 意味：考えていたことが、現実になること. ポイント：【覚え方】実際に現実になる. 例文：・夢を実現させるためには努力が必要だ。
達成,たっせい「ĐẠT THÀNH」 - Đạt được. 意味：目的・目標を叶えること. 例文：・今月の売り上げ１００万という目標は１０日も早く達成した。
対比,たいひ「ĐỐI TỶ」 - So sánh đối chiếu. 意味：２つのものを並べて、違いを比べること. 例文：・去年の売上と今年の売上を対比させる。 
大別,だいべつ「ĐẠI BIỆT」 - Phân chia đại khái. 意味：大きく分けること. 例文：・この本の内容は３つに大別される。 
伝染,"でんせん「TRUYỀN NHIỄM」 - Truyền nhiễm, lan truyền. 意味：病気や習慣などが他へうつること. ポイント：病気、あくび、不安. 例文：・インフルエンザが伝染する。 ・あくびが伝染した。 "
選出,"せんしゅつ「TUYỂN XUẤT」 - Tuyển chọn, bầu chọn. 意味：多くの人の中から選ぶこと. ポイント：代表、メンバーを選出する. 例文：・クラスの代表を選出する。 "
寄付,"きふ「KÍ PHÓ」 - Quyên góp, tặng cho. 意味：公共の利益のために、金銭や品物を贈ること. 例文：・恵まれない子供たちに寄付をする。 "
先端,"せんたん「TIÊN ĐOAN」 - Đầu mút, tiên tiến (đi đầu). 意味：① 長いものの端 ② 時代の一番先を行っていること. ポイント：先端技術. 例文：・最先端の技術を導入する。 "
