感情,"かんじょう「CẢM TÌNH」 emotion / cảm  xúc
彼女は感情を人に見せない。
Cô ấy ko cho ai biết cảm xúc của mình
＋感情的な：emotional , cảm tính"
あこがれる,"to admire / ngưỡng mộ
この女優に、ずっとあこがれている。
Tôi ngưỡng mộ nữ diễn viên này suốt lâu nay
＋あこがれ：admiration / sự ngưỡng mộ"
うらやましい,"jealous / ghen tị, ngưỡng mộ
彼には欠点がない。本当にうらやましい。
Anh ta ko có khuyết điểm , thật là ghen tị vs anh ta"
落ち着く,"おちつく「LẠC TRỨ」 to calm down, tĩnh tâm, bình yên
彼としゃべっていると、とても落ち着く。
Nói chuyện vs anh ta cảm thấy bình yên"
感激,"かんげき「CẢM KÍCH」 deep emotion / sự cảm kích, xúc động
彼に婚約指輪をもらって、感激した。
Tôi xúc động vì nhận được nhẫn đính hôn từ anh ấy"
感動,"かんどう「CẢM ĐỘNG」 being moved emotionnally/ sự cảm động
この映画に、みんなが感動するだろう。
Có lẽ tất cả mọi người cảm động với bộ phim này"
関心,"かんしん「QUAN TÂM」 being impressed / sự cảm động, bội phục
アインさん、日本語が上手になりましたね。感心ました。
Chị ÁNh tiếng Nhật đã giỏi lên nhỉ, thật đáng phục"
なつかしい,"nostalgic / nhớ
高校時代が、とてもなつかしい。
Tôi rất nhớ hồi học cấp ba"
気軽,"きがるな「KHÍ KHINH」 free / thoải mái, ko dè dặt
何でも気軽に相談してください。
Bạn hãy thoải mái đến trao đổi bất cứ điều gì"
気楽な,"きらくな「KHÍ LẠC」 carefree / thoải mái , thanh thản
ストレスのない気楽な生活がしたい。
Tôi muốn sống thanh thản, ko phải chịu áp lực"
幸せ,"「しあわせ」「HẠNH」 good , happy / hạnh phúc
幸せは、人によって違う。
いろいろあったが、今は幸せな毎日だ。
Hạnh phúc tùy theo mỗi người mà khác nhau.
Đã có nhiều chuyện xảy ra nhưng bây giờ mỗi ngày đều hạnh phúc
＝幸福：こうふく
＋幸い：さいわい： hapiness, luck, fortune / may mắn, hạnh phúc"
冗談,"じょうだん「NHŨNG ĐÀM」 joke , đùa , nói đùa
彼の冗談は、面白い。
Kiểu nói đùa của anh ấy thú vị"
ユーモア,"humor / hài hước
ユーモアのない人と話しても、面白くない。
Nói chuyện vs người ko có tính hài hước chẳng thú vị"
ゆかいな,"pleasant / vui vẻ, dễ chịu
彼はゆかいな人だ。
Anh ta là người vui vẻ dễ chịu
＜＞ふゆかいな"
愛する,"あいする「ÁI」 to love / yêu
あの歌手は世界中で愛されている。
Ca sĩ đó được cả thế giới yêu mến"
真剣な,"しんけんな「CHÂN KIẾM」 serious / nghiêm túc
彼は彼女を真剣に愛してるらしい。
Dường như anh ta yêu cô ấy nghiêm túc"
どきどき,"hồi hộp, tim đập rộn ràng
大好きな人が近くにいると、どきどきする。
Hễ có người mình thích ở bên cạnh là tim tôi hồi hộp"
わくわく,"excited / sự phấn chấn, hồi hộp
来週、日本に留学するもで、わくわくしている。
Tuần sau tôi đi du học ở Nhật Bản nên cảm thấy hồi hộp"
ほっと,"feeling relieved / sự an tâm, nhẹ người
試験に合格して、ほっとした。
Cảm thấy nhẹ nhõm khi biết mình thi đỗ"
のんびり,"at leisure , sự thong thả, ung dung
将来は、いなかでのんびり暮らしい。
Trong tương lai, tôi muốn sống thong thả ở quê"
ほほえむ,"to smile / mỉm cười
彼女がほほえむと、みんなが幸せな気持ちになる。
Khi cô ấy mỉm cười , mọi người cảm thấy hạnh phúc
＋ほほえみ：smile / nụ cười
＋スマイル：smile / cười
＋笑顔：えがお：vẻ mặt tươi cười"
夢中,"むちゅう「MỘNG TRUNG」 entranced , be crazy about / sự say mê, say sưa
妹はおしゃれんい夢中だ。
Em gái tôi say sưa ăn diện"
勇気,"ゆうき「DŨNG KHÍ」 courage, bravery / lòng dũng cảm
勇気を持って、チャレンジしよう。
Hãy dũng cảm thử sức nào"
