～うちに;"Trong lúc
* Thực hiện một hành động trước khi một trạng thái khác thay đổi
- 日本にいるうちに一度富士山に登ってみたい。
Trong lúc còn đang ở Nhật, tôi muốn thử leo núi Phú Sĩ một lần.
* Trong khoảng thời gian một hành động, sự việc xảy ra, có một trạng thái thay đổi,
không mang ý chí
- 音楽を聞いているうちに眠ってしまった。
 Khi đang nghe nhạc, tôi ngủ thiếp đi mất."
間 (あいだ) … / ～間に(あいだに)… ;"Trong khoảng thời gian
* ～間… : Khi một hành động xảy ra trong một thời gian dài, một hành động khác
cũng xảy ra kéo dài đồng thời trong khoảng thời gian đó
- お母さんが昼寝をしている間、子どもたちはテレビを見ていた。
 Trong khi người mẹ đang ngủ trưa thì bọn trẻ ngồi xem tivi.
* ～間に: Khi một hành động xảy ra trong một thời gian dài, một hành động khác
xảy ra chỉ tại một thời điểm trong khoảng thời gian đó
- 私が旅行で留守の間に、庭に草がたくさん生えてしまった。
 Trong lúc tôi vắng nhà đi du lịch, cỏ dại đã mọc đầy vườn."
～てからでないと… / ～てからでなければ… ;"Nếu không phải là sau khi ～ thì không thể…
* Cho đến khi việc gì đó được thực hiện xong, thì một việc khác cũng vẫn chưa làm
được. Câu được dùng ở dạng phủ định
- 運転免許を取ってからでなければ車を運転してはいけない。
 Nếu chưa có bằng thì không được phép lái xe.
- 病気が治ってからでなければ激しい運動は無理だ。
 Nếu chưa khỏi ốm thì chưa thể vận động mạnh được"
～ところだ / ～ところ (+trợ từ);"Vào thời điểm
* Khoảnh khắc ngay trước, khoảnh khắc ngay sau, hay vào chính giữa khoảnh khắc
đó
- ロケットは間もなく飛び立つところです。緊張の瞬間です。
 Quả tên lửa chuẩn bị được phóng đi rồi. Khoảnh khắc này thật là hồi hộp.
- 試験中、となりの人の答えを見ているところを先生に注意された。
 Trong giờ thi, tôi bị cô giáo nhắc đúng lúc đang nhìn bài bạn bên cạnh"
"N の/ Vる /Vた/・・・＋ ～とおりだ / ～とろり（に）
N ＋ ～どおりだ /～どおり（に）";"Dựa theo
* Thực hiện một hành động giống như hướng dẫn có sẵn, hoặc giống như cách
người khác làm trước
- 交番で 教えてもらったとおりに歩いていったので、迷わず会場に着いた。
 Nhờ đi theo chỉ dẫn của cảnh sát, tôi đã đến được hội trường mà không bị lạc.
- サッカーの試合の結果はわたしたちの期待どおりだった。
 Kết quả trận bóng đúng như những gì tôi mong đợi"
～によって… ～によっては…;"Tùy vào, tùy theo
* Thể hiện trạng thái không nhất định mà thay đổi tùy thuộc vào một yếu tố nào
đó
- わたしの帰宅時間は毎日違う。日によって 夜中になることもある。
 Giờ giấc về nhà của tôi mỗi ngày một khác nhau. Tùy hôm, có lúc đêm muộn mới về được.
- 国によって習慣が違う。
 Tùy từng nước, tập quán lại khác nhau."
N の/ Vる ＋ ～たびに…;"Mỗi lần
* Mỗi khi điều gì xảy ra thì có điều khác cũng xảy ra theo. Nhấn mạnh sự lặp lại của
hành động, nhưng không dùng cho những hiện tượng tự nhiên diễn ra hàng ngày
- この地方は台風が来るたびに大水の害が起こる。
 Khu vực này mỗi khi có bão lại phải chịu thiệt hại do ngập lụt.
- このチームは試合のたびに強くなっていく。
 Đội (bóng) nay mạnh dần lên sau mỗi trận đấu."
（～ば）～ほど /（～なら）～ほど/ ～ほど;"Càng - càng
* Phía sau ほど ・・・ là một vế thể hiện sự thay đổi tương ứng, tỉ lệ với vế trước
- ものが増えれば増えるほど整理が大変になる。
 Càng nhiều đồ thì việc sắp xếp càng khó hơn.
- 忙しい人ほど時間の使い方が上手だ。
 Những người càng bận rộn thì càng giỏi quản lý thời gian hơn."
Nの/Vる/Vた + ～ついでに;"Tiện thể
* Nhân lúc thực hiện một hành động này thì thì thực hiện thêm một hành động
khác
- 散歩のついでにこのはがきをポストに出してきた。
 Nhân tiện ra ngoài đi dạo, tôi đã đi gửi bưu thiếp.
- インタネットで本を注文したついでに新しく出たDVDも調べた。
 Nhân tiện đặt mua sách trên mạng, tôi cũng thử tìm hiểu đĩa DVD mới ra."
N / Vる・ない (Naだ -な) ＋ ～くらい・～ぐらい・～ほど… ;"Tới mức
* Biểu thị mức độ của một trạng thái sự vật, hiện tượng bằng cách đưa ra một sự vật
hiện tượng khác
- 天気予報によると、今日は台風ぐらい風が吹くそうだ。
 Theo dự báo thời tiết, hôm nay có gió mạnh như bão.
- さっき地震があった。本棚が倒れるかと思うほど激しく揺れた。
 Vừa mới có động đất. Mặt đất rung mạnh đến mức tôi tưởng kệ sách bị đổ."
