いま;bây giờ
すぐ;ngay lập tức
もうすぐ;sắp sửa
これから;ngay sau đây
そろそろ;chuẩn bị ra về
あとで;sau
まず;đầu tiên
つぎに;tiếp theo
まだ;vẫn chưa
また;lại (một lần nữa)
もう;đã ~ rồi
どうぞ;xin mời
もっと;hơn nữa
ずっと;hơn hẳn, suốt, mãi
とても;rất
いつも;lúc nào cũng
まっすぐ;thẳng, đi thẳng
かなり;khá là
ぜひ;nhất định
きっと;chắc chắn
すこし;một chút
たぶん;có lẽ
たくさん;nhiều
だいたい;đại khái
ぜんぶ;tất cả
ちかく;gần
ときどき;thỉnh thoảng
ちょっと;một chút
あまり…ない;không… lắm
ぜんぜん…ない;hoàn toàn không…
なかなか…ない;mãi mà không…
一番 (いちばん);nhất, hàng đầu
初めて (はじめて);lần đầu tiên
特に (とくに);đặc biệt
もし;nếu
ほかに;ngoài ra, hơn nữa
ゆっくり;thong thả, chậm rãi
だんだん;dần dần
実は (じつは);thực ra là, sự thật là
本当に (ほんとうに);thật sự
もちろん;đương nhiên
最近 (さいきん);gần đây
一緒に (いっしょに);cùng nhau
なるほど;quả đúng là như vậy
まったく;toàn bộ, tất cả, hoàn toàn
やはり;quả nhiên là
やっぱり;quả nhiên là
かならず;chắc chắn
よく;thường, hay
いっぱい;đầy
ほとんど;hầu như
ちょうど;vừa đúng
絶対に (ぜったいに);tuyệt đối
つまり;tức là
そのまま;để nguyên, không thay đổi
はっきり;rõ ràng
ちょくせつ;trực tiếp
いつか;một lúc nào đó
非常に (ひじょうに);rất, cực kì
急に (きゅうに);đột nhiên
