～し、～し、それで／それに;Liệt kê lý do, kết hợp → và vì thế<br>勉強もできるし、性格もいいし、それで人気があります。<br>天気もいいし、時間もあるし、それにお金もある。
～によると～そうです;Theo nguồn → nghe nói<br>天気予報によると、明日は雪が降るそうです。<br>ニュースによるとその事故は昨日起きたそうです。
～そうに／そうな／そうです;Trông có vẻ / Có vẻ như<br>彼は嬉しそうに話しています。<br>この料理はおいしそうですね。
～てみる;Thử làm gì đó<br>日本の料理を食べてみました。<br>漢字を書いてみました。
～と;Nếu… thì… (tự nhiên, luôn đúng)<br>春になると桜が咲きます。<br>ボタンを押すとドアが開きます。
～たら;Nếu / sau khi<br>雨が降ったら出かけません。<br>食べたら寝ます。
～なら;Nếu là / giả sử<br>東京に行くならディズニーランドも行ってください。<br>暇なら手伝ってください。
～ば;Nếu (giả định, điều kiện)<br>安ければ買います。<br>忙しければ行きません。
～たがる;Người khác muốn làm gì đó<br>彼は旅行に行きたがっています。<br>子どもはおもちゃを買いたがっています。
～かもしれない;Có thể / không chắc<br>明日は雨が降るかもしれない。<br>彼は来ないかもしれません。
～でしょう;Có lẽ / chắc là<br>明日は晴れるでしょう。<br>彼はもう帰ったでしょう。
～しか～ない;Chỉ còn / không có gì khác<br>千円しか持っていません。<br>一人しか来ませんでした。
～だけ～る;Chỉ / vừa đủ để làm<br>見たい映画だけ見ます。<br>食べられるだけ食べてください。
～ておく;Làm sẵn để chuẩn bị<br>宿題をしておきます。<br>会議室を予約しておいてください。
～ようだ;Có vẻ như / dường như<br>外は静かなようです。<br>彼は風邪をひいたようだ。
Ｖ意向形と思う;Dự định làm gì đó<br>明日から運動しようと思います。<br>日本へ行こうと思っています。
～つもり;Dự định / ý định<br>来週旅行に行くつもりです。<br>今日からダイエットするつもりです。
～予定;Kế hoạch cụ thể<br>明日は出張の予定です。<br>来月から新しい仕事を始める予定です。
～てあげる;Làm gì cho người khác<br>友達にプレゼントを買ってあげました。<br>弟の宿題を手伝ってあげました。
～てくれる;Ai đó làm gì đó cho mình<br>先生が漢字を教えてくれました。<br>
～Ｖてもらう;Được ai đó làm gì cho mình<br>先生に日本語を教えてもらいました。<br>友達に手伝ってもらいました。
～Ｖていただけませんか;Lịch sự: làm ơn có thể… giúp tôi không<br>コピーを見せていただけませんか。<br>駅まで案内していただけませんか。
