層,"そう - TẰNG- Đếm tầng, lớp : いっそう、にそう、さんそう"
齟齬,"そご - TRỞ NGỮ- sự mâu thuẫn,xung đột/ conflict"
急務,きゅうむ - CẤP VỤ- Công việc khẩn cấp; nhiệm vụ cấp bách
途中,"とちゅう - ĐỒ TRUNG- Dọc đường, Giữa chừng, Nửa đường"
フィードバック,feedback - nhận xét
遅延,ちえん - TRÌ DUYÊN- trì hoãn
模擬,"もぎ - MÔ NGHĨ- mô phỏng, bắt chước"
避ける,"よける - TỊ- ①さける Tránh né, trốn tránh ( trách nhiệm, mối nguy hiểm...)
②よける　Phòng tránh ( côn trùng, bệnh...)"
承認,"しょうにん - THỪA NHẬN- sự xác nhận, phê duyệt"
一環,"いっかん - NHẤT HOÀN- 1 phần trong
仕事の一環: một phần công việc."
真,"まな - CHÂN- thật, thực tế
真のURL:URL thật / URL thực tế / URL chính thức"
同感,"どうかん - ĐỒNG CẢM- Sự cùng ý kiến; sự cùng suy nghĩ
同情：hán tự là đồng tình nhưng ý nghĩa là đồng cảm, cảm thương trước khó khăn của người khác
同感：hán tự là đồng cảm nhưng ý nghĩa là đồng tình, cùng ý kiến với người khác"
繋い,"つなぐ - HỆ- Buộc vào; thắt; kết nối.
インターネットを繋ぐkết nối internet"
高負荷,"こうふか - CAO PHỤ HÀ- Cường độ cao
IT: 高負荷の処理: những xử lý nặng của máy tính."
並走,へいそう - TỊNH TẨU- Chạy song song
無限,"むげん - VÔ HẠN- Sự vô hạn
無限列車篇　chuyến tàu vô tận"
過渡,かと - QUÁ ĐỘ- Giai đoạn chuyển tiếp (transition period) hoặc trạng thái quá độ
突合,つきあわせ - ĐỘT HỢP- matching: phù hợp.(member matching DB)
見落,"みおとし - KIẾN LẠC- Nhìn sót, bỏ sót, không nhận thấy
メッセージを見落としていました : Tôi đã bỏ sót tin nhắn"
一歩一歩,いっぽいっぽ - NHẤT BỘ NHẤT BỘ- Từng bước. Step by step
スレッド,thread - chủ đề
共用,きょうよう - CỘNG DỤNG- Sự cùng nhau sử dụng; sự dùng chung;
素早く,"すばやく - TỐ TẢO- Nhanh, nhanh chóng, Lẹ làng, lanh lợi"
余裕,"よゆう - DƯ DỤ- Dư thừa, rộng rãi,sớm hơn
余裕を持って来るように。hãy cố gắng đến sớm hơn"
順次,"じゅんじ- THUẬN THỨ- Tuần tự, lần lượt
Có mấy từ gần nghĩa với nhau là:
順次、順番、逐次"
丁寧,"ていねい - ĐINH NINH- Sự lịch sự; sự cẩn thận.
丁寧にありがとうございます。"
十分,じゅうぶん - THẬP PHÂN- Đầy đủ; hoàn toàn; chặt chẽ; sít sao; rõ
軽微,"けいび - KHINH VI- không đáng kể, nhỏ"
迅速,"じんそく - TẤN TỐC- Sự mau lẹ; sự nhanh chóng.
迅速なご対応助かりました。"
コロコロ,"xoành xoạch
コロコロ変化する: thay đổi xoành xoạch"
協力,"きょうりょく - HIỆP LỰC- Sự hợp tác; hợp tác; sự hiệp lực; hiệp lực
1。能力(のうりょく)năng lực
2。努力(どりょく)nỗ lực
3。協力(きょうりょく)chung sức, hợp tác , hiệp lực"
一部,いちぶ - NHẤT BỘ- Một phần
混乱,こんらん - HỖN LOẠN- Lúng túng; hỗn loạn
大量,たいりょう - ĐẠI LƯỢNG- Số lượng lớn
増強,ぞうきょう - TĂNG CƯỜNG- Tăng cường củng cố
賄う,"まかなう - HỐI- Nghĩa 1: trang trải, chi trả, ...
Nghĩa 2: cung cấp"
段階,"きだはし - ĐOẠN GIAI- các bước, giai đoạn"
