調子,"ちょうし「ĐIỀU TỬ」 condition, tình trạng, cảm giác
ゆうべワインを飲みすぎて、今日は調子がよくない
Tối qua, tôi uống quá nhiều rượu vang khiến hôm nay cảm giác ko tốt"
あくび,"ngáp
彼は大きなあくびをした。
Anh ta ngáp to"
しゃっくり,"hiccup, nấc cụt
しゃっくりが止まらなくなった。
Nấc cụt ko ngừng
＋げっぷ：burp, ợ hơi"
よだれ,"drool, dớt dãi , nước miếng
いい匂いだ。よだれが出てきた。
Thơm quá, nước miếng chảy ra"
にきび,"pimple, mụn trứng cá
睡眠不足で、ニキビができた。
Tôi mọc mụn trứng cá vì thiếu ngủ"
気になる,"きになる「KHÍ」 to worry, bận tâm
最近、健康のことが気になったいる。
Gần đây tôi bận tâm đến vấn đề sức khỏe"
気にする,"きにする「KHÍ」 to worry about, bận tâm, lo lắng
健康は大切だが、気にすぎるのはよくない。
Sức khỏe là quan trọng nhưng bận tâm quá thì lại ko tốt"
白髪,"しらが「BẠCH PHÁT 」 gray hair, tóc bạc
最近、白髪が急に増えてきた。
Gần đây tóc bạc bỗng tăng nhiều"
抜く,"ぬく「BẠT」 to remove, to pull out, nhổ (tóc)
娘に白髪を抜いてもっらた。
Tôi dc con gái nhổ tóc bạc
＋（～が）ぬける： to be removed / rụng (tóc)"
生える,"はえる「SANH」 to grow, to come in, mọc
息子に歯が生えてきた。
Con trai mọc răng"
しみ,"blotch, vết nám
ほほに小さなしみができた。
Trên má có 1 vết nám nhỏ"
しわ,"wrinkle, nếp nhăn
おでこのしわが気になる。
Tôi bận tâm vs nếp nhăn trên trán"
日焼け,"ひやけ「NHẬT THIÊU」 sunburn, cháy nắng
海に行ったら、日焼けした。
Tôi đi biển thế là bị cháy nắng"
傷,"きず「THƯƠNG」 wound , cut, vết thương
転んで、ひざに傷ができた。
Tôi ngã nên bị vết thương ở đầu gối"
酔っ払う,"よっぱらう「TÚY PHẤT」to get drunk, say, say rượu
最近、ビール一杯で酔っ払う。
Gần đây, tôi uống 1 cốc bia say"
酔っぱらい,"よっぱらい「TÚY PHẤT」 drunk, kẻ say rượu
忘年会の季節は、酔っぱらいが増える。
Mùa liên hoan cuối năm, những kẻ say rượu tăng lên"
ぺこぺこな,"starving, cồn cào
ジョギングのあとなので、おなかがぺこぺこだ。
Vừa chạy bộ xong nên bụng đói cồn cào"
からからな,"parched, khát khô
今日は暑くて、のどがからからになった。
HÔm nay trời nóng nên cổ họng khát khô"
ダイエット,"diet, ăn kiêng
太ったので、ダイエットを始めようと思う。
Tôi béo nên định bắt đầu ăn kiêng"
カロリー,"calorie, lượng ca-lo
食品のカロリーが、とても気になる。
Tôi rất bận tâm đến lượng calo của đồ ăn
＋低カロリー食品：low-calorie đồ ăn ít calo"
控える,"ひかえる「KHỐNG」 to abstain from, tránh
カロリーが高いものは、できるだけ控えている。
TÔI hết sức tránh những đồ ăn có lượng calo cao"
つい,"just now , by mistake, biết thế mà cứ
食事のあとに、つい甘い物を食べてしまう。
Biết thế mà sau bữa ăn cứ ăn đồ ăn ngọt"
