予想,"よそう「DƯ TƯỞNG」 prediction / dự đoán
明日は雨だと予想している。
Dự đoán, ngày mai trời mưa"
予報,"よほう「DƯ BÁO」 forecast / dự báo
明日の予報は大雨だ。
Dự báo ngày mai là trời mưa
＋天気予報：dự báo thời tiết"
湿度,"しつど「THẤP ĐỘ」  level of humidity / độ ẩm
今日は、とても湿度が高くなりそうだ。\
Hôm nay độ ẩm có lẽ sẽ cao
＋湿る：しめる：ẩm , ướt"
くもる,"moisture / hơi ẩm, độ ẩm , ẩm ướt
今はくもっているが、すぐに晴れるだろう。
Mùa hè Nhật Bản nhiểu hơi ảm
＋くもり： cloudiness, mây mù"
嵐,"あらし「LAM」 storm, bão , giông tố
嵐になりそうなので、早めに家に帰ろう。
Có lẽ sẽ có bão nên nhanh chóng về nhà thôi"
強風,"きょうふう「CƯỜNG PHONG」 Strong wind , gió to
強風で木が倒れた。
Gió to làm đổ cây"
大雨,"おおあめ「ĐẠI VŨ」 heavy rain / mưa to
昨日は、大雨で出かけられなかった。
Hôm qua mưa to nen tôi ko thể đi ra ngoài được
＜＞小雨：こさめ：mưa nhỏ"
折りたたみ傘,"おりたたみがさ / ô gấp, dù xếp
折りたたみ傘をバッグに入れて、出かける。
Tôi bỏ chiếc ô gấp vào túi và đi ra ngoài"
さす,"（傘を）さす / to open / che (ô)
雨の中、傘をさしていない人もいる。
Trong cơn mua cũng có người không che ô"
にわか雨,"rain shower / mưa rào
にわか雨が降りそうなので、傘を持って行く。
Có vẻ sẽ có mưa rào, nên tôi mang ô đi"
突然,"とつぜん「ĐỘT NHIÊN」 suddenly , đột nhiên
突然、空が暗くなった。
Bỗng nhiên trời tối"
とたん,"とたん「に」 as soon as, vừa mới
家に帰ると、とたんに雨が降って来た。
Vừa mới về đến nhà thì trời đỗ mưa"
ぬれる,"to get wet / bị ướt, ướt
傘をなくて、雨にぬれた。
Ko có ô, bị ướt mưa
（～を）ぬらす：to get wet , làm ướt"
あっという間,"あっというま chẳng mấy chốc, loáng 1 cái
雨はあっという間に、はげしくなった。
Mưa chẳng mấy chốc trở nên dữ dội"
止む,"やむ「CHỈ」 to stop, tạnh, ngớt
にわか雨なので、すぐに止むだろう。
Mưa rào nên chắc là sẽ tạnh ngay thôi"
ところどころ,"here and there, chỗ này chỗ kia
昨日降った雪が、ところどころに残っている。
Tuyết rơi ngày hôm qua vẫn còn ở chỗ này chỗ kia"
積もる,"つもる「TÍCH」 to pile up, tích tụ, chất đống, phủ
雪が積もっているので、気を付けて歩こう。
Tuyết phủ đầy nên đi cẩn thận nhé"
快晴,"かいせい「KHOÁI TÌNH」 clear weather / trời trong xanh
今日は、快晴で、雲が一つもない。
Hôm nay trời trong xanh, ko có 1 đám mây nào"
かがやく,"to shine / sáng lung linh, sáng lấp lánh
今夜は、月が輝いている。
Đêm nay, trăng sáng lung linh"
まぶしい,"blinding / chói lóa
急に天気がよくなって、太陽がまぶしい。
Đột nhiên trời nắng, mặt trời chói trang"
のち,"later / sau
明日の天気は、雨のち晴れたそうだ。
Thời tiết ngày mai sau mưa trời nắng"
当たる,"あたる「ĐƯƠNG」 to be right, to be correct, trúng , đúnga
この番組の天気予報は、よく当たる。
Dự báo thời tiết của chương trình này hay đúng
＜＞外れる：はずれる"
ふるさと,"hometown, quê hương
私のふるさとでは、雪がたくさん降る。
Quê tôi tuyết rơi nhiều"
