語る,"かたる「NGỮ」 to speak, to talk / kể, nói
政治家が平和について語った。"
解消,"かいしょう＜する＞「GIẢI TIÊU」 resolution / sự giải quyết, giải tỏa
国と国のトラブルを解消するのは難しい。
＋ストレス解消: stress reduction / giải tỏa stress"
それぞれ,"each, mỗi , riêng
全ての国に、それぞれの文化がある。
人は、それぞれ違う考えを持っている。"
片方,"かたほう「PHIẾN PHƯƠNG」 (on the) one side / một phía
片方だけでなく、両方の意見を聞くことが大切だ。
＜＞両方"
囲む,"かこむ「VI」 to surround / vây quanh, bao bọc
A国は三つの国に囲まれている。"
代わり,"かわり「ĐẠI」 instead of, in return for / thay cho
車を輸出する代わりに、石油や小麦粉を輸入する。"
友好,"ゆうこう「HỮU HẢO」friendship / tình hữu nghị
近くの国との友好は、特に大切だ。
＋友好国：ゆうこうこく: friendly nation / nước có quan hệ hữu nghị
＋友好関係：ゆうこうかんけい：quan hệ hữu nghị"
期待,"きたい「KÌ ĐÃI」 expectation / kỳ vọng, hy vọng
これからの両国の友好関係に期待している。"
区別,"くべつ「KHU BIỆT」 distinction / sự phân biệt, tách biệt
国の問題と個人の問題を区別しよう。"
差別,"さべつ＜する＞「SOA BIỆT」 discrimination / sự phân biệt đối xử
差別のない社会にしたい。"
限界,"げんかい「HẠN GIỚI」 limit / giới hạn
A国のB国に対する我慢が、限界を超えた。"
通じる,"つうじる「THÔNG」 to get across, to be understood / biết, hiểu
海外で言葉が通じないのは、とても不便だ。"
ジェスチャー,"gesture / động tác
言葉が通じない場合は、ジェスチャーで伝える。"
首都,"しゅと「THỦ ĐÔ」 capital city / thủ đô
スイスの取得で、大きな会議が開かれる。"
順調,"じゅんちょうな「THUẬN ĐIỀU」 favorable, doing well / thuận lợi
３か国の話し合いは、順調に進んでいるようだ。"
対象,"たいしょう「ĐỐI TƯỢNG」 object, subject / đối tượng
となりの国の首相を対象に、インタビューをした。
＋恋愛対象：れんあいたいしょう：người yêu"
通知,"つうち＜する＞「THÔNG TRI」 notification / thông báo
A国から、来年の訪日の予定が通知された。"
態度,"たいど「THÁI ĐỘ」 attitude, behavior / thái độ
相手の態度で、こちらの態度を変える。"
求める,"もとめる「CẦU」 to seek, to search for / yêu cầu, đòi hỏi, mong muốn
貧しい人たちが何を求めているのか、考えるべきだ。"
結論,"けつろん「KẾT LUẬN」 conclusion / kết luận
話し合いの結論は、明日わかるそうだ。"
ひっくり返す,"ひっくりかえす to flip over, lật ngược, đảo lật
①ステーキを焼くときは、途中でひっくり返す。
②昨日出た結論が、もうひっくり返された。
＋（～が）ひっくり返る：to be flipped over / bị lật"
広がる,"ひろがる「QUẢNG」 to be expanded / được mở rộng
留学によって可能性が広がった"
広げる,"ひろげる「QUẢNG」 to expand / mở rộng
積極的に自分の世界を広げていきたい。"
活動,"かつどう＜する＞「HOẠT ĐỘNG」 activity / hoạt động
小さな活動から、世界を変えていく。
＋クラブ活動：club activities / hoạt động clb
＋就職活動：しゅうしょくかつどう：job hunting / hoạt động tìm việc"
ボランティア,"volunteer / tình nguyện
ボランティアに参加して、成長したい。
＝ボランティア活動
＋ボランティア団体： tổ chức tình nguyện"
