疎通,"そつう - SƠ THÔNG- Sự thông hiểu; sự hiểu biết lẫn nhau
意思疎通: hiểu ý nhau
(IT) FE - BE 疎通動作確認: confirm kết nối giữa front end và back end
(Confirm xem frontend gọi api của backend có được không và có trả về kết quả đúng format không)"
投影,"とうえい - ĐẦU ẢNH- 1. Hình chiếu, phản chiếu
2. Tác động đến"
サロゲート,"Surrogate - Là khóa thay thế được hệ thống tự sinh, không mang ý nghĩa nghiệp vụ.
Lợi ích:
Không phụ thuộc dữ liệu nghiệp vụ.
Dễ quản lý lịch sử dữ liệu (SCD Type 2).
Tăng hiệu năng join trong Data Warehouse."
打合せ,"うちあわせ - ĐẢ HỢP- Cuộc họp, hội họp, bàn luận"
引き継ぐ,ひきつぐ - DẪN KẾ- Chuyển giao; làm tiếp.IT: có thể dùng với nghĩa kế thừa
貼り付け,はりづけ　- dán
引用元,いんようもと　ー nguồn
通番,Thông Phiên - つうばん- Số seri / Serial number
抜ける,ぬける - BẠT- Rời khỏi; rút lui/ Rơi; rụng/ Thoát khỏi; rút ra
渡し,わたし - ĐỘ- Đưa / giao / trao / phát đồ cho người khác
起因,きいん - KHỞI NHÂN- Nguyên nhân xảy ra vụ việc
踏襲,"とうしゅう「ĐẠP TẬP」　Kế thừa, tiếp nối
従来の業務フローを踏襲して、新人研修を行います。
Đào tạo nhân viên mới sẽ được thực hiện theo quy trình công việc hiện có."
欠席,けっせき - KHIẾM TỊCH- vắng mặt
デグレ,"Degrade - suy giảm chất lượng, thoái hóa chức năng."
かつ,Hơn nữa / đồng thời
