上げる;ageru – Làm…xong
合う;au – Làm điều gì đó cùng nhau
ばよかった;ba yokatta – Giá mà… thì tốt rồi
〜ほど;ba~hodo – Càng…càng
〜のに;ba~noni – Thế mà/giá mà
ばかり;bakari – Toàn…/chỉ…/lúc nào cũng
ばかりか〜も;bakarika~mo – Không chỉ có… mà còn
べきだ;beki da – Phải/nên làm gì
別に〜ない;betsuni ni~nai – Không thực sự/không hẳn
ぶりに;buri ni – Sau (mới lại)…
ちゃった;chatta – Làm gì đó mất rồi
だけ;dake – đến mức tối đa có thể…/được chứng nào hay chứng đó
だけでなく;dake de naku – Không chỉ…mà còn
だけしか;dake shika – Chỉ… mà thôi
だけど;dakedo – Nhưng mà
だから;desu kara – Vì vậy
どんなに〜ても;donnani~temo – Cho dù có như thế nào/bao nhiêu đi nữa
どうしても;doushitemo – Bằng bất cứ giá nào/dù thế nào đi chăng nữa
ふりをする;furi wo suru – Giả vờ làm gì/Tỏ ra như thể là…
ふと;futo – Đột nhiên/bất ngờ/chợt
がる;がる<br>Ý muốn (của người khác)
ごらん;ごらん<br>Hãy làm/thử xem...
ごとに;ごとに<br>Mỗi/cứ mỗi/cứ...lại...
はずだ;はずだ<br>Chắc chắn là...
ほど;ほど<br>Thường...(hơn)
ほど～ない;ほど～ない<br>Không bằng như.../không tới mức như...
一度に;いちどに<br>Cùng một lúc/tất cả trong một ...
いくら～ても;いくら～ても<br>Bất kể thế nào/dù thế nào đi chăng nữa ...
一体;いったい<br>Rốt cuộc/ không biết là/ vậy thì
か何か;か なに か<br>Hay gì đó
かける;かける<br>Chưa xong/dở dang
かなあ;かなあ<br>Hay sao/mong sao/có ... không đây
必ずしも～とは限らない;かならずしも～とはかぎらない<br>Không nhất thiết là ...
から～にかけて;から～にかけて<br>Từ ... đến
代わりに;かわりに<br>Thay vì/đổi lại/thay cho
結局;けっきょく<br>Sau tất cả/ cuối cùng
決して～ない;けっして～ない<br>Nhất định không/tuyệt đối không
きり;きり<br>Chỉ có/có
切る/切れる/切れない;きる / きれる / きれない<br>Hết/ không hết
つけ;つけ<br>Có phải ... đúng không/có phải là
