豊かな,"ゆたかな「PHONG」  rich, phong phú, giàu có
日本は、自然が豊かな国だ。
Nhật Bản là đất nước có thiên nhiên phong phú
＋豊富な：ほうふな：abundant / phong phú"
資源,"しげん「TƯ NGUYÊN」 resource, nguồn tài nguyên
資源は大切に使わなければならない。
Nguồn tài nguyên phải được sử dụng trân trọng"
種類,"しゅるい「CHỦNG LOẠI」 type, kind / loài, chủng loại
いろいろな種類の花が咲いている。
Rất nhiều loài hoa đang nở"
枯れる,"かれる「KHÔ」 to wither, héo , tàn
庭のチューリップが枯れてしまった。
Hoa tuy líp trong vườn hoa đã héo tàn"
散る,"ちる「TÁN」 to fall, rơi, rụng
入学式の前に、桜が散った。
Hoa anh đào đã rụng trước thời gian nhập học
＜＞咲く：さく：nở (hoa)"
草,"くさ「THẢO」 grass / cỏ
草の名前を本で調べた。
Tôi tra tên cỏ trong sách
＋雑草：ざっそう：weed / cỏ dại"
浮かぶ,"うかぶ「PHÙ」 to float / nổi, trôi
湖に小さな船が浮かんでいる。
1 con thuyền nhỏ trôi trên hồ nước
＋浮く：うく: to be floating / nổi, trôi"
太陽,"たいよう「THÁI DƯƠNG」 sun , mặt trời
窓から太陽の光が入ってきた。
Ánh sáng mặt trời chiếu qua khung cửa sổ
＋日：ひ：sun , mặt trời
＋日の出：ひので：sunrise, mặt trời mọc
＋日の入り：ひのいり：sunset / mặt trời lặn"
表れる,"あらわれる「BIỂU」 to appear / xuất hiện
東の空から太陽が現れた。
Mặt trời xuất hiện từ bầu trời phía đông"
沈む,"しずむ「TRẦM」 to go down / chìm , lặn
太陽が海に沈むとき、美しくて感動する。
Mặt trời lặn xuống biển , đẹp đến cảm động"
薄暗い,"うすぐらい「BẠC ÁM」 dim, gloomy / tối mờ , sắp tối
太陽が沈み、薄暗くなった。
Mặt trời lặn, mọi thứ trở nên tối đi"
穴,"あな「HUYỆT」 hole / lỗ , hốc hang , hố
冬の間、クマは穴の中で暮らす。
Trong thời gian mùa đông gấu sống trong hang"
ほる,"to dig / đào
うちの犬が、庭に穴をほった。
Con chó nhà tôi đã đào 1 cái hố trong vườn"
うめる,"to bury / lấp, chôn
庭に穴をほって、生ごみをうめた。
Tôi đã đào hố ở vườn chôn rác hữu cơ"
土,"つち「THỔ」 dirt, earth / đất
この皿は、この山の土で、できている。
Cái đãy này làm bằng đất của ngọn núi này"
岩,"いわ「NHAM」 rock, đá 
大きな岩の上に座って、海を見た。
Tôi đã ngồi lên tảng đá lớn và ngắm biển"
丘,"おか「KHÂU」 hill , đồi
向こうの丘の上に、小さな家が見える。
Tôi đã nhìn thấy 1 ngôi nhà nhỏ nằm trên đồi"
火山,"かざん「HỎA SAN」 volcano , núi lửa
日本には、火山がたくさんある。
Ở nhật bản có nhiều núi lửa"
想像,"そうぞう「TƯỞNG TƯỢNG」 imagining , tưởng tượng
ここが昔は海だったなんて、想像できない。 
Tôi ko thể tưởng tượng được ở đây ngày xưa là biển
＋想像力：sức tưởng tượng, trí tưởng tượng"
見上げる,"みあげる「KIẾN THƯỢNG」 to look up , nhìn lên
空を見上げると、星が一杯だった。
Nhìn lên bầu trời thấy đầy trời sao"
見下ろす,"みおろす「KIẾN THƯỢNG」 to look down, nhìn xuống
山の上から、町を見下ろす。
Từ đỉnh núi nhìn xuống thấy thành phố"
ほえる,"to howl / sủa, kêu
夜、動物がほえるのが聞こえた。
Ban đêm, nghe thấy tiếng động vật kêu"
しっぽ,"tail  / đuôi
うちの猫のしっぽは長い。
Đuôi con mèo nhà tôi dài
＝尾：お"
さびる,"to rust / han gỉ
海のそばに引っ越したら、車がさびた。
Tôi chuyển nhà đến cạnh biển, thế là ô tô bị han gỉ"
