名字,"みょうじ「DANH TỰ」 họ (tên)
彼の名字は、とても珍しい。
 Họ của anh ấy rất hiếm"
性別,"せいぶつ「TÍNH BIỆT」 giới tính
名前を書いて、性別に○をしてください。
Hãy viết tên và khoanh tròn vào giới tính"
年齢,"ねんれい「NIÊN LINH」 tuổi , tuổi tác
女性に年齢を聞いてはいけない。
Không được hỏi tuổi tác của phụ nữ"
高齢,"こうれい「CAO LINH」 cao tuổi, nhiều tuổi
日本には、、高齢で元気な人が多い
Ở Nhật Bản, có nhiều người cao tuổi khỏe mạnh"
老人,"ろうじん「LÃO NHÂN」 người già
ボーリングは、老人も好きなスポーツだ。
Bowling là môn thể thao yêu thích của người già"
幼児,"ようじ「ẤU NHI」 trẻ em ( từ 1-5 tuổi)
この教室では、幼児が英語を勉強している。
Trẻ em đang học tiếng Anh ở lớp này"
出身,"しゅっしん「XUẤT THÂN」 xuất thân, sinh ra
彼はタイのバンコク出身だ。
Anh ấy sinh ra ở Bangkok Thái Lan"
生まれ,"うまれ「SANH」 sự ra đời, sinh ra 
私は大阪生まれた。
Tôi sinh ra ở Osaka"
育ち,"そだち「DỤC」 sự lớn lên, trưởng thành
私は大阪生まれ、東京育ちだ。
Tôi sinh ra ở Osaka, lớn lên ở Tokyou"
行儀,"ぎょうぎ「HÀNH NGHI」 hành vi, cư xử
あの子は、とても行儀がいい。
Đứa trẻ đó có hành vi tốt"
マナー,"phép lịch sự, ứng xử
彼はタバコのマナーを知らない。
Anh ấy không biết phép lịch sự khi hút thuốc"
個人,"こじん「CÁ NHÂN」 cá nhân
個人のデータは、あまり教えないほうがいい。
Không nên cho biết thông tin cá nhân"
アドレス,"Địa chỉ mail
アドレスは名刺に書いてある。
Địa chỉ mail có ghi trên danh thiếp"
本人,"ほんにん「BỔN NHÂN」 bản thân, đúng người
あなたが本人か、確認させてください。
Hãy cho tôi xác nhận có phải đúng anh chị hay không"
独身,"どくしん「ĐỘC THÂN」 độc thân
彼は独身だが、結婚したいといっていた。
Anh ấy độc thân nhưng nói muốn lấy vợ"
主婦,"しゅふ「CHỦ PHỤ」 nội trợ
姉は主婦だが、仕事もしている。
Chị tôi là nội trợ nhưng cũng làm việc"
フリーター,"người làm thêm tự do
弟は大学を卒業してからずっとフリーターだ。
Sau khi tốt nghiệp đại học, em trai tôi làm thêm tự do suốt"
無職,"むしょく「VÔ CHỨC」 Không có việc làm, thất nghiệp
今は無職だが、来月から働く。
Bây giờ không có việc làm,từ tháng sau tôi sẽ đi làm"
