入学式,"にゅうがくしき「NHẬP HỌC THỨC」 lễ nhập học
入学式のころ、桜が咲く。 Hoa anh đào nở vào khoảng thời gian lễ nhập học
＋（～に）入学する・学校に入る：vào học"
卒業式,"そつぎょうしき「TỐT NGHIỆP THỨC」 lễ tốt nghiệp
卒業式の日、大きな声で泣いた。 Tôi đã khóc to trong ngày lễ tốt nghiệp
＋（～を）卒業する・（学校を）出る：tốt nghiệp"
通学,"つうがく「THÔNG HỌC」 sự đi học
私はバスと電車で通学しています。
Tôi đi học mỗi ngày bằng xe bus và xe hơi"
学年,"がくねん「HỌC NIÊN」 năm học
日本の小学校は6学年、中学校は3学年だ。
Trường tiểu học của JP có 6 năm học, trường cấp hai có 3 năm."
学期,"がっき「HỌC KÌ」 học kỳ
夏休みが終わって、新しい学期が始まる。
Kỳ nghỉ hè kết thúc, học kỳ mới sắp bắt đầu"
欠席,"けっせき「KHIẾM TỊCH」 vắng mặt, nghỉ
授業を欠席するときは、学校に連絡してください。
Khi nghỉ học, hãy liên lạc cho nhà trường"
遅れる,"おくれる「TRÌ」 đến trễ, đến muộn
朝の電車が30分も遅れた。
Tàu điện buổi sáng đến trễ những 30p"
遅刻,"ちこく「TRÌ KHẮC」 sự đi trễ, đi muộn
電車が遅れて、学校に遅刻してしまった。
Tàu điện trễ làm tôi đi học muộn"
サボる,"trốn học, trốn việc
二日も授業をサボって、先生にしかられた。
Tôi trốn học những hai ngày liền nên bị thầy cô giáo mắng"
集中,"しゅうちゅう「TẬP TRUNG」 sự tập trung
授業のとき、なかなか集中できなくて困った。
Trong giờ học, tôi khổ sở vì ko thể tập trung "
うとうと,"ngủ gà, ngủ gật, lơ mơ ngủ
教室が暖かいと、うとうとしてしまう。
Phòng học ấm là tôi lơ mơ ngủ"
居眠り,"いねむり「CƯ MIÊN」 sự ngủ gật
居眠りしていて、先生に注意された。
Tôi ngủ gật trong lớp nên bị thấy cô nhắc nhở"
寝不足,"ねぶそく「TẨM BẤT TÚC」 sự thiếu ngủ
最近、寝不足が続いている。（名）
Gần đây tình trạng thiếu ngủ kéo dài
最近ずっと寝不足で、授業中に眠くなる。（な形）
Gần đây tôi bị thiếu ngủ suốt nên trong giờ học cứ buồn ngủ."
期間,"きかん「KÌ GIAN」 thời gian, thời kỳ
テスト期間なので、毎日遅くまで勉強している。
Vì là thời gian thi nên tôi học đến trễ mỗi ngày."
期限,"きげん「KÌ HẠN」 thời hạn
宿題の期限は、明日までだ。
Thời hạn trả bài tập đến ngày mai"
時間割,"じかんわり「THÌ GIAN CÁT」 thời gian biểu
先生から、新しい時間割をもらった。
Tôi nhận được thời gian biểu mới từ thầy cô"
項目,"こうもく「HẠNG MỤC」 mục, khoản
資料を、項目に分けて整理する。
Phân chia tài liệu theo mục đề sắp xếp"
座席,"ざせき「TỌA TỊCH」 chỗ ngồi
クラスの座席は、1か月に1度変える。
Chỗ ngồi trong lớp 1 tháng thay đổi 1 lần"
締め切り,"しめきり「ĐẾ THIẾT」 hạn chót
試験の申し込みは、金曜日が締め切りだ。
Hạn chót đăng ký dự thi là ngày thứ 6.
＋締め切る：しめきる：thôi tiếp nhận, kết thúc"
開く,"ひらく「KHAI」 mở
教科書の123ページを開いてください。
Hãy mở trang 123 sách giáo khoa
＜＞閉じる：とじる：đóng"
一応,"いちおう「NHẤT ỨNG」 tạm thời, trước mắt, lại 1 lần
答えを書いたら、一応確認しよう。
Khi viết câu trả lời, hãy kiểm tra lại 1 lần nữa"
きちんと,"sự cẩn thận, nghiêm chỉnh
宿題は、毎日きちんと出してください。
Hằng ngày, hãy nộp bài tập về nhà thật nghiêm chỉnh"
きっかけ,"nguyên cớ, động cơ, nhờ
先生との出会いがきっかけで、勉強が好きになった。
Nhờ gặp thầy cô mà tôi tôi trở nên thích học"
かしこい,"thông minh, khôn ngoan
あの子はかしこくて、親の手伝いもよくする。
Đứa trẻ ấy thông minh, cũng hay giúp đỡ bố mẹ"
貸し出し,"かしだし「THẢI XUẤT」 sự cho mượn
図書館の本の貸し出しは、1回5冊までです。
Thư viện cho mượn sách tối đa 5 cuốn 1 lần
＋貸し出す：かしだす： cho mượn"
返却,"へんきゃく「PHẢN KHƯỚC」 sự trả lại
この本は、2週間以内に返却してください。
Nội trong 2 tuần hãy trả cuốn sách này."
名札,"なふだ「DANH TRÁT」 thẻ tên, bảng tên
中学校までは、学校で名札をつけていた。
Tôi đeo bảng tên ở trường cho đến năm thứ 2."
給食,"きゅうしょく「CẤP THỰC」 bữa ăn trưa ở trường
子供のころ、給食がとても楽しみだった。
Thời bé tôi rất thích thú chờ đợi bữa ăn trưa ở trường"
体育,"たいいく「THỂ DỤC」 môn thể dục
勉強はできなかったが、体育は得意だった。
Tôi học ko được nhưng môn thể dục thì giỏi
＋体育館：たいいくかん： phòng tập thể dục, nhà thi đấu thể thao"
