状態,"じょうたい「TRẠNG THÁI」 condition, status / trạng thái, tình trạng
大雨で、この川は危険な状態だ。
Trời mưa lớn, con sông này trong tình trạng nguy hiểm
＋経済状態：けいざいじょうたい：economic condition, tình trạng kinh tế
＋心理状態：しんりじょうたい：metal condition / trạng thái tâm lý"
変化,"へんか「BIẾN HÓA」 change / sự thay đổi
旅行中、天気の変化がとても気になる。
Trong thời gian du lịch tôi rất bận tâm về sự thay đổi của thời tiết"
一定,"いってい「NHẤT ĐỊNH」 fixed, set / sự ổn định
最近、気温が一定している。
Gần đây nhiệt độ ổn định"
観察,"かんさつ「QUAN SÁT」 watching / sự quan sát
弟は、雲の形を観察している。
Em trai tôi đang quan sát hình dáng đám mây"
次第に,"しだいに「THỨ ĐỆ」 gradually / dần dần
今日の夜から、次第に天気が悪くなるらしい。
Có vẻ từ đêm nay thời tiết sẽ xấu dần"
じょじょに,"steadily / dần dần, từ từ
朝から、気温がじょじょに上がってきた。
Từ sáng nhiệt độ từ từ tăng"
だんだん,"だんだん「と」 be degrees / dần dần
空がだんだん暗くなってきた。
Trời dần dần tối"
ますます,"more and more / càng ngày càng, càng hơn
今週になって、ますます暑くなってきた。
Sang tuần này, trời càng nóng hơn"
すっかり,"completely / thực sự, hoàn toàn
最近、暖かい日が多い。すっかり春だ。
Gần đây những ngày ấm áp nhiều. Mùa xuân thực sụ đã đến rồi"
一気に,"いっきに「NHẤT KHÍ」 all of a sudden / bỗng , một lèo
12月になって、一気に寒くなった。
Sang tháng 12, trời bỗng đổ lạnh"
一度に,"いちどに「NHẤT ĐỘ」 all at once / cùng 1 lúc, đồng loạt
今日は、夏と冬が一度に来たようだった。
Ngày hôm nay, cứ như mùa hè và mùa đông đến cùng 1 lúc"
いっぺんに,"all together / cùng 1 lúc, đồng loạt
2つの台風がいっぺんに来た。
2 cơn bão đến cùng 1 lúc"
いつの間にか,"いつのまにか / before one knows it / lúc nào không hay
雪がいつの間にか止んでいた。
Tuyết ngừng rơi lúc nào không hay"
温暖化,"おんだんか「ÔN NOÃN HÓA」 global warming / hiện tượng nóng lên toàn cầu
世界中で、温暖化が進んでいるようだ。
Hiện tượng trái đất nóng lên đang diễn ra khắp thế giới"
影響,"えいきょう「ẢNH HƯỞNG」 influence / sự ảnh hưởng
温暖化は、いろいろな影響を与えている。
Hiện tượng trái đất ấm lên đang gây ảnh hưởng nhiều"
変な,"へんな「BIẾN」 strange / lạ , bất thường
最近ずっと、変な天気が続いている。
Gần đây thời tiết bất thường kéo dài suốt"
