画面,"がめん「HỌA DIỆN」 screen, màn hình
パソコンの画面を見ていると、目が疲れる。
Nếu nhìn mãi màn hình sẽ mỏi mắt"
件名,"けんめい「KIỆN DANH」 subject, chủ đề
メールの件名は、長すぎないほうがいい。
Chủ đề của e-mail không nên quá dài"
受信,"じゅしん「THỤ TÍN」 to receive, việc nhận (thư, mail)
このメールは昨日受信した。
Email này tôi nhận được từ hôm qua
＋受信者：じゅしんしゃ：người nhận"
送信,"そうしん「TỐNG TÍN」 to sent, việc gửi (thư, mail)
さっき送信したメールは届いただろうか。
Ko biết mail gửi lúc nãy đã đến chưa?
＋送信者：そうしんしゃ：sender, người gửi"
返信,"へんしん「PHẢN TÍN」 reply, việc trả lời (thư, mail)
仕事のメールは、できるだけ早く返信しよう。
Hãy trả lời nhan chóng càng nhanh càng tốt những email cv."
やり取り,"やりとり「THỦ」 sự trao đổi, xử lý
毎日のように、メールをやり取りしている。
Hầu như ngày nào tôi cũng xử lý email."
入力,"にゅうりょく「NHẬP LỰC」 input, writing, sự đánh máy, gõ, nhập
大切なメールは、入力したら何回も確認する。
Những email quan trọng sau khi đánh xong tôi kiểm tra lại nhiều lần"
変換,"へんかん「BIẾN HOÁN」 conversion, sự chuyển đổi
彼のメールは漢字の変換ミスがとても多い。
Email của anh ấy có rất nhiều lỗi chuyển đổi chữ Hán"
改行,"かいぎょう「CẢI HÀNH」 sự xuống dòng
メールの文は、読みやすいように改行してください。
Hãy xuống dòng các câu trong mail sao cho dễ đọc."
見直す,"みなおす「KIẾN TRỰC」 to review, xem lại
内容を2回見直し、送信した。
Tôi xem lại nội dung hai lần rồi gửi"
変更,"へんこう「BIẾN CANH」 change, sự thay đổi
アドレスを変更するのに、時間がかかった
Mất thời gian để thay đổi địa chỉ"
画像,"がぞう「HỌA TƯỢNG」 image, hình ảnh, ảnh
このパソコンは画像がとてもきれいだ。
Hình ảnh của máy tính này rất đẹp
＋映像：えいぞう：image,video"
挿入,"そうにゅう「SÁP NHẬP」 insertion, sự chèn
画像を挿入して、面白いメールを送った。
Tôi chèn hình ảnh vào, gửi đi 1 e-mail thú vị"
添付,"てんぷ「THIÊM PHÓ」attachment, sự đính kèm
ファイルを添付して、送信した。
Tôi gửi đính kèm file
＋添付ファイル：attached file/ file đính kèm"
削除,"さくじょ「TƯỚC TRỪ」 deletion, sự xóa bỏ
昨日のメールは、削除してください。
Hãy xóa bỏ mail hôm qua"
保存,"ほぞん「BẢO TỒN」 saving, lưu trữ
好きな写真を何枚か保存した。
Tôi lưu 1 số bức ảnh mà tôi thích"
新規作成,"しんきさくせい new file, sự lập mới, làm mới
ファイルを新規作成したが、保存し忘れた。
Tôi lập file mới nhưng quên ko lưu"
ブログ,"blog, trang blog
友達のブログは、毎日更新されている。
Trang blog của bạn tôi được cập nhật hàng ngày"
マウス,"mouse, chuột máy tính
パソコンは古いが、マウスは新しい。
Laptop cũ nhưng chuột mới"
クリック,"click, sự nhấp chuột
ここをクリックすると、画面が変わる。
Nếu kích chuột vào chỗ này thì màn hình sẽ thay đổi"
プロバイダー,"provider, nhà cung cấp mạng
引っ越ししたので、プロバイダーに連絡した。
Tôi chuyển nhà nên đã liên lạc vs nhà cung cấp mạng"
ダウンロード,"download, tải xuống
便利なソフトウェアを、無料でダウンロードした。
Tôi đã tải xuống miễn phí 1 phần mềm tiện lợi
＜＞アップロード：Upload, sự tải lên
＋インストール：installation/ sự cài đặt"
ノートパソコン,"notebook, laptop
私はこのノートパソコンを、8年もつかっている。
Tôi đã dùng máy vi tính này những 8 năm rồi
＋デスクトップ：desktop, máy tính để bàn"
