朝食,"ちょうしょく「TRIÊU THỰC」 bữa sáng
忙しくても、朝食は食べたほうがいい。 Dù bận cũng nên ăn sáng"
モーニング,"sáng, buổi sáng
あの店のモーニングセットは、安くて美味しい。
Set ăn sáng của cửa hàng đó vừa rẻ lại ngon"
昼食,"ちゅうしょく「TRÚ THỰC」 bữa trưa
忙しいので、昼食はいつもサンドイッチです。
Vì bận nên bữa trưa bao giờ cũng là sanwitch
＝お昼ご飯"
ランチ,"bữa trưa
ここのランチメニューは、おいしそうだ。
Thực đơn bữa trưa ở đây có vẻ ngon"
夕食,"ゆうしょく「TỊCH THỰC」 bữa tối
今日の夕食は、ちょっと遅くなりそうだ。
Bữa tối hôm nay có vẻ sẽ muộn một chút"
ディナー,"bữa tối
昨日のディナーは高級レストランで食べた。
Bữa tối hôm qua tôi ăn ở nhà hàng cao cấp"
デザート,"món tráng miệng
おなかがいっぱいだが、デザートはたべられる。
No rồi nhưng vẫn có thể ăn được món tráng miệng"
おやつ,"bữa ăn xế, bữa ăn phụ
もうすぐ3時、おやつの時間ですよ。
Sắp sửa 3 giờ rồi đến giờ ăn bữa phụ rồi"
おかず,"thức ăn
毎日のおかずを考えるのは大変だ。
Ngày nào cũng nghĩ ăn gì rất là mệt"
弁当,"べんとう「BIỆN ĐƯƠNG」 cơm hộp
毎日、会社に弁当をに持って行く。
Hàng này, tôi mang cơm hộp đến cty"
自炊,"じすい「TỰ XUY」 việc tự nấu ăn
日本に来てから、自炊を始めた。
Khi đến Nhật, tôi bắt đầu nấu ăn"
外食,"がいしょく「NGOẠI THỰC」 việc ăn ngoài
週末は外食することがある。 Cuối tuần tôi thường đi ăn ngoài"
グルメ,"người sành ăn
彼はグルメで、いろいろな店を知っている。
Anh ấy là người rành ăn, biết nhiều cửa hàng"
おごる,"Đãi, chiêu đãi
ボーナスをもらったので、妹にディナーをおごった。 Vì mới có thưởng nên tôi đãi em gái đi ăn tối
＝ごちそうする
＋おごり"
食欲,"しょくよく「THỰC DỤC」 sự thèm ăn, hứng ăn
最近、あまり食欲がない。Gần đây, tôi không có hứng ăn lắm"
注文,"ちゅうもん「CHÚ VĂN」 đặt hàng, gọi món
先に飲み物を注文しましょう。 Chúng mình gọi đồ uống trước nào"
乾杯,"かんぱい「KIỀN BÔI」  Cụng ly, nâng cấp
ワインで乾杯しましょう。 Chúng ta hãy nâng cốc rượu vang nào"
かむ,"Nhai
食事のときは、よくかみましょう。Khi ăn hãy nhai thật kỹ"
味わう,"あじわう「VỊ」 thưởng thức, thử
おいしい料理は、よく味わって食べよう。
Nào hãy thưởng thức các món ăn ngon"
お代わり,"おかわり「ĐẠI」 sự ăn thêm, uống thêm
みそ汁（しる）がおいしくて、お代わりした。
Canh tương miso ngon nên tôi đã dùng thêm bát nữa"
残す,"のこす「TÀN」 để thừa, để lại
ご飯が多すぎて、少し残した。
Cơm quá nhiều khiến tôi để thừa một ít"
残り物,"のこりもの「TÀN VẬT」 đồ ăn thừa
今日の残り物は、明日食べよう。
Đồ ăn thừa hôm nay, ngày mai ăn nào"
もったいない,"食べ物を残すなんて、もったいない。
Để thừa đồ ăn thật là lãng phí"
済ませる,"すませる「TẾ」 dùng .. Cho đơn giản, … là xong
今日の昼ご飯はコンビニ弁当で済ませた。
Bữa trưa hôm nay tôi đã dùng cơm hộp ở cửa hàng tiện lợi cho đơn giản."
済む,"すむ「TẾ」 xong, xong xuôi
①もう晩ご飯の準備は済んだ。 Việc chuẩn bị bữa tối đã xong
②弁当を作れば、安く済む。 Nếu làm cơm hộp thì sẽ (giải quyết xong vs giá rẻ) rẻ"
量,"りょう「LƯỢNG」 số lượng
この店のスパゲッティは、量が少ない。 Mì spagtetti của cửa hàng này lượng ít"
バランス,"cân bằng
食事は、肉と野菜のバランスが大切だ。
Sự cân bằng giữa thịt và rau trong bữa ăn quan trọng."
