明らか,あきらか「MINH BẠCH」Rõ ràng - 意味: はっきりしていること - 例文: ・彼がうそをついているのは明らかだ。 
厄介,"やっかい「ÁCH GIỚI」Phiền hà, rắc rối - 意味: 手間がかかって面倒なこと - 例文: ・厄介な問題に巻き込まれてしまった。 "
そっくり,「GIỐNG HỆT」Giống như đúc - 意味: 非常によく似ていること - 例文: ・彼は父親にそっくりだ。 
稀,まれ「HI」Hiếm có - 意味: めったにないこと - 例文: ・これほど珍しい石が見つかるのは稀なことだ。 
密接,みっせつ「MẬT TIẾP」Mật thiết - 意味: 深い関係があること - 例文: ・両国の間には密接な関係がある。 
極端,きょくたん「CỰC ĐOAN」Cực đoan - 意味: 普通の程度から大きく離れていること - 例文: ・彼の考え方は極端すぎる。 
抽象的,ちゅうしょうてき「TRỪU TƯỢNG ĐÍCH」Trừu tượng - 意味: 具体的な形がなく、考え方などが漠然としていること - 例文: ・彼の話は抽象的でわかりにくい。 
主な,"おもな「CHỦ」Chính, chủ yếu - 意味: 中心となる、大切な - 例文: ・この町の主な産業は農業です。 "
快適,"かいてき「KHOÁI THÍCH」Sảng khoái, thoải mái - 意味: 心地よくて、気分がいいこと - 例文: ・新しい家はとても快適だ。 "
確か,たしか「XÁC」Chắc chắn - 意味: 間違いがないこと - 例文: ・彼が言ったことは、確かな情報だ。 
有難い,"ありがたい「HỮU NAN」Biết ơn, quý giá - 意味: 感謝したい気持ちであること - 例文: ・皆様の協力は、本当に有難いです。 "
めでたい,「HỶ」Đáng chúc mừng - 意味: 喜ばしく、お祝いしたいこと - 例文: ・今日は息子が大学に合格しためでたい日だ。 
ばかばかしい,"「NGỚ NGẨN」Vớ vẩn, ngu ngốc - 意味: 非常につまらない、または愚かであること - 例文: ・そんなばかばかしい噂を信じるなんて。 "
面倒くさい,めんどうくさい「MIẾN ĐẢO」Phiền phức - 意味: 手間がかかってやりたくないこと - 例文: ・料理を作るのが面倒くさい。 
弱気な,"よわきな「NHƯỢC KHÍ」Nhát gan, yếu đuối - 意味: 自信がなく、消極的な様子 - 例文: ・失敗を恐れて、弱気な発言をしてしまった。 "
強気,"つよき「CƯỜNG KHÍ」Mạnh mẽ, kiên định - 意味: 自信があって、積極的なこと - 例文: ・彼は強気な姿勢で交渉に臨んだ。 "
粗末,"そまつ「THÔ MẠT」Sơ sài, đạm bạc - 意味: おろそかにすること、質が低いこと - 例文: ・食べ物を粗末にしてはいけない。 "
貴重な,きちょうな「QUÝ TRỌNG」Quý giá - 意味: とても大切で価値があること - 例文: ・貴重な経験をすることができた。 
