心から,"こころから「TÂM」 tự đáy lòng, chân thành
先生には、心から感謝しています。"
祈る,"いのる「KÌ」 to pray / cầu chúc
みんなの無事を、心から祈っている。
＋祈り：いのり：prayer / lời cầu chúc"
希望,"きぼう「HI VỌNG」 wish, desire / niềm hi vọng, sự hi vọng
彼は海外勤務を希望している。
＋望む：のぞむ：to wishi (for) / hi vọng, mong muốn
＋望み：のぞみ：wish, desire / niềm hy vọng"
願う,"ねがう「NGUYỆN」 to hope, to wish / cầu mong, cầu nguyện
合格を願って、有名な神社に行った。"
願い,"ねがい「NGUYỆN」 wish, desire / lời cầu nguyện
この願いが彼女に届きますように。"
感じる,"かんじる「CẢM」 to feel / cảm nhận
彼女の言葉に愛情を感じた。"
曖昧な,"あいまいな「ÁI MUỘI」 vague / mập mờ, mơ hồ
日本語には、曖昧な表現が多い。"
案外,"あんがい「ÁN NGOẠI」 unexpected,  surprisingly / ko ngờ, ngoài dự tưởng
彼はいい人そうだが、案外わがままだ。
＋案外な: Không ngờ tới
＋案外と：Ko ngờ cũng … ra phết"
うっかり,"うっかり : carelessly / đãng trí
うっかり玄関のかぎをかけるのを忘れた。"
どうか,"please / mong sao
どうかN3の試験に合格できますように。"
何とか,"なんとか「HÀ」 somehow, cố hết sức, bằng cách nào đó
レポートを締め切りになんとか間に合わせたい。"
なんとなく,"for some reason or another / có vẻ, có cảm giác là
あの映画は、なんとなくおもしろそうだ。"
ものすごい,"very much , rất ghê, rất hay
九州で、ものすごい雨が降っているようだ。"
わざわざ,"all the way / có nhã ý , cất công
わざわざお見舞いに来てくれて、ありがとう。"
こっそり,"sercetly, trộm, lén
姉のバッグをこっそり借りた。"
ふと,"suddenly,casually / bỗng, bỗng nhiên
昔のことを、ふとを思い出した。"
いったい,"why, cái quái gì ko biết
あの人は、いったい何を考えているんだろう。"
