あきる,"to get tired of / chán
このドラマには、もうあきてしまった。"
嫌がる,"いやがる「HIỀM」 to dislike / ghét
息子は家の手伝いを嫌がる。"
落ち込む,"おちこむ「LẠC 」 to get depressed / buồn, thất vọng
友達に悪口を言われて落ち込んだ。"
がっかり,"to be disappointed / sự thất vọng
試験の結果が悪くて、がっかりした。"
悲しむ,"かなしむ「BI」 to be sad / đau buốn
大きな事故が起きて、国中が悲しんでいる。
＜＞喜ぶ：よろこぶ: hạnh phúc
＋悲しみ：sadness / nỗi đau"
かわいそうな,"poor , pitiful / đáng thương, tội nghiệp
この地域の子供たちは学校に行けない。かわいそうだ・"
気の毒,"きのどくな「KHÍ ĐỘC」 unfortunate / tội nghiệp, kém may mắn
気の毒な人たちに、元気を与えたい。"
きつい,"tight , servere / vất vả, cực nhọc
①このくつはきつけて、はけない。
②このバイトはきつい。"
恐怖,"きょうふ「KHỦNG PHỐ」 fear / nỗi sợ
こんな恐怖は経験したことがない。
＋恐怖心：きょうふしん： terror / tâm lý sợ hãi
＋恐怖映画：きょうふえいが：scary movie / phim kinh dị"
ショック,"shock / sốc, cú sốc
親友の言葉に、ひどいショックを受けた。"
後悔,"こうかい「HẬU HỐI」 reget / sự ân hận
高いバッグを買って、後悔している。"
悩む,"なやむ「NÃO」 to be worried / trăn trở
一人で悩んでいないで、話を聞かせてください。"
悩み,"なやみ「NÃO」 worry / trouble / điều trăn trở
悩みがあるなら、私に相談して欲しい。"
不安,"ふあん「BẤT AN」 insecurity / sự bất an ( lo lắng)
明日入学試験を受ける。不安でいっぱい。
不安なときは、私には話してください。"
迷惑,"めいわく「MÊ HOẶC」 nuisance , annoyance / sự phiền phức, phiền toái
いろいろと、ご迷惑をおかけしました。
近所に迷惑な人がいる。"
面倒,"めんどう「DIỆN ĐẢO」 looking after, trouble / sự chăm sóc, or sự phiền phức
小さい妹の面倒をみている。
面倒なことは、先にやったほうがいい。"
面倒くさい,"めんどうくさい「DIỆN ĐẢO」 annoying, troublesome / phiền phức
この仕事は時間がかかって、めんどうくさい。"
ぶつぶつ,"grumble, mutter / lầm bầm
彼は、いつもぶつぶつ言っている。"
いちいち,"every one , each and every one / hơi một tý là
父は、細かいことをいちいち私に注意する。"
やかましい,"loud, noisy / ầm ĩ , rát tai
①外で、工事の音がやかましい。
②父は私の生活について、やかましく言う。"
