親友,"しんゆう「THÂN HỮU」bạn thân
私には親友が3人います。
Tôi có 3 người bạn thân"
仲間,"なかま「TRỌNG GIAN」hội,bạn
彼もサッカーの仲間に入れよう. 
Cho cậu ấy cùng tham gia vào hội bóng đá
＋遊び仲間: playmate: hội hơi, bạn chơi"
仲良し,"なかよし「TRỌNG LƯƠNG」thân thiết, quan hệ tốt
クラスメートは、みんな仲良しだ。
Tất cả bạn bè trong lớp đều thân thiết vói nhau"
幼なじみ,"おさななじみ「ẤU」bạn thuở nhỏ
いなかに帰ると、いつも幼なじみに会う。
Mỗi khi về quê, bao giờ tôi cũng đi gặp lũ bạn thuở bé"
友情,"ゆうじょう「HỮU TÌNH」tình bạn
彼と友情をいつまでも大切にしたい。
Tôi luôn muốn "
親しい,"したしい「THÂN」thân thiết
親しい友達の結婚式に招待された。
Tôi được mời dự đám cưới của bạn thân"
知人,"ちじん「TRI NHÂN」người quen
知人の紹介で、彼と知り合った。
Tôi biết anh ấy qua giới thiệu của người quen"
メンバー,"Thành viên, thành phần 
A「明日のパーティーのメンバーは、誰ですか。」
B「先生と私たちです。」
Bữa tiệc ngày mai ai sẽ tham dự
Giáo viên và chúng tôi"
つなぐ,"子供たちは、手をつないで学校に行く。
Bọn trẻ con nắm tay nhau đến trường"
つながる,夜になっても、電話がつながらない。
当時,"とうじ「ĐƯƠNG THÌ」lúc đó, thời đó
彼女はクラスメートだったが、当時は、あまり話さなかった。
Cô ấy từng là bạn học cùng lớp với tôi nhưng thời đó không nói chuyện với nhau lắm"
祝う,"いわう「CHÚC」chúc mừng
友達の婚約を祝うための会を開いた。
Tôi tổ chức buổi mừng bạn đính hôn"
遠慮,"えんりょ「VIỄN LỰ」sự làm khách, e ngại, giữ kẽ
遠慮しないで食べてください。
Hãy ăn đi, đừng khách sáo"
しょっちゅう,"thường xuyên
幼なじみとしょっちゅう食事している。
Tôi thường xuyên đi ăn uống cùng với lũ bạn thuở bé"
たびたび,"nhiều lần
仕事中に、友達からたびたびメールが来る。
Trong lúc làm việc, Mail từ bạn tôi gửi đến nhiều lần"
たまに,"thi thoảng
大学の友達とたまにお酒を飲む。
Thi thoảng tôi đi uống cùng bạn bè đại học"
たまたま,"tình cờ, ngẫu nhiên
昨日駅前で、たまたま高校時代の友達に会った。
Hôm qua, tình cờ tôi gặp lại người bạn thời trung học"
めったに,"hiếm khi, họa hoằn
東京に来てから、幼なじみと、めったに会えない。
TỪ khi đến Tokyo, Tôi hiếm khi gặp lại bạn thuở bé"
しばらく,"một lúc, một thời gian
幼なじみとしばらく会っていない。
MỘt thời gian tôi không gặp bạn thuở bé"
別々＜な＞,"べつべつ「BIỆT」sự khác nhau, riêng biệt
親友とは別々の大学に進んだ。Tôi và bạn thân tiến vào 2 trường đại học khác nhau
これは別々に入れてください。Cái này bỏ riêng ra nhé"
