いえいえ、とんでもないです,Khong. Hoan toan khong
全然,"ぜんぜん「TOÀN NHIÊN」 hoàn toàn
全然忘れてしまいました. Hoàn toàn quên mất tiêu."
早速,"さっそく「TẢO TỐC」 Ngay lập tức, nhanh chóng
早速、ご対応ありがとうございます。 Cảm ơn bạn đã phản hồi nhanh chóng"
リバース,"Reverse - đảo ngược
リストをリバースして、降順に並べ替える
Đảo ngược list, sắp xếp giảm dần"
提示,"ていじ「ĐỀ KÌ」 ◆ Sự xuất trình
システムにログインする際は、身分証明書の提示が必須です
Sự xuất trình giấy tờ tùy thân là bắt buộc khi đăng nhập hệ thống."
度々,"たびたび「ĐỘ」 nhiều lần, thường xuyên, lặp đi lặp lại
度々のご連絡、失礼いたします: Tôi xin lỗi vì liên lạc bạn thường xuyên"
もう少し早く確認,Hãy kiểm tra sớm chút
退避,"たいひ「THỐI TỊ」 move and backup
作業を停止したり、作業者を退避させる　（dừng làm việc, cho công nhân dời khỏi vị trí )"
統合,"とうごう「THỐNG HỢP」 kết hợp, tích hợp, tổng hợp
システム統合: Tích hợp hệ thống"
別打ち合わせあるため,"うちあわせあるため: Do có cuộc họp
別打ち合わせあるため、中座させていただきます。
Tôi phải đi ngay bây giờ vì tôi còn cuộc họp khác."
中座,"ちゅうざ「TRUNG TỌA」 Tạm rời khỏi chỗ
別打ち合わせあるため、中座させていただきます。
Tôi phải đi ngay bây giờ vì tôi còn cuộc họp khác."
リスク,risk - rủi ro
接続,"せつぞく「TIẾP TỤC」 kết nối, tiếp tục
Wi-Fiに接続できません。ネットワーク設定を確認してください
Không thể kết nối wifi. Vui lòng kiểm tra cài đặt mạng"
乗務,"じょうむ「THỪA VỤ」 ◆ Sự làm việc trên các phương tiện giao thông ◆ Routine business
- 彼女は航空会社で乗務員として働いています。
(Kanojo wa koukuu gaisha de joomuin toshite hataraiteimasu)
(Cô ấy đang làm việc như nhân viên trên hãng hàng không.)"
呼び出す,"よびだす「HÔ XUẤT」 gọi ra, triệu hồi
APIを呼び出す：goi API"
グレーアウト,"Grayed out - bôi xám
一覧表をグレーアウトしました
Bôi xám biểu đồ list"
強制,"きょうせい「CƯỜNG CHẾ」 cưỡng chế, bắt buộc
参加を強制される。bắt buộc tham gia"
に伴い,"にともない「BẠN」 Cùng với
それに伴いまして: Vì lý do đó"
執筆,"しっぴつ「CHẤP BÚT」 Viết (tác phẩm, công trình nghiên cứu v.v... Hành động viết)"
頂く,"いただく「ĐÍNH」 Nhận, xin nhận
頂く:Khiêmnhườngngữcủaくれる
ご連絡頂き、ありがとうございます。
Cảm ơn bạn đã liên hệ với chúng tôi."
