不定表現,ふていひょうげん cách nói phủ định
不～,"＝～が足りない thiếu, mất, không ~"
不可能,"ふかのう  not possible, impossible / không có khả năng"
不自然,ふしぜん  unnatural / mất tự nhiên
不完全,ふかんぜん incomplete / không hoàn chỉnh
不自由,"ふじゆう / impaired,disabled / mất tự do"
不まじめ,ふまじめ / frivolous / không nghiêm túc
不合格,"ふごうかく / failure / không đỗ, trượt"
不安定,"ふあんてい / unstable / bất ổn định, ko ổn định"
無～,"＝～がない without ~ / vô, không ~= không có ~"
無意味,むいみ meaningless / vô nghĩa
無関心,むかんしん / apathy / không quan tâm
無許可,"むきょか / without permission / vô phép, ko cho phép"
無責任,むせきにん / irresponsible / vô trách nhiệm
無計画,むけいかく / without any plan / vô kế hoạch
無免許,むめんきょ / without a license / ko giấy phép
無表情,むひょうじょう emotionless / vô cảm
非～,"＝～ではない /~not / không, phi ~= không phải là"
非日常,ひにちじょう extraordinary / không thông thường
非公開,ひこうかい  not open to the public / ko công khai
非公式,ひこうしき    not made public / phi công thức
非常識,ひじょうしき lack of common sense / trái lẽ thường
未～,"＝まだ～ない /not yet ~ / chưa, vị ~= vẫn chưa ~"
未使用,みしよう / unused / chưa sử dụng
未成年,みせいねん / underage / vị thành niên
未解決,みかいけつ / unresolved / chưa giải quyết
未開発,みかいはつ / undeveloped / chưa phát triển
未経験,みけいけん / inexperienced / chưa có kinh nghiệm
