～たばかり,Vừa mới làm
～ようになる,"Trở nên, cố gắng làm"
～ことになる,"Được quyết định, được sắp xếp là, trở nên"
とても～ない,Không thể nào mà
～らしい,"Có vẻ là, dường như là"
～て初めて,Có ~ mới
～ないで,Xin đừng ~
～によって,"Do, vì, bởi, tùy vào"
～のような,"Giống như, như là~"
～ば～ほど,Càng ~ càng~
～N+ばかり,"Toàn là, chỉ là ~"
～は～で有名,"Nổi tiếng với, vì ~"
Ｎ＋を始め,"Trước tiền là, trước hết là"
～的,Mang tính ~
～は～くらいです,"Khoảng cỡ, đến mức, như là ~"
～さえ～ば,"Chỉ cần, ngay cả, thậm chí"
～ほど/,"～くらい/～ぐらい Đến mức, nhất là, như là"
～まま,"Cứ để nguyên, giữ nguyên"
～わざわざ,"Có nhã ý, có thành ý"
～としたら,"Giả sử, nếu là"
～たものだ,Thường hay
～たて,Vừa mới
～ぐらい,"Đến mức, đến độ, khoảng"
～かえって,"Ngược lại, trái lại"
～には～の～がある,Đối với ~ sẽ có
～っぽい,"Như là, giống như"
まさか,Chắc chắn rằng ~ không
～まい,"Quyết không, không định"
～きり,"Kể từ khi, sau khi"
～いったい,Hẳn là
～ふりをする,"Giả vờ, giả bộ"
～どうやら,"Hình như, giống như là, cuối cùng"
～おかげで/,～おかげだ Nhờ ơn
～さらに,"Thêm nữa, hơn nữa"
～すでに,"Đã rồi, hoàn thành"
～つい,Lỡ
～むしろ,"Trái lại, ngược lại"
～になれる,"Trở nên, trở thành"
～なかなか,～ない Mãi không
～ために,"Vì, để vì (vì lợi ích)"
～ずに,Không làm
～によると/～によれば,Dựa theo
～かわりに,"Thay cho, đổi lại"
～ようにする,"Chắc chắn làm, cố làm"
～始める,Sẽ bắt đầu
～ても,Cho dù ~cũng
～として,"Với tư cách là, xem như là"
～ように,Để (phòng tránh)
～こそ/,～からそこ Chính vì
～どうしても,"Dù thế nào cũng, nhất định"
～がちだ/,"～がちの Có khuynh hướng, thường là"
～せいぜい,"Tối đa, không hơn được nữa"
