相手,"あいて 「TƯƠNG THỦ」 đối phương, đối tác
自分のことだけでなく、相手のことも考えよう。
Không chỉ mỗi mình mà hãy nghĩ cho cả đối phương"
助ける,"たすける「TRỢ」 Giúp, cứu
駅で困っている人を助けた。
Tôi đã giúp một người đang gặp khó khăn ở ga"
助かる,"たすかる「TRỢ」to be save, được cứu, được giúp đỡ
友達がレポートをチェックしてくれたので、助かった。
Bạn đã giúp tôi kiểm trai lại bài báo cáo, may quá"
支える,"ささえる「CHI」hỗ trợ, nâng đỡ, làm chỗ dựa
国の両親が、いつも私を支えてくれる。
Bố mẹ ở trong nước luôn luôn hỗ trợ tôi"
誘う,"さそう「DỤ」 rủ, rủ rê
見たい映画があるので、友達を誘った。
Tôi có 1 bộ phim muốn xem nên đã mời bạn đi cùng"
待ち合わせる,"まちあわせる: hẹn gặp nhau
駅前のカフェで、友達と待ち合わせた。Tôi đã hẹn gặp bạn ở tiệm cà phê trước nhà ga
＋待ち合わせ：まちあわせ: meeting sự hẹn gặp"
交換,"こうかん「GIAO HOÁN」Sự trao đổi
仕事の相手と、メールアドレスを交換した。
Tôi đã trao đổi địa chỉ mail với đối tác công việc"
交流,"こうりゅう「GIAO LƯU」sự giao lưu
いろいろな国の人たちと交流したい。
Tôi muốn giao lưu với mọi người đến từ nhiều nước khác nhau"
断る,"ことわる「ĐOẠN」 từ chối
兄の友達にデートに誘われたが、断った。
Bạn của anh trai rủ đi hẹn hò nhưng tôi đã từ chối"
預ける,"あずける「DỰ」 gửi, gửi trông hộ
旅行の間、友達にペットを預けた。
Trong thời gian du lịch, tôi đã gửi bạn trông hộ thú cưng"
預かる,"あずかる「DỰ」 trông hộ
友達の旅行の間、彼女のペットを預かった。
Tôi đã trông hộ con thú cưng trong thời gian bạn đi du lịch"
かわいがる,"Cưng chiều, yêu chiều, quý
彼女は、みんなからかわいがれている。
Cô ấy được mọi người yêu quý"
甘やかす,"あまやかす「CAM」 chiều chuộng
両親は弟を甘やかしている。
Bố mẹ tôi chiều chuộng em trai"
ついて来る,"ついてくる đi theo, bám theo
散歩にいつも妹がついて来る。
Em gái tôi lúc nào cũng bám theo khi đi dạo"
抱く,"だく「BÃO」 ôm, bế
可愛い赤ちゃんを抱いた。
Tôi ôm em bé dễ thương"
話しかける,"はなしかける bắt  chuyện
兄は、赤ちゃんに話しかけた。
Anh trai tôi đã bắt chuyện vs em bé"
無視,"むし「VÔ THỊ」 sự làm ngơ, bỏ qua
知り合いに話かるたのに、無視された。
Tôi bắt chuyện với người quen nhưng bị làm ngơ"
振り向く,"ふりむく「CHẤN HƯỚNG」 quay lại, ngoài đầu lại
後ろから名前を呼ばれて、振り向いた。
Bị gọi tên từ phía sau, tôi đã quay đầu lại."
いただく,"Nhận, được ai đó cho cái gì (kính ngữ)
部長に日本のお酒をいただいた。
Tôi nhận được rươu nhật từ trưởng phòng."
くださる,"cho
社長の奥様が、お菓子をくださった。
Vợ giám đốc đã cho tôi bánh kẹo"
差し上げる,"さしあげる Tặng, biếu
先生に国のお土産を差し上げた。
Tôi biếu thầy cô  quà của nước tôi"
やる,"cho
妹に買ったばかりのバッグをやった。
Tôi cho em gái cái túi xách vừa mới mua"
与える,"あたえる「DỮ」 làm cho, mang đến
彼女は、私たちに元気を与えてくれる人だ。
Cô ấy là người mang đến sự vui vẻ cho chúng tôi"
見方,"みかた「KIẾN PHƯƠNG」 đứng về phía
私はいつも、あなたの見方です。
Tôi luôn đứng về phía bạn"
悪口,"わるくち「ÁC KHẨU」 nói xấu
人の悪口を言うのは、やめよう。
Hãy thôi nói xấu người khác"
我々,"われわれ「NGÃ」 chúng tôi
これが我々の意見です。
Đây là ý kiến của chúng tôi
＋私たち: we,us chúng tôi"
まね,"sự bắt chước, làm theo
人のまねではなく、自分の考えを持とう。
Không phải là làm theo ý của người khác mà hãy có chính kiến của mình"
