印象,"いんしょう「ẤN TƯỢNG」 impression, ấn tượng
彼に初めて会ったとき、あまり印象がよくなかった。
＋第一印象：だいいちいんしょう: first impression / ấn tượng đầu tiên
＋好印象：こういんしょう: good impression / ấn tượng tốt
＋印象的：いんしょうてき：impressive / một cách ấn tượng"
外見,"がいけん「NGOẠI KIẾN」 appearance , outer look / ngoại hình, vẻ bề ngoài
彼は外見はいいが、性格に問題がありそうだ。"
様子,"ようす「DẠNG TỬ」 situation, condition / bộ dạng
彼女は疲れた様子を、誰にも見せない。"
表情,"ひょうじょう「BIỂU TÌNH」 expression / biểu lộ cảm xúc, nét mặt
あの子は表情が豊かだ。"
姿,"すがた「TƯ」 shape, figure
今日、田中さんの姿を見ていない
＋後ろ姿：うしろすがた: hình dáng phía sau
＋着物姿：きものすがた: dáng mặc kimono"
雰囲気,"ふんいき「PHÂN VI KHÍ」 atmosphere / bầu không khí, phong thái
彼には特別な雰囲気がある。"
幼い,"おさない「ẤU」 very young, childish, ngây thơ, thờ dại
①彼女には幼い子供がいる
②何歳になっても、あの人の考えは幼いままだ。"
かっこいい,"cool, hip / đẹp trai, lịch thiệp
彼はおしゃれで、とてもかっこいい。
＜＞カッコ悪い"
言葉づかい,"ことばづかい「NGÔN DIỆP」 way of speaking, cách ăn nói, cách dùng từ ngữ
彼は言葉づかいが悪い"
上品,"じょうひん＜な＞「THƯỢNG PHẨM」 elegant , refined / thanh lịch, nhã nhặn
この女優は、言葉づかいがとても上品だ
＝エレガント"
下品,"げひん＜な＞「HẠ PHẨM」 vulgar, indecent / thô tục
彼は下品な食べ方をする。"
地味,"じみ＜な＞「ĐỊA VỊ」 plain, subdued / đơn điệu, giản dị
この服は大学生の妹には、ちょっと地味だ。"
派手,"はで＜な＞「PHÁI THỦ」 extravagant, flashy / lòe loẹt , sặc sỡ
彼女は派手に見えるが、本当はおとなしい。"
スマート,"stylish, slim, thanh mảnh, lịch sự
①彼女はモデルみたいにスマートだ。
②彼は女性に対して、いつもスマートだ"
美人,"びじん「MĨ NHÂN」 beautiful woman, người đẹp
あんな美人は、今まで見たことがない
＋美女：びじょ: mỹ nữ"
ハンサムな,"handsome, đẹp trai
娘は父に「パパはハンサムだね」と言う。"
不思議,"ふしぎ＜な＞「BẤT TƯ NGHỊ」 wonderful, mysterios / sự kỳ lạ
彼女には不思議な魅力がある。"
普通,"ふつう「PHỔ THÔNG」 normal, regular, sự bình thường
彼は普通の成績だったが、今は教授になった。
あの店のラーメンの味は、普通だ。"
さわやかな,"fresh, refreshing, thanh thoát dễ chịu, mát mẻ dễ chịu
彼のさわやかな笑顔が大好きだ。"
さっぱり,"simple, frank , sự sảng khoái, dễ tính, phóng khoáng
①朝、シャワーを浴びたら、さっぱりした。
②姉はさっぱりした性格だ。"
にっこり,"にっこり＜と＞ smile, grin / mỉm cười
先生は会うと、にっこり笑ってくれる。"
にこにこ,"smiling, beaming / tươi cười, vui vẻ
彼女は、いつもにこにこしている"
にやにや,"grinning, smirk / cười nhếch mép, cười khấy
彼は、いつもにやにやしていて気持ち悪い。"
いきいき,"いきいき＜と＞ lively / vui vẻ, hoạt bát
あの人は、いつもいきいきしている。"
ぺらぺら,"ぺらぺら＜と＞ fluently / lưu loát
彼女は５か国語を、ぺらぺらと話す。"
