覚ます,"さます「GIÁC」tỉnh dậy, thức giấc
夜中の3時に目を覚ました。Tôi tỉnh dậy lúc 3 giờ đêm"
覚める,"さめる「GIÁC」thức giấc
毎朝、7時に、目が覚める。Mỗi sáng tôi thức dậy lúc 7 giờ"
明ける,"（夜が）あける「MINH」trời sáng
ゲームをしていたら、夜が明けてしまった。 Tôi chơi game rồi thì trời sáng mất tiêu"
支度,"したく「CHI ĐỘ」 sự chuẩn bị, sửa soạn
起きたら、急いで朝ごはんを食べて、支度する。Thức dậy là tôi vội vã ăn uống và sửa soạn"
合わせる,"あわせる「HỢP」 ướm, phối hợp
ご飯の時、手を合わせて「いただきます。」と言う。Khi ăn, chấp tay lại và nói itadakimasu."
しまう,"cất
午前中に、冬のふとんを干して、しまう。Trong buổi sáng tôi phơi chăn mùa đông và cất đi."
そる,"（ひげを）そる cạo (râu)
夫はひげをそるのに、時間がかかる. Chồng tôi mất thời gian để cạo râu"
とかす,"（髪を）とかす chải (tóc)
朝、3分くらいで髪をとかす。Sáng tôi chải tóc mất 3 phút"
そろえる,"tập hợp, xếp
持って行くものをそろえて、バッグに入れる。Tôi xếp những thứ mang đi vào túi
＋（～が）そろう：tập hợp, đầy đủ"
昼寝,"ひるね「TRÚ TẨM」 việc ngủ trưa
会社で15分だけ、昼寝している。Ở cty tôi ngủ trưa chỉ 15p"
腰かける,"こしかける「YÊU」 dựa lưng
いすに腰かけて、少し休もう。Dựa lưng vào ghế, nghỉ ngơi 1 chút nào"
暮れる,"くれる lặn
もう少しで日が暮れる。 Mặt trời sắp sửa lặn
＋年のくれ：としのくれ： hết năm, cuối năm"
おしゃべり,"sự nói chuyện, trò chuyện
家族とおしゃべりする時間を大切にしている。Tôi trân trọng thời gian trò chuyện với gia đình"
リラックス,"sự thư giãn
家に帰って、リビングでリラックスする。 Về nhà tôi thư giản ở phòng khách"
ふだん,"thông thường, bình thường
ふだんは家で食事をする。 Bth tôi ăn ở nhà"
ふだん着,"ふだんぎ: quần áo thường ngày, quần áo ở nhà
ふだん着のまま、ソファーで寝てしまった。 Ngủ quên trên ghế sofa mà vẵn mặc nguyên quần áo"
相変わらず,"あいかわらず vẫn như mọi khi
息子は相変わらずゲームをしている。 Con trai tôi vẫn chơi game như mọi khi"
たいてい,"đại khái, đại để
たいてい、1時ごろ寝る。 Đại khái tôi ngủ lúc 1 giờ"
夜ふかし,"よふかし sự thức khuya
週末は、ちょっと夜ふかししてしまう。 Cuối tuần tôi thức khuya 1 chút"
電源,"でんげん「ĐIỆN NGUYÊN」 nguồn điện, chỗ cắm điện
夜、パソコンの電源を切る. Buổi tối, tắt nguồn điện máy tính"
充電,"じゅうでん「SUNG ĐIỆN」 sạc pin, nạp điện
寝る前に、スマートフォンを充電しておく。 Trước khi ngủ, tôi sạc pin đt thông minh"
セット,"sự cài đặt
目覚ましを7時にセットした。Cài đặt báo thức lúc 7 giờ
目覚まし：めざまし: đồng hồ báo thức"
なでる,"vuốt ve
ペットの犬をなでて、「おやすみ」と言った。 Tôi vuốt ve chó con và nói chúc ngủ ngon"
ぐっすり,"say giấc, ngủ say
今日もぐっすり寝られそう。 HÔm nay cũng có vẻ ngủ say giấc"
運,"うん「VẬN」 số, vận
今日は、運がいい一日だった。 HÔm nay, là 1 ngày may mắn"
