余計,"よけい「DƯ KẾ」 dư thừa không cần thiết
余計なことを言わないでください。
→ Đừng nói những điều không cần thiết."
プランアーカイブ,Plan Archive - Lưu trữ kế hoạch
署名,"しょめい「THỰ DANH」 chữ ký
契約書に署名をする必要があります。
→ Cần phải ký vào hợp đồng."
自体,"じたい「TỰ THỂ」 chính bản thân (cái đó), tự nó, bản thân sự việc đó
この計画自体に問題がある。
→ Có vấn đề ngay trong chính kế hoạch này."
ブラウザ,browser
ナビログデータ,Navigation log data - Dữ liệu nhật ký điều hướng
キャリア,career - Sự nghiệp
同期,"どうき「ĐỒNG KÌ」 cùng thời điểm, đồng bộ hóa
彼は私の会社の同期です。
→ Anh ấy là người vào công ty cùng đợt với tôi.
スマホとパソコンを同期する。
→ Đồng bộ điện thoại với máy tính."
乗継,"のりつぎ「THỪA KẾ」 chuyển tiếp phương tiện, chuyển tàu
乗継案内を確認してください。
→ Vui lòng kiểm tra hướng dẫn chuyển tuyến."
繰り返し,"くりかえし「SÀO PHẢN」 sự lặp lại, lặp đi lặp lại
繰り返し練習することが大切です。
→ Việc luyện tập lặp đi lặp lại là rất quan trọng."
切り捨て,"きりすて「THIẾT XÁ」 làm tròn, bỏ phần dư
3.9を切り捨てると3になる。
→ Làm tròn 3.9 xuống thì thành 3."
切り上げ,"きりあげ「THIẾT THƯỢNG」 làm tròn lên
3.2を切り上げると4になる。
→ Làm tròn 3.2 lên thì thành 4."
無視,"むし「VÔ THỊ」 phớt lờ, bỏ qua, hoặc làm ngơ
 彼は私の話を無視した。
→ Anh ấy đã phớt lờ lời tôi nói."
あらかじめ,"予め あらかじめ 「DƯ」 trước, sẵn trước, hoặc làm gì đó từ trước để chuẩn bị.
あらかじめ連絡しておいてください。
→ Vui lòng liên lạc trước."
生じる,"しょうじる「SANH」 (V2, tha V + ố) phát sinh, nảy sinh, hoặc xảy ra. Thường dùng trong ngữ cảnh trang trọng.
問題が生じた場合は、すぐに報告してください。
→ Nếu phát sinh vấn đề, hãy báo cáo ngay."
