増,TĂNG - 訓: ふーえる / ふーやす / まーす - 音: ゾウ - 故事: Đất (土) tích tụ trên tầng (曽) lớp tạo thành sự gia TĂNG (増) - Ví dụ: 増える (ふえる) / 増加 (ぞうか) / 増進 (ぞうしん)
損,TỔN - 訓: そこーなう / そこーねる - 音: ソン - 故事: Dùng tay (扌) làm rơi tiền (員) là bị TỔN (損) thất - Ví dụ: 損なう (そこなう) / 損失 (そんしつ) / 損害 (そんがい) / 破損 (はそん)
拡,KHUẾCH - 音: カク - 故事: Dùng tay (扌) mở rộng (広) là KHUẾCH (拡) đại - Ví dụ: 拡大 (かくだい) / 拡張 (かくちょう) / 拡散 (かくさん)
縮,SÚC - 訓: ちぢーむ / ちぢーまる / ちぢーめる / ちぢーらす - 音: シュク - 故事: Dùng sợi chỉ (糸) buộc vào chỗ ở (宿) làm cho nó co SÚC (縮) lại - Ví dụ: 縮む (ちぢむ) / 短縮 (たんしゅく) / 圧縮 (あっしゅく)
焦,TIÊU - 訓: こーげる / こーがす / あせーる - 音: ショウ - 故事: Con chim (隹) bị nướng trên lửa (灬) nên bị cháy TIÊU (焦) - Ví dụ: 焦げる (こげる) / 焦る (あせる) / 焦点 (しょうてん)
刑,HÌNH - 音: ケイ - 故事: Dùng đao (刂) xử phạt ở nơi bằng phẳng (开) là HÌNH (刑) phạt - Ví dụ: 刑事 (けいじ) / 死刑 (しけい) / 刑罰 (けいばつ)
捜,SƯU - 訓: さがーす - 音: ソウ - 故事: Dùng tay (扌) tìm kiếm người phụ nữ (女) đội mũ (𦥯) là SƯU (捜) tầm - Ví dụ: 捜す (さがす) / 捜査 (そうさ) / 捜索 (そうさく)
裁,TÀI - 訓: さばーく / たーつ - 音: サイ - 故事: Dùng đao (衣+戈) để cắt vải may đồ là TÀI (裁) ba - Ví dụ: 裁く (さばく) / 裁判 (さいばん) / 制裁 (せいさい) / 独裁 (どくさい)
削,TƯỚC - 訓: けずーる - 音: サク - 故事: Dùng đao (刂) cắt bỏ phần tiêu (肖) cực là TƯỚC (削) bỏ - Ví dụ: 削る (けずる) / 削減 (さくげん) / 添削 (てんさく)
戻,LỆ - 訓: もどーす / もどーる - 音: レイ - 故事: Con chó (大) quay quay (戸) lại lối cũ là quay LỆ (戻) - Ví dụ: 戻る (もどる) / 戻す (もどす) / 返戻 (へんれい)
換,HOÁN - 訓: かーえる / かーわる - 音: カン - 故事: Dùng tay (扌) HOÁN (換) đổi cái vật ở trên bàn (奐) - Ví dụ: 換える (かえる) / 乗り換え (のりかえ) / 交換 (こうかん) / 変換 (へんかん)
替,THẾ - 訓: かーえる / かーわる - 音: タイ - 故事: Hai người (夫夫) nói chuyện (日) để THAY THẾ (替) - Ví dụ: 替える (かえる) / 両替 (りょうがえ) / 代替 (だいたい)
抽,TRỪU - 音: チュウ - 故事: Dùng tay (扌) kéo tự do (由) là TRỪU (抽) ra - Ví dụ: 抽象的 (ちゅうしょうてき) / 抽選 (ちゅうせん) / 抽出 (ちゅうしゅつ)
略,LƯỢC - 音: リャク - 故事: Trên đồng ruộng (田) đi (各) lại để tóm LƯỢC (略) - Ví dụ: 省略 (しょうりゃく) / 略歴 (りゃくれき) / 戦略 (せんりゃく)
充,SUNG - 音: ジュウ - 故事: Đứa trẻ (儿) đội mũ (亠) là SUNG (充) túc - Ví dụ: 充てる (あてる) / 充実 (じゅうじつ) / 補充 (ほじゅう) / 充電 (じゅうでん)
除,TRỪ - 訓: のぞーく - 音: ジョ / ジ - 故事: Bước lên vùng đất (阝) dư (余) thừa để loại TRỪ (除) - Ví dụ: 除く (のぞく) / 削除 (さくじょ) / 掃除 (そうじ) / 免除 (めんじょ)
余,DƯ - 訓: あまーる / あまーす - 音: ヨ - 故事: Dưới mái nhà có 8 (八) người dư DƯ (余) - Ví dụ: 余る (あまる) / 余分 (よぶん) / 余裕 (よゆう) / 余計 (よけい)
誘,DỤ - 訓: さそーう - 音: ユウ - 故事: Dùng lời nói (言) để DỤ (誘) dỗ người khác ăn lúa (秀) - Ví dụ: 誘う (さそう) / 誘導 (ゆうどう) / 勧誘 (かんゆう)
勧,KHUYẾN - 訓: すすーめる - 音: カン - 故事: Dùng sức (力) để KHUYẾN (勧) khích con chim (隹) - Ví dụ: 勧める (すすめる) / 勧告 (かんこく) / 勧誘 (かんゆう)
寄,KÍ - 訓: よーる / よーせる - 音: キ - 故事: Trong nhà (宀) có người lạ (奇) đến gửi KÍ (寄) - Ví dụ: 寄る (よる) / 寄付 (きふ) / 寄生 (きせい) / 立ち寄る (たちよる)
迷,MÊ - 訓: まよーう - 音: メイ - 故事: Đi bộ (⻌) trên con đường có gạo (米) rắc ra là bị lạc MÊ (迷) - Ví dụ: 迷う (まよう) / 迷信 (めいしん) / 迷惑 (めいわく)
占,CHIÊM/CHIẾM - 訓: うらなーう / しーめる - 音: セン - 故事: Dùng miệng (口) nói lời bói CHIÊM (占) - Ví dụ: 占う (うらなう) / 占める (しめる) / 独占 (どくせん) / 占領 (せんりょう)
印,ẤN - 訓: しるし - 音: イン - 故事: Dùng tay ấn cái mộc xuống là ẤN (印) - Ví dụ: 印 (しるし) / 印刷 (いんさつ) / 印象 (いんしょう) / 目印 (めじるし)
与,DỰ/DỮ - 訓: あたーえる - 音: ヨ - 故事: Một (一) người bưng (ㄣ) quà đem DỰ (与) tặng - Ví dụ: 与える (あたえる) / 関与 (かんよ) / 与党 (よとう)
齢,LINH - 音: レイ - 故事: Cái răng (歯) có mệnh lệnh (令) là tuổi LINH (齢) - Ví dụ: 年齢 (ねんれい) / 高齢 (こうれい) / 樹齢 (じゅれい)
籍,TỊCH - 音: セキ - 故事: Dùng tre (竹) để ghi chép lại xưa (昔) kia vào sổ TỊCH (籍) - Ví dụ: 戸籍 (こせき) / 国籍 (こくせき) / 書籍 (しょせき) / 在籍 (ざいせき)
際,TẾ - 訓: きわ - 音: サイ - 故事: Bước lên vùng đất (阝) có bàn thờ (祭) là thực TẾ (際) - Ví dụ: 際 (きわ) / 実際 (じっさい) / 国際 (こくさい) / 交際 (こうさい)
