並,BỊNH - 訓: なみ / ならーべる / ならーぶ - 音: ヘイ - Câu chuyện: 2 người (立) đứng XẾP HÀNG ngang BỊNH (並) với nhau - Ví dụ: 並ぶ (ならぶ) / 並べる (ならべる) / 人並み (ひとなみ) / 並列 (へいれつ)
巻,QUYỂN - 訓: まーく / まき - 音: カン - Câu chuyện: Dùng tay (手) cuộn 2 (二) QUYỂN (巻) sách lại - Ví dụ: 巻く (まく) / 上巻 (じょうかん) / 下巻 (げかん) / 全巻 (ぜんかん)
居,CƯ - 訓: いーる - 音: キョ - Câu chuyện: Con người (尸) CƯ (居) ngụ trong ngôi nhà có đồ cổ (古) - Ví dụ: 居る (いる) / 居眠り (いねむり) / 居酒屋 (いざかや) / 住居 (じゅうきょ)
清,THANH - 訓: きよーい / きよーめる - 音: セイ / ショウ - Câu chuyện: Nước (氵) trong xanh (青) là nước THANH (清) khiết - Ví dụ: 清い (きよい) / 清書 (せいしょ) / 清潔 (せいけつ)
掃,TẢO - 訓: はーく - 音: ソウ - Câu chuyện: Dùng tay (扌) cầm chổi quét sạch cái hang (帚) là TẢO (掃) mộ - Ví dụ: 掃く (はく) / 掃除 (そうじ) / 清掃 (せいそう)
宝,BẢO - 訓: たから - 音: ホウ - Câu chuyện: Trong nhà (宀) có ngọc (玉) là BẢO (宝) vật - Ví dụ: 宝物 (たからもの) / 宝石 (ほうせき) / 宝くじ (たからくじ)
城,THÀNH - 訓: しろ - 音: ジョウ - Câu chuyện: Dùng đất (土) để THÀNH (成) lập lâu đài THÀNH (城) - Ví dụ: 城 (しろ) / 大阪城 (おおさかじょう) / 城下町 (じょうかまち)
栄,VINH - 訓: さかーえる / はーえる - 音: エイ - Câu chuyện: Cây (木) nở hoa rực rỡ dưới ánh sáng (火) là sự VINH (栄) hiển - Ví dụ: 栄える (さかえる) / 栄養 (えいよう) / 光栄 (こうえい)
蔵,TẠNG - 訓: くら - 音: ゾウ - Câu chuyện: Cỏ (艹) che giấu (厂) thần (臣) cầm giáo (戈) trong kho TẠNG (蔵) - Ví dụ: 蔵 (くら) / 冷蔵庫 (れいぞうこ) / 貯蔵 (ちょぞう)
士,SĨ - 音: シ - Câu chuyện: Người có thể hiểu từ 1 (一) đến 10 (十) là kẻ SĨ (士) - Ví dụ: 弁護士 (べんごし) / 介護士 (かいごし) / 紳士 (しんし)
