現代,"げんだい「HIỆN ĐẠI」 modern era / hiện đại
現在の社会には、いろいろな問題がある。
＋現代人：げんだいじん：modern-day person / con người hiện đại"
現実,"げんじつ「HIỆN THỰC」 reality / hiện thực 
現実は厳しいが、前に進んでいこう。
＋現実的な：realistic / tính hiện thực"
理想,"りそう「LÍ TƯỞNG」 ideal / lý tưởng
理想と現実の間で悩むことがある。
＋理想的な：ideal / tính lý tưởng"
偉大,"いだいな「VĨ ĐẠI」 admirable , remarkable / vĩ đại
社会には偉大なリーダーが必要だ。"
当然,"とうぜん＜な＞「ĐƯƠNG NHIÊN」 of course, naturally / đương nhiên
子供が親を大切にするのは、当然のことだ。
今日の試合の結果は当然だ。"
当たり前,"あたりまえ「ĐƯƠNG NHIÊN」 the obvious / sự đương nhiên
困っている人を助けるのは当たり前だ。"
金持ち,"＜お＞かねまち「KIM TRÌ」 rich, wealthy / người giàu, giàu
子供のころは、お金持ちになりたかった。"
貧しい,"まずしい「BẦN」 poor , nghèo
彼は貧しかったが、努力して社長になった。
②彼は考えが貧しい。"
貧乏,"びんぼう＜な・する＞「BẦN PHẠP」  poor person / sự nghèo khổ
祖父は子供のころ、貧乏だったそうだ。"
発展,"はってん「PHÁT TRIỂN」 development / sự phát triển
社会の発展のために役に立ちたい。"
進歩,"しんぽ＜する＞「TIẾN BỘ」 progress / sự tiến độ
技術は常に進歩している。"
協力,"きょうりょくな「HIỆP LỰC」 strong, powerful / mạnh mẽ
将来のために、協力に発展を進める。"
パワー,"power , sức mạnh , năng lượng
若者のパワーが、これからの社会を作る。"
あふれる,"to be full of, to overflow , dâng đầy, đầy
①大雨で川の水があふれた。
②ラッシュで、人がホームにあふれている。"
くずれる,"to crumble, to fall apart / lở, hư hại, bị phá vỡ
①大雨で山がくずれた。
②社会のルールがくずれてきている。
＋（～を）くずす：to break apart / tháo, phá vỡ"
経つ,"たつ「KINH」 to pass (time) trôi qua
何年経っても、あの事故を忘れてはいけない。"
前後,"ぜんご「TIỀN HẬU」 before and after / trước sau, trên dưới
二十歳前後の若者に、アンケートを取った。"
盛んな,"さかんな「THỊNH」 popular / rầm rộ, thịnh vượng, phát triển
この町は、今でも祭りが盛んだ。"
産業,"さんぎょう「SẢN NGHIỆP」 industry / ngành, ngành sản xuất
日本には、新しい産業が必要だ。"
工業,"こうぎょう「CÔNG NGHIỆP」 manufacturing industry / công nghiệp
私はのふるさとでは工業が盛んだ。"
商業,"しょうぎょう「THƯƠNG NGHIỆP」 commerce, trade / thương nghiệp, thương mại
この地方は商業の町だ。
＋商売：しょうばい：to trade , sự buôn bán, kinh doanh"
農業,"のうぎょう「NÔNG NGHIỆP」 farming, agriculture / nông nghiệp
いなかで農業を始めたい。"
