患者,"かんじゃ「HOẠN GIẢ」 patient / bệnh nhân
この病気は、高齢の患者が多い。
Bv này có nhiều bệnh nhân cao tuổi
＋入院患者：にゅういんかんじゃ：bệnh nhân nằm viện"
診察,"しんさつ「CHẨN SÁT」 examination , khám bệnh
鈴木先生は診察中です。 
Bác sỹ Suzuki đang khám bệnh
＋診察室：しんさつしつ：Phòng khám bệnh"
検査,"けんさ「KIỂM TRA」 scan, sự xét nghiệm
大きな病院で検査したほうがいいですよ。
Nên làm xét nghiệm ở bv lớn thì tốt hơn đấy
＋検査入院：けんさにゅういん：nhập viện làm xét nghiệm"
治療,"ちりょう「TRÌ LIỆU」 medical treatment, điều trị, chữa bệnh
兄は、けがの治療のために入院している。
Anh trai nhập viện để điều trị vết thương
＋治療費: phí điều trị
＋治療方法: Phương pháp điều trị"
健康診断,"けんこうしんだん「KIỆN KHANG CHẨN ĐOẠN」 checkup, khám sức khỏe
毎年、健康診断を受けている。
Tôi khám sức khỏe hàng năm"
内科,"ないか「NỘI KHOA」 internal medicine, khoa nội
かぜをひいたら、内科に行く。
Nếu bị cảm thì đi khám nội khoa"
外科,"げか「NGOẠI KHOA」 surgery / khoa ngoại
けがをしたので、外科で診てもらった。
Tôi bị thương nên khám ngoại khoa"
小児科,"しょうにか「TIỂU NHI KHOA」 pediatrics / khoa nhi
小児科から、子供の泣き声が聞こえてきた。
Nghe thấy tiếng khóc của trẻ con từ khoa nhi"
保険,"ほけん「BẢO HIỂM」 health insurance, bảo hiểm
病気やけがのために、保険に入った。
Tôi đã tham gia bảo hiểm ốm đau và thương tật"
保険証,"ほけんしょう「BẢO HIỂM CHỨNG」 thẻ bảo hiểm
病院に、保険証を持っていくのを忘れた。
Tôi quên ko mang thẻ bảo hiểm đến bv
＋生命保険：せいめいほけん：life insurance, bảo hiểm nhân thọ"
効く,"きく「HIỆU」 to work / hiệu lực, có tác dụng
この薬は、かぜによく効く。
Thuốc có tác dụng tốt đối vs bệnh cảm
＋効果がある：Có hiệu quả"
注射,"ちゅうしゃ「CHÚ XẠ」 injection / tiêm
注射をしてもらったら、すぐに熱が下がった。
Được tiêm cái là hạ sốt liền"
おんぶ,"cõng
娘をおんぶして、病院に行った。
Tôi cõng con gái đến bệnh viện"
だっこ,"bế
夫が初めて娘をだっこした。
Chồng tôi lần đầu tiên bế con gái"
栄養,"えいよう「VINH DƯỠNG」 nutrition / dinh dưỡng
栄養のある物を食べてください。
Hãy ăn những thứ bổ dưỡng"
回復,"かいふく「HỒI PHỤC」 to recover/ sự hồi phục
薬が効いて、翌日には体調が回復した。
Thuốc có tác dụng khiến ngày hôm sau cơ thể hồi phục
＋悪化：あっか：sự xấu đi"
証明,"しょうめい「CHỨNG MINH」 vertification / sự chứng minh
インフルエンザを証明するために、診断書を書いてもらった。
Để chứng minh bị cúm, tôi đã xin giấy chẩn đoán
＋証明書：certificate / giấy chứng nhận"
そっと,"softly / khẽ khàng/ nhẹ nhàng
子供が起きないように、そっとドアを閉めた。
Tôi nhẹ nhàng khép cửa sao cho con ko bị thức giấc"
じっと,"quietly / đứng im / im tư thế
動かないで、じっとしてください。
Đừng động đậy, hãy đứng im"
手術,"しゅじゅつ「THỦ THUẬT」 surgery/ phẫu thuật, mổ
母は足の手術をした。
Mẹ tôi đã phẫu thuật chân"
包帯,"ほうたい「BAO ĐỚI」 bandage / băng bó
退院した時、まだ包帯をしていた。
Khi ra viện tôi vẫn còn băng bó"
巻く,"まく「QUYỂN」 to wrap / quấn
自分で包帯を巻くのは難しい。
TỰ mình quấn băng thật là khó"
長生き,"ながいき「TRƯỜNG SANH」 long life, sống lâu
できるだけ長生きしたいと思っている。
Tôi muốn sống càng lâu càng tốt"
