祝日,"しゅくじつ 「CHÚC NHẬT」/ holiday / ngày nghỉ lễ
日本の祝日を、カレンダーで確認する
Tôi xác nhận ngày nghỉ lễ của Nhật Bản qua lịch
＝祭日：さいじつ"
年末年始,"ねんまつねんし 「NIÊN MẠT NIÊN THỦY」Cuối năm đầu năm
年末年始に海外旅行をする人が多い。
Vào dịp cuối năm đầu năm nhiều người đi du lịch nước ngoài"
元日,"がんじつ 「NGUYÊN NHẬT」/ New Year's Day , ngày mùng 1 Tết
元日に友達と神社に行った。
Ngày mùng 1 Tết tôi cùng bạn đến đền thờ Thần đạo
＋元旦：がんたん：morning of New Year's Day / sáng mùng 1 Tết"
迎える,"むかえる 「NGHÊNH」/ to receive, to welcome / đón
来年は、富士山で新年を迎えたい。
Sang năm tôi muốn đón năm mới trên núi Phú SĨ"
年賀状,"ねんがじょう 「NIÊN HẠ TRẠNG」New Year's Card / thiệp chúc mừng năm mới
年賀状が届くのを楽しみにしている。
Tôi đang mong đợi thiệp chúc mừng năm mới gửi đến"
お年玉,"おとしだま「NIÊN NGỌC」 / New Year's Gift / tiền mừng tuổi
就職してから、親にお年玉をあげている。
Từ khi đi làm tôi tặng tiền mừng tuổi cho bố mẹ"
成人の日,"せいじんのひ 「THÀNH NHÂN NHẬT」/ Coming-of-age Day / Ngày lễ trưởng thành
成人の日に二十歳の若者が会場に集まった。
Vào ngày lễ trưởng thành, các nam nữ thanh niên 20 tuổi đã tập trung ở hội trường
＋成人式：せいじんしき： lễ trưởng thành"
ひな祭り,"ひなまつり 「TẾ」/ Girls'Festival / Ngày lễ búp bê Hina
ひな祭りは女の子のお祝いだ.
Ngày lễ búp bê Hina là ngày lễ mừng cho các bé gái
＋ひな人形：ひなにんぎょう： Hina doll / búp bê Hina"
ゴールデンウイーク,"Golden Week / Tuần lễ vàng
4月下旬から5月の初めに、ゴールデンウイークという連絡がある。
Từ cuối tháng 4 đến đầu tháng 5 có ngày nghỉ dài gọi là Tuần lễ vàng"
子供の日,"こどものひ / Children's Day / Ngày trẻ em
子供の日に、家族で遊園地に行くつもりだ。
Vào Ngày trẻ em tôi định cả nhà sẽ đi đến khi vui chơi giải trí"
母の日,"ははのひ Ngày của mẹ
今年の母の日に、スカーフをプレゼントした。
Ngày của mẹ năm nay tôi đã tặng mẹ cái khăn choàng"
父の日,"ちちのひ / Ngày của cha
父の日には、ネクタイを贈ることにしている。
Ngày của Bố tôi quyết định gửi cho bố một cái cà vạt"
海の日,"うみのひ / Ngày của Biển
去年の海の日は、朝から大雨だった。
Ngày của Biển năm ngoái, mưa to từ sáng"
敬老の日,"けいろうのひ 「KÍNH LÃO NHẬT」/ Ngày Kính Lão
デパートで、敬老の日のための贈り物を探した。
Tôi đã tìm quà tặng cho Ngày Kính Lão trong trung tâm thương mại."
体育の日,"たいいくのひ / Ngày thể dục thể thao
体育の日は、学校で運動会が開かれる。
Vào Ngày thể dục thể thao, ở các trường học tổ chức ngày hội thể thao"
もともと,"originally / vốn dĩ
体育の日は、もともと10月10日だった。
Ngày thể dục thể thao vốn dĩ là ngày mùng 10 tháng 10"
七五三,"しちごさん / Ngày lễ Shichi-go-san
七五三のお祝いに、神社で記念写真を撮る
Chụp ảnh kỷ niệm ở đền thờ Thần đạo mừng ngày lễ Shichi-go-san"
大みそか,"おおみそか / New Year's Eve / đêm giao thừa
日本では大みそかに、そばを食べる週間がある。
Ở Nhật Bản có tập quán ăn mì Soba vào đêm giao thừa."
