間際,まぎわ「GIAN TẾ」Ngay trước khi/Sắp sửa - 意味: 物事が起ころうとする直前 - 例文: ・飛行機が離陸する間際になって、忘れ物に気づいた。 
たちまち,「LẬP THÌ」Ngay lập tức - 意味: 非常に短い時間のうちに - 例文: ・噂はたちまちのうちに広がった。 
こつこつ,"「CẦN MẪN」Siêng năng, từng chút một - 意味: 地道に、たゆまず努力する様子 - 例文: ・彼は毎日こつこつと勉強を続けている。 "
一気に,"いっきに「NHẤT KHÍ」Một hơi, một mạch - 意味: 途中で休まずに一度に - 例文: ・喉が渇いていたので、ビールを一気に飲んだ。 "
うとうと,「LƠ MƠ」Ngủ gà ngủ gật - 意味: 浅い眠りに引き込まれる様子 - 例文: ・授業中、つい「うとうと」してしまった。 
たまに,「NGẪU NHIÊN」Thỉnh thoảng - 意味: 回数が少ない様子 - 例文: ・たまに家族で外食をすることがある。 
たまたま,"「NGẪU NHIÊN」Tình cờ, ngẫu nhiên - 意味: 偶然に - 例文: ・昨日、駅でたまたま旧友に会った。 "
びっしょり,「ƯỚT SŨNG」Ướt sũng - 意味: ひどく濡れている様子 - 例文: ・急な雨に降られて、服がびっしょり濡れてしまった。 
おそらく,「KHẢ NĂNG」Có lẽ - 意味: 多分、高い確率で - 例文: ・明日はおそらく雨が降るだろう。 
やや,「HƠI HƠI」Một chút - 意味: 少し、わずかに - 例文: ・今年は例年に比べて、やや気温が高い。 
かつて,"「TỪNG」Trước kia, đã từng - 意味: 以前に - 例文: ・ここはかつて賑やかな市場だった。 "
一旦,いったん「NHẤT ĐÁN」Một khi/Tạm thời - 意味: 一度、または一時的に - 例文: ・一旦家に帰ってから、また出かけます。 
じかに,「TRỰC TIẾP」Trực tiếp/Thẳng - 意味: 間に何も挟まないで直接 - 例文: ・床にじかに座る。 
ぐったり,"「MỆT LẢ」Mệt lử, rũ rượi - 意味: 疲れて力が入らない様子 - 例文: ・暑さでぐったりしている。 "
常に,つねに「THƯỜNG」Luôn luôn - 意味: いつも、絶えず - 例文: ・彼は常に冷静だ。 
ひそひそ,"「THÌ THẦM」Rì rầm, thì thầm - 意味: 小さな声で話す様子 - 例文: ・二人はひそひそと秘密の話をしている。 "
一斉に,いっせいに「NHẤT TỀ」Đồng loạt - 意味: 多くのものが一度に同じことをする様子 - 例文: ・鳥たちが一斉に飛び立った。 
当分,とうぶん「ĐƯƠNG PHÂN」Một thời gian nữa - 意味: しばらくの間 - 例文: ・雨は当分降り続くようだ。 
一転,いってん「NHẤT BIẾN」Thay đổi hoàn toàn - 意味: 物事の状態が急に変わること - 例文: ・試合の流れが一転して、逆転勝ちした。 
きっぱり,「DỨT KHOÁT」Dứt khoát - 意味: 態度をはっきりさせる様子 - 例文: ・誘いをきっぱり断った。 
精一杯,せいいっぱい「TINH NHẤT BÔI」Dốc hết sức - 意味: 持っている力をすべて出すこと - 例文: ・精一杯頑張ります。 
即座に,そくざに「TỨC TỌA」Ngay tại chỗ - 意味: その場ですぐに - 例文: ・質問に対して即座に答えた。 
ごちゃごちゃ,「LỘN XỘN」Lộn xộn - 意味: 整理されておらず乱雑な様子 - 例文: ・机の上がごちゃごちゃしている。 
一層,いっそう「NHẤT TẦNG」Hơn hẳn/Càng thêm - 意味: 前よりも程度が強まること - 例文: ・夜になって寒さが一層厳しくなった。 
ぎっしり,「CHẬT NÍCH」Chật kín - 意味: 隙間なく詰まっている様子 - 例文: ・予定がぎっしり詰まっている。 
ぐるぐる,"「XOAY VÒNG」Xoay quanh, cuộn tròn - 意味: 何度も回る様子 - 例文: ・包帯をぐるぐる巻きにする。 "
順々に,じゅんじゅんに「THUẬN」Lần lượt - 意味: 順番通りに - 例文: ・順々に並んでお待ちください。 
軽々と,かるがると「KHINH」Nhẹ nhàng - 意味: 苦労せずにたやすく行う様子 - 例文: ・重い荷物を軽々と持ち上げた。 
細々と,こまごまと「TẾ」Chi tiết/Tỉ mỉ/Lẹt đẹt (sống) - 意味: 細かく詳しく、または細い暮らしを続ける様子 - 例文: ・細々と田舎で暮らしている。 
まもなく,「GIAN」Sắp sửa/Chẳng mấy chốc - 意味: すぐに、時間が経たないうちに - 例文: ・まもなく電車が参ります。 
ぐんぐん,「VÙ VÙ」Nhanh chóng/Vùn vụt - 意味: 勢いよく進む・成長する様子 - 例文: ・背がぐんぐん伸びる。 
ふんわり,「MỀM MẠI」Mềm mại/Bồng bềnh - 意味: 柔らかく軽い様子 - 例文: ・ふんわりとしたパン。 
うっすら,"「MỜ NHẠT」Mờ mờ, loáng thoáng - 意味: わずかに、かすかに - 例文: ・山にうっすらと雪が積もっている。 "
しっとり,「ẨM MƯỢT」Ẩm mượt/Điềm tĩnh - 意味: 適度に湿り気がある様子、または落ち着いた様子 - 例文: ・しっとりとした肌。 
どうりで,「THẢO NÀO」Hẳn nào/Thảo nào - 意味: 納得のいく理由がある様子 - 例文: ・「彼は昨日寝ていないんだって。」「どうりで眠そうなわけだ。」 
ゆらゆら,"「BỒNG BỀNH」Rung rinh, đu đưa - 意味: ゆっくり揺れる様子 - 例文: ・波に揺られて船がゆらゆらしている。 "
さらさら,"「MƯỢT MÀ」Mượt mà (tóc), xào xạc - 意味: 物が触れ合う音や、流れが滞らない様子 - 例文: ・さらさらとした髪。 "
すらすら,「TRÔI CHẢY」Trôi chảy - 意味: 淀みなく物事が進む様子 - 例文: ・難しい問題をすらすら解いた。 
続々と,ぞくぞくと「TỤC」Liên tục/Nối đuôi nhau - 意味: 次から次へと続く様子 - 例文: ・新しい商品が続々と発売される。 
少なくとも,すくなくとも「THIỂU」Ít nhất là - 意味: 最低限見積もっても - 例文: ・完成までには少なくとも3日はかかる。 
先々,さきざき「TIÊN TIÊN」Tương lai xa/Nơi nơi - 意味: 将来、または行く先々の場所 - 例文: ・先々のことを考えて貯金する。 
