導入,どうにゅう「DẪN NHẬP」Đưa vào/Dẫn nhập. 意味 ① 新しい何か（製品、サービス、制度）を社内に入れること 例文 ・Ａ「最近はどこもセルフレジを導入してるね。」 Ｂ「うちも導入しようか。」 意味 ② はじまりの部分 例文 ・授業では導入部分が大切です。
体格,"たいかく「THỂ CÁCH」Cử chỉ, vóc dáng. 意味 体の筋肉・骨の太さ ポイント ＿がいい ＿が小さい 例文 ・ボディガードはみんな体格がいいなぁ。 使い分け • 体格 たいかく ： 筋肉, 骨の太さ • 体型 たいけい ： 太っている, 痩せている"
勘定,かんじょう「KHÁN ĐỊNH」Sự thanh toán. 意味 支払い金額を計算してお金を支払うこと ポイント ≒お会計 会計より硬い感じ 例文 ・Ａ「ここの勘定は私が。」 Ｂ「いえいえ、割り勘でいきましょう。」 ・（店員に向かって） お勘定お願いします。
人通り,ひとどおり「NHÂN THÔNG」Lượng người đi lại. 意味 人が行き来すること。人の通行。 ポイント ＿が多い ＿が少ない 例文 ・東京の渋谷は人通りが多くて、にぎやかだ。
訂正,ていせい「ĐÍNH CHÍNH」Đính chính. 意味 間違っているものを正しく直すこと ポイント よく言葉・文字・文章の間違いを直す時に使います。自分に間違いがあった時。修正は相手がミスした時も使える。 例文 ・資料を訂正したので、確認しておいてね。 ・先ほどは失礼な事を申しました。発言を訂正いたします。
用心,"ようじん「DỤNG TÂM」Dụng tâm, cẩn trọng. 意味 事前に気をつけること 例文 ・火の用心 ・この辺は夜危なそうだから、帰り道は用心してね。 使い分け • 注意： しかる時にも使う • 用心： 事前に気をつける場合に使う"
会見,"かいけん「HỘI KIẾN」Phỏng vấn, họp báo. 意味 改まった形で人に会うこと。公式な場面で使う。 例文 ・謝罪会見 ・結婚会見"
支持,しじ「CHI TRÌ」Ủng hộ. 意味 賛成して応援すること ポイント 政治の話でよく使います 例文 ・新しい政治家の支持率が高い・低い ⇒内閣（日本政府）
言い訳,"いいわけ「NGÔN DỊCH」Biện minh, lý do lý trấu. 意味 そうなった理由を説明する 例文 ・「やばい、、お皿壊れっちゃった。お母さんに絶対怒られる〜〜。言い訳考えなきゃ、、、」 ・言い訳するな！！！"
特色,とくしょく「ĐẶC SẮC」Đặc sắc. 意味 他と違っていて、良い意味で目だつところ 例文 ・特色のある学校
所有,しょゆう「SỞ HỮU」Sở hữu. 意味 自分のものとして持っていること ポイント 権利、財産＋所有 例文 ・「このアパートは僕が所有しているんだ。」 ・父の所有する土地 
収納,しゅうのう「THU NẠP」Sự cất trữ. 意味 ものを中に入れて・しまっておくこと 例文 ・このアパートは収納が多い。 ・Ａ「山田さんは収納が上手ですね。」 Ｂ「いえいえ、むじるしで買った収納用品を使っただけです。」 
用途,ようと「DỤNG ĐỒ」Công dụng. 意味 使う方法・使うところ ポイント 多い、広い 例文 ・この商品は用途が多い。 
行方,"ゆくえ「HÀNH PHƯƠNG」Tung tích. 意味 どこにいるか 例文 ・警察庁の最新データによると、平成 26 年から 30 年の間に、日本全体の年間行方不明者数は 81,111 人から 87,962 人に増加した。 "
予測,よそく「DỰ TRẮC」Dự đoán. 意味 その先や結果を前もって考える・予想すること ポイント 予想よりも客観的・信頼性が高い 例文 ・コロナウイルスは今年中に収束すると予測しています。 
完了,"かんりょう「HOÀN LIỄU」Hoàn thành. 意味 完全に終えること 例文 ・「課長。会議の準備, 完了しました。」 "
相違,そうい「TƯƠNG VI」Khác nhau. 意味 ２つのものの間に違いがあること ポイント ⇔共通点 例文 ・（警察の取り調べで） ２人の意見は相違点が多い。 
作成,さくせい「TÁC THÀNH」Soạn thảo. 意味 計画や書類を作ること 例文 ・「グエンさん、今日の会議の資料を作成してくれるかな。」 
中断,"ちゅうだん「TRUNG ĐOẠN」Gián đoạn, tạm dừng. 意味 始まっているものを途中でやめること ポイント 完全にやめるわけではなく、また再開する 例文 ・雨でサッカーの試合が中断する。 "
収穫,"しゅうかく「THU HOẠCH」Gặt hái, thu hoạch. 意味 何かをして得られること ポイント 食べ物、経験, 結果 例文 ・「今年はたくさん収穫できたなぁ！」 ・「今回の出張は収穫が多かったです。契約が３件も取れました。」 "
衝突,"しょうとつ「XUNG ĐỘT」Va chạm, xung đột. 意味 ① ぶつかること 例文 ・車とトラックが衝突して、多くのけが人が出た。 意味 ② 意見が合わず、争うこと 例文 ・意見の衝突 彼は上司と衝突して会社を辞めた。 "
搬送,はんそう「BÀN TỐNG」Vận chuyển. 意味 物や人を運ぶこと ポイント 病院、救急車 例文 ・けが人が救急車で病院に搬送された。 
避難,ひなん「TỊ NẠN」Tị nạn. 意味 危険な場所から安全な場所へ逃げること 例文 ・「火事だ！早く外へ避難して！」 ・避難訓練、避難場所 
貢献,"こうけん「CỐNG HIẾN」Cống hiến, đóng góp. 意味 何かのために力を尽くして、役に立つこと 例文 ・社会に貢献する ・世界平和に貢献したい。 "
寄付,きふ「KÍ PHÓ」Quyên góp. 意味 公共の団体（学校、病院、困っている人）などにお金や物を送ること 例文 ・ユニセフに募金/寄付をする。 
自立,じりつ「TỰ LẬP」Tự lập. 意味 他の人に頼らないで、自分の力でやっていくこと ポイント 生活、精神的 例文 ・兄は 30 歳だが、まだ親に頼っていて自立していない。 
厳重,"げんじゅう「NGHIÊM TRỌNG」Nghiêm ngặt, khắt khe. 意味 厳しく注意すること ポイント ＿に注意する、＿に管理する 例文 ・「今後はこのようなミスがないよう、厳重に注意してください」。 "
実行,じっこう「THỰC HÀNH」Thực hành. 意味 実際に行うこと 例文 ・口で言うのは簡単だが、実行するのは難しい。 ・計画を実行に移す。 
反映,はんえい「PHẢN ÁNH」Phản ánh. 意味 ① A→Bに影響し、現れること。意見・考えを〜に反映する 例文 ・国民の声を政治に反映させよう。 ・お客様からいただいた意見をサービス改善に反映する。 
反省,"はんせい「PHẢN TỈNH」Phản tỉnh, kiểm điểm. 意味 自分のしたことを「悪かったなぁ」と思い、次からどうするか考えること 例文 ・「ごめんなさい。私が悪かったです。反省しています」。 "
