日常,"にちじょう「NHẬT THƯỜNG」 thường nhật
日常の生活を楽しみたい。 Tôi muốn thưởng thức cuộc sống thường nhật
＋日常生活：にちじょうせいかつ：cuộc sống thường nhật
＋日常会話：にちじょうかいわ：hội thoại thông thường"
常に,"つねに「THƯỜNG」 thường xuyên
常に、家族の健康を考えている。 Tôi thường xuyên nghĩ đến sức khỏe gia đình"
出迎え,"でむかえ「XUẤT NGHÊNH」 sự đón
空港へ国の友達の出迎えに行く。 Đi đến sân bay đón bạn từ nước sang"
出迎える,"でむかえる「XUẤT NGHÊNH」 đón
バス停で友達を出迎えた。 Tôi đã đón được bạn tại bến xe bus"
見送り,"みおくり「KIẾN TỐNG」 sự tiễn
空港へ家族を見送りに行く。 Tôi tiễn gia đình ra sân bay"
見送る,"みおくる「KIẾN TỐNG」 tiễn
泣きながら家族を見送った。 Tôi vừa tiễn gia đình vừa khóc"
郵送,"ゆうそう「BƯU TỐNG」 gửi bưu điện
母に誕生日プレゼントを郵送した。 Tôi gửi bưu điện quà sinh nhật cho mẹ"
小包,"こづつみ「TIỂU BAO」 gói, bưu kiện
小包にセーターを入れた。 Tôi cho áo len vào bưu kiện"
送料,"そうりょう「TỐNG LIÊU」 tiền gửi, cước gửi
荷物を送る時、送料がかかる。 Khi gửi hành lý sẽ mất tiền cước"
あて先,"あてさき: địa chỉ nhận
あて先を間違えないように書いた。 Tôi đã viết không để nhầm địa chỉ"
あて名,"あてな: tên người nhận
あて名に母の名前を書いた。 Tôi viết tên mẹ tôi vào tên người nhận"
差出人,"さしだしにん「SOA XUẤT NHÂN」 người gửi
ここに差出人の住所を書いてください。 Hãy viết địa chỉ của người gửi vào chỗ này"
とりあえず,"trước mắt
大学に合格したので、とりあえず母に知らせた。Vì đã đậu đại học trước mắt, tôi báo cho mẹ biết"
出前,"でまえ「XUẤT TIỀN」 gọi đến nhà
今日は疲れたので、寿司の出前にしよう。 Hôm nay vì mệt mỏi nên mình gọi susshi đến nhà thôi
＝デリバリー"
ほどく,"Tháo, cởi
玄関で、靴のひもをほどいた。 Tôi tháo dây giày ở lối cửa vào"
留守番電話,"るすばんでんわ: Đt trả lời tự động khi vắng nhà
留守番電話に母の声が入っていた。 Có tiếng mẹ tôi trong ĐT trả lời tự động khi vắng nhà"
よく,"hay, thường
両親や兄弟と、よく電話で話している。 Tôi hay nói chuyện đt vs bố mẹ và anh em trai"
早め,"はやめ: sớm, nhanh chóng
飛行機のチケットを早めに予約しておく。 Tôi đặt sẵn cé máy bay sớm
＜＞遅め：おそめ：trễ"
リサイクル,"sự tái chế, tái sử dụng
洋服も家具もリサイクルできる Quần áo cũng như đồ gia dụng đều tái sử dụng được
＝再利用：さいりよう：tái sửa dụng"
どける,"xê dịch, tránh sang 1 bên
その自転車をどけてください。 Hãy xê cái xe đạp đấy ra"
