個性,"こせい「CÁ TÍNH」 individuality / cá tính
一人ひとりの個性を大切にしよう。
Hãy coi trọng cá tính của mỗi người
＋個性的：personal / cá tính"
まじめ,"serious / sự nghiêm túc
彼は、とてもまじめな会社員だ。
Anh ấy là 1 nhân viên rất nghiêm túc"
働き者,"はたらきもの「ĐỘNG GIẢ」 hard worker / người chăm làm
私の母は働き者だ. Mẹ tôi là người chăm làm"
正直,"しょうじき「CHÁNH TRỰC」 honest / sự thật (thật thà, thẳng thắn)
うそはいけません。正直に言いなさい。
Ko được nói dối, hãy nói thật đi
＋正直者：honest person / người thật thà"
素直な,"すなおな「TỐ TRỰC」 dễ bảo, hiền
弟は、とても素直な性格だ。 
Em trai tôi thích cách hiền lành dễ bảo"
積極的,"せっきょくてきな「TÍCH CỰC ĐÍCH」 assertuve, active / tích cực
会社では、積極的に仕事をしている。
Trong cty tôi tích cực làm việc"
消極的,"しょうきょくてき「TIÊU CỰC ĐÍCH」 passive / tiêu cực
彼は消極的なタイプだ。
Anh ấy là típ người tiêu cực"
ほがらかな,"cheerful / hồ hởi, vui tính
ほがらかな人と一緒にいると、楽しくなる。
Ở bên người vui tính sẽ trở nên vui vẻ"
人なつこい,"friendly, sociable / dễ làm thân, thân thiện
彼女は人なつこいので、先輩にかわいがられる。
Cô ấy thân thiện nên được đàn anh quý
＝人なつこい"
おだやかな,"calm, quiet / điềm đạm, ôn hòa
彼はおだやかなので、みんなに好かれる。
Anh ấy điềm đạm được mọi người yêu mến"
のん気な,"のんきな carefreee / ung dung, đủng đỉnh
のん気に遊んでいないで、勉強しなさい。
Đừng có đủng đỉnh chơi nữa, hãy học đi"
おとなしい,"quiet, docile / hiền lành, trầm tính
姉は、会社ではおとなしいらしい。
Chị gái tôi có vẻ trầm tính khi ở công ty"
そそっかしい,"careless, thoughtless / hậu đậu, bất cẩn, hấp tấp
田中さんはそそっかしくて、1日に3回はミスする。
Anh Tanaka hậu đậu 1 ngày 3 lần mắc lỗi"
いいかげんな,"careless / lấy lệ, qua loa, đại khái
いいかげんな返事をしてはいけません。
Ko được trả lời lấy lệ"
意地悪,"いじわる「Ý ĐỊA ÁC」 mean / sự ác ý
意地悪をするのは、やめなさい。（名）
Hãy thôi ngay những việc làm ác ý
意地悪な人は嫌われる。（な形）
Người độc ác sẽ bị ghét bỏ"
わがまま,"selfish / sự đòi hỏi, ích kỷ , bướng bỉnh
わがままを言わないでください。（名）
彼女はわがままな性格だ。（な形）
Đừng có đòi hỏi bướng bỉnh
Cô ấy có tính cách bướng bỉnh"
勝手,"かって「THẮNG THỦ」 selfish,  self-centered / sự tùy tiện, tự tiện
勝手に人のノートを見ないでください
Ko đc tự tiện xem vở của người khác"
図々しい,"ずうずうしい「ĐỒ」 shameless, audacious / vô tư, vô duyên
彼は、勝手に人の辞書を使う。図々しい人だ。
Anh ấy tự tiện dùng từ điển của người khác, thật là người vô tư"
生意気,"なまいき「SANH Ý KHÍ」 impudent , sassy / sự xấc láo, hỗn hào
彼女は生意気だが、嫌いじゃない。
Cô ta xấc láo nhưng tôi ko ghét"
けち,"stringiness , cheapness / sự hà tiện, keo kiệt
彼はけちだから、こちそうしてくれない
Anh ta keo kiệt nên ko đãi tôi"
しつこい,"persistent / dai dẳng, bền bỉ, cố chấp
彼はしつこいから、きっとあきらめないだろう。
Anh ta là người bền bỉ nên chắc chắn sẽ ko bỏ cuộc"
鋭い,"するどい「DUỆ」 sharp / sắc, nhạy bén, tinh tường
①彼は鋭いナイフを探している。
②母は鋭いので、私のうそに気づく。
Anh ấy đang tìm con dao bén
Mẹ tôi là người nhạy bén nên nhận ra tôi nói dối"
鈍い,"にぶい「ĐỘN」 dim, dull / cùn, chậm chạp
父は鈍いから、はっきり言わないとわからない。
Bố tôi chậm chạp nên ko nói rõ ràng là ông ko hiểu"
単純,"たんじゅん「ĐƠN THUẦN」 simple / đơn giản, chất phác
①彼は単純な計算ミスをした。
②彼は単純なところがある。
Anh ta nhầm những tính toán đơn giản
Anh ta có chỗ chất phác"
オーバー,"over, to an extreme / quá, thái quá
あの人は何でもオーバーに言う。
Người ấy cái gì cũng nói quá lên
＝大げさな"
欠点,"けってん「KHIẾM ĐIỂM」 flaw, shortcoming / khuyết điểm
誰にでも欠点がある
＋弱点：じゃくてん： weak point , điểm yếu"
くせ,"habit / tật
話しているときに髪にさわるのが私のくせです
Tôi có tật vuốt tóc khi nói chuyện
＋口ぐせ：favorite phrase / tật nói"
器用,"きよう（な）「KHÍ DỤNG」 skillful / khéo tay , khéo léo
姉は器用で、料理も上手だ。
Chị gái tôi khéo tay, nấu ăn giỏi
＜＞不器用：ぶきよう"
