お札,"おさつ「TRÁT」tiền giấy
日本のお札は、千円から一万円まである。 Tiền giấy của Nhật có mệnh giá từ 1000 đến 10,000 yên
＝紙へい：しへい"
コイン,"tiền xu
海外のコインを集めるのが好きだ。 Tôi thích sưu tầm tiền xu của nước ngoài
＝硬貨：こうか"
小銭,"こぜに「TIỂU TIỀN」tiền lẻ
財布に小銭がない。 Trong ví không có tiền lẻ"
生活費,"せいかつひ「SANH HOẠT PHÍ」 chi phí, tiền sinh hoạt
日本は生活費が高い。 Nhật Bản phí sinh hoạt cao"
食費,"しょくひ「THỰC PHÍ」 chi phí ăn uống
一か月の食費は２万円ぐらいだ。 Tiền ăn trong 1 tháng khoảng 20,000 yên"
光熱費,"こうねつひ「QUANG NHIỆT PHÍ」 tiền điện/gas
日本は光熱費が高い。 Ở Nhật Bản, chi phí điện gas đắt"
交際費,"こうさいひ「GIAO TẾ PHÍ」 tiền quan hệ giao tiếp
友達とよく飲みに行くので、交際費がかかる。 Tôi hay ăn uống với bạn bè nên tốn tiền quan hệ giao tiếp"
公共料金,"こうきょうりょうきん「CÔNG CỘNG LIÊU KIM」 phí dịch vụ công cộng
この国は公共料金が安い。 Phí dịch vụ công của nước này rẻ"
こづかい,"tiền tiêu vặt
1か月のこづかいは３万円だ。 Tiền tiêu vặt trong 1 tháng là 30 nghìn yên."
節約,"せつやく「TIẾT ƯỚC」 sự tiết kiệm
旅行のために節約している。 Tôi đang tiết kiệm để đi du lịch"
ぜいたく,"xa xỉ , xa hoa
今はまだ学生なので、ぜいたくはできない（名）Bây giờ vẫn là học sinh nên không thể sài sang
ぜいたくな生活に、あまり興味がない。（な形）Tôi không hứng thú lắm với cuộc sống xa hoa"
割り勘,"わりかん「CÁT KHÁM」 chia tiền trả
今日は割り勘にしよう。 HÔm nay chúng mình cùng chia tiền nhé"
レンタル,"sự thuê, muốn
結婚のドレスは、レンタルにした。 Tôi quyết định thuê váy cưới
＋レンタルビデオ：băng video thuê"
支払う,"しはらう「CHI PHẤT」trả tiền, thanh toán
コンビニで、公共料金を支払うことができる。Có thể trả tiền phí dv công cộng tại combini này."
支払い,"しはらい「CHI PHẤT」chi trả, thanh toán
公共料金の支払いを忘れていた。 Tôi quên chi trả phí dv cc."
勘定,"かんじょう「KHÁM ĐỊNH」 sự tính tiền, thanh toán
客「お勘定は、どこでしますか。」 
店員「レジでお願いします。」 "
口座,"こうざ「KHẨU TỌA」 tài khoản
初めて自分の口座を開いた。 Lần đầu tiên mở tài khoản cho mình"
キャッシュカード,"thẻ tiền mặt
銀行からキャッシュカードが届いた。Thẻ tiền mặt được gởi đến từ ngân hàng."
暗証番号,"mật khẩu, mật mã
あんしょうばんごう「ÁM CHỨNG PHIÊN HÀO」
カードの暗証番号を忘れてしまった。"
預金,"よきん「DỰ KIM」 sự gửi tiền ( vào ngân hàng)
銀行に１００万円預金した。"
ためる,"tích lũy, dành dụm
会社員になったら、お金をためるつもりだ。Khi trở thành nv cty, tôi dự định tích lũy tiền"
たまる,"tích trữ, dành dụm được
節約しても、なかなかお金がたまらない。 Dù tôi có tiết kiệm, mãi vẫn không dành dụm được tiền"
引き出す,"ひきだす「DẪN XUẤT」 rút
大きな買い物をするので、お金を引き出した。 Vì mua sắm lớn nên tôi đã rút tiền
＝下ろす：おろす"
振り込む,"ふりこむ「CHẤN 」 chuyển khoản
銀行で、公共料金を振り込んだ。"
送金,"そうきん「TỐNG KIM」 gửi tiền (cho ai đó)
今月も、国の両親に送金した。"
通帳記入,"つうちょうきにゅう「THÔNG TRƯỚNG　KÍ NHẬP」 cập nhật thông tin sổ ngân hàng
通帳記入のために、銀行に寄った。"
