勤務,"きんむ「CẦN VỤ」 work, sự làm việc
勤務時は9時から5時だ。
 Thời gian làm việc từ 9 giờ đến 5 giờ"
事務,"じむ「SỰ VỤ」 office work, việc văn phòng
会社に入ったときは、事務をやっていた。
Khi vào cty tôi làm cv văn phòng"
担当,"たんとう「ĐAM ĐƯƠNG」 charge, sự phụ trách
今年から、大きな仕事を担当している。
Từ năm nay tôi phụ trách cv lớn
＋担当者：たんとうしゃ：người phụ trách"
営業,"えいぎょう「DOANH NGHIỆP」 sales, kinh doanh 
営業の仕事は、いろいろな人に会えて楽しい。
Cv kinh doanh gặp gỡ nhiều người rất vui"
経営,"けいえい「KINH DOANH」 kinh doanh (nói chung)
将来、自分の会社を経営したい。
Tương lai tôi muốn kinh doanh cty của mình"
広告,"こうこく「QUẢNG CÁO」 việc quảng áo
学生時代から広告の仕事に興味があった。
Tôi quan tâm hứng thú vs cv quảng cáo từ hồi học sinh
＋宣伝：せんでん：sự tuyên truyền
＋広告会社：こうこくがいしゃ：cty quảng cáo"
出版,"しゅっぱん「XUẤT BẢN」publishing, sự xuất bản
あの会社は、日本語の本をしゅっぱんしている。
Cty ấy xuất bản sách tiếng Nhật"
製作,"せいさく「CHẾ TÁC」 production, việc sản xuất, làm, chế tạo
私は、テレビドラマを製作したいと思っている。
Tôi muốn làm phim truyền hình"
通訳,"つうやく「THÔNG DỊCH」sự phiên dịch, thông dịch
会社でベトナム語の通訳の仕事をしている。
Trong cty tôi làm cv phiên dịch tiếng Việt"
生産,"せいさん「SANH SẢN」 sự tính toán
交通費は1週間以内に生産してください。
Trong vòng 1 tuần, hãy tính toán tiền đi lại"
立てる,"（予定を）たてる「LẬP」 lên, lập (plan)
海外出張の予定を立てる。
Tôi lên dự định công tác nước ngoài"
長期,"ちょうき「TRƯỜNG KÌ」 long term, long time period, trường kỳ, dài hạn
今度の出張は長期の予定だ。
Đợt công tác này dự định sẽ dài
＜＞短期：たんき：ngắn hạn
＋長期出張：ちょうきしゅっちょう：công tác dài"
日程,"にってい「NHẬT TRÌNH」 schedule, lịch trình
仕事が忙しくて、旅行の日程が決められない。
Cv bận bịu nên ko định được lịch trình đi du lịch"
ずらす,"to shiftm, to slide, to push back, đẩy, dời qua 1 bên, đổi lịch
①いすをずらして、そうじです。
Đẩy ghế qua 1 bên để dọn dẹp
②会議のスケジュールを3日ずらそう。
Hãy đổi lịch họp lệch đi 3 ngày
＋（が）ずれる: chệch, lệch"
延期,"えんき「DUYÊN KÌ」 sự hoãn, hoãn lại
出張が来週に延期された。
Công tác bị hoãn lại sang tuần sau"
携帯,"けいたい「HUỀ ĐỚI」 sự mang theo, cầm theo
出張には、必ずパソコンを携帯している。
Tôi dứt khoát là mang theo máy vi tính đi công tác
＋携帯電話：けいたいでんわ：đt cầm tay"
協力,"きょうりょく「HIỆP LỰC」 sự hợp tác
みんなで協力して、いい結果を出そう。
Tất cả chúng ta cùng hợp tác để cho ra kết quả tốt đẹp nào."
省略,"しょうりゃく「TỈNH LƯỢC」sự lượt bớt, tóm lượt
あいさつは省略して、さっそく会議を始めよう。
Tôi xin phép đc bỏ qua phần chào hỏi và bắt đầu vào ngay buổi họp
＋省く：はぶく：lượt bớt, bỏ qua"
積む,"つむ「TÍCH」 tích lũy, chồng chất
①部長の机の上に、書類が積んである
Trên bàn trưởng phòng, hồ sơ chồng chất
②経験を積んで、自分の会社を作りたい。
Tôi muốn tích lũy kinh nghiệm để mở công ty của mình"
成長,"せいちょう「THÀNH TRƯỜNG」 sự trưởng thành
大学生のころと比べると、成長したと思う。
Tôi nghĩ so vs thời sv tôi đã trưởng thành"
かせぐ,"to earn income, kiếm tiền
お金をかせいで、将来のために貯金したい。
Tôi muốn kiếm tiền và tiết kiệm cho tương lai"
