機能,きのう「KI NĂNG」 chức năng; tính năng
分類,ぶんるい「PHÂN LOẠI」 Phân loại
行程,"こうてい「HÀNH TRÌNH」 Chuyến, Hành trình."
業務,"ぎょうむ「NGHIỆP VỤ」 công việc, nhiệm vụ"
日誌,にっし「NHẬT CHÍ」 nhật ký; sổ ghi nhớ
バージョン,version :phiên bản
審査,しんさ「THẨM TRA」  Sự thẩm tra;sự xét duyệt
照会,"しょうかい「CHIẾU HỘI」  truy vấn,tham chiếu,tham khảo"
ステータス,Status ◆ Trạng thái
履歴,りれき「LÍ LỊCH 」 ◆ Lịch sử;Lý lịch
反映,"はんえい「PHẢN ÁNH」 Phản hồi,Sự phản ánh"
4章,しょう「CHƯƠNG」 Chương; hồi (sách)
以降,いこう「DĨ HÀNG」 ◆bao gồm cả N và N trở đi; Sau đó; từ sau đó; từ sau khi 
版,"はん「BẢN」: Phiên bản
第１課： Lesson 1
第１部： Part 1
第1.0版：Version 1.0
第１種： Type 1"
共通,きょうつう「CỘNG THÔNG」 Dùng chung;◆ Cộng đồng; thông thường; phổ thông
配信,はいしん「PHỐI TÍN」 phân phối - delivery-vận chuyển
保存,"ほぞん「BẢO TỒN」 bảo tồn, sự lưu trữ, save"
に関する,"◆ Có quan hệ; có liên quan; gắn liền với.
に関して= について
に関する=についての"
論理,"ろんり「LUẬN LÍ」 lý lẽ, lý luận hợp lý"
設計,せっけい「THIẾT KẾ」 ◆ Thiết kế
指摘,"してき「CHỈ TRÍCH」 ◆ Sự chỉ ra; sự chỉ trích 
IT còn có nghĩa là comment ( vấn đề đang được comment, đang được chỉ ra)."
便名,びんめい「TIỆN DANH」 số hiệu chuyến bay (vd: Nagoya =>HCM hãng Vietnam air line số hiệu: VN341)
時刻,じこく「THÌ KHẮC」 ◆ Thời gian; thời khắc.Thời điểm
運航,"うんこう「VẬN HÀNG」 Sự hoạt động, vận hành (của máy bay, tàu);"
順位,"じゅんい「THUẬN VỊ」 thứ hạng,thứ tự"
昇順,しょうじゅん「THĂNG THUẬN」 Tăng dần; IT: ascending (ASC)
追記,"ついき「TRUY KÍ」 ghi thêm,bổ sung"
プリンタ,Printer-máy in
区分,"くぶん「KHU PHÂN」 Phân chia, sắp xếp"
重量,じゅうりょう「TRỌNG LƯỢNG」 Trọng lượng.
単位,たんい「ĐƠN VỊ」 Đơn vị : trong đo lường
場所,"ばしょ「TRÀNG SỞ」 Chỗ,Địa điểm,Nơi"
移動,"いどう「DI ĐỘNG」 move to, dời đi."
件数,"けんすう「KIỆN SỔ」 ◆ Số record (IT), số lượng"
制御,せいぎょ「CHẾ NGỰ」 kiểm soát (chỉ dùng với máy móc)
コントロール,"コントロール:control kiểm soát, điều khiển (người, máy móc,…)"
実装,"じっそう「THỰC TRANG」 Implement,Triển khai"
アーカイブ,"archive : đóng gói, lưu trữ"
用語,"ようご「DỤNG NGỮ」 Thuật ngữ, Từ chuyên ngành"
本文,"ほんぶん 「BỔN VĂN」 Nội dung (body), Text"
種別,"しゅべつ「CHỦNG BIỆT」 ◆ Sự phân loại, type"
分岐,"ぶんき「PHÂN KÌ」 phân nhánh,chia nhánh"
記述,"きじゅつ「KÍ THUẬT」 Description( mô tả ),ghi chép; ký lục; mô tả"
送信,"そうしん「TỐNG TÍN」 send,Gửi tin nhắn"
アドレス,"Address, địa chỉ"
訂正,"ていせい「ĐÍNH CHÁNH」 Đính chính, sửa lại cho đúng"
動的,"どうてき「ĐỘNG ĐÍCH」 Dynamic , ◆ (IT) tính động (thay đổi không cố định)"
イレギュラー,"phá lệ(ngoại lệ),Bất thường"
取り込み,import
ポジション,position: vị trí
高度,"こうど「CAO ĐỘ」 Advanced,Trình độ cao"
番台,"ばんだい「PHIÊN THAI」 Lễ tân,フロント=front= quầy lễ tân"
電文,でんぶん「ĐIỆN VĂN」: data truyền đi và nhận 
エアライン,Airline: Hãng hàng không
必須,ひっす 「TẤT TU」 Cần thiết Bắt buộc (required)
概要,"がいよう「KHÁI YẾU」 khái yếu; khái quát, tổng quan, sơ lược"
路線,ろせん「LỘ TUYẾN」 Lộ trình
ダイヤ,biểu đồ - 臨時ダイヤ là lịch trình tạm thời
形式,"けいしき「HÌNH THỨC」 Hình thức, định dạng. form, format."
便番号,Flight number
拡張,かくちょう「KHUẾCH TRƯƠNG」 ◆ Sự mở rộng; sự khuyếch trương
上記,じょうき「THƯỢNG KÍ」 Đề cập ở trên
運用,"うんよう「VẬN DỤNG」 Vận hành, giám sát, chịu trách nhiệm thực thi."
事項,じこう「SỰ HẠNG」 Mục (注意事項):mục chú ý
保持,"ほじ「BẢO TRÌ」 Bảo trì; Lưu, giữ, Duy trì"
廃止,はいし「PHẾ CHỈ」 Hủy bỏ
補足,ほそく「BỔ TÚC」 ◆ Sự bổ túc; sự bổ sung.
燃料,ねんりょう「NHIÊN LIÊU」 ◆ Nhiên liệu
算出,さんしゅつ「TOÁN XUẤT」 sự tính toán bằng máy tính
誤り,あやまり「NGỘ」 nhầm lẫn; lỗi
到着,とうちゃく「ĐÁO TRỨ」 sự đến nơi
地点,ちてん「ĐỊA ĐIỂM」 ◆ Địa điểm
出発,"しゅっぱつ「XUẤT PHÁT」 departure, xuất phát; khởi hành."
機種,"きしゅ「KI CHỦNG」 model, mẫu thiết bị"
有り得る,"ありうる「HỮU ĐẮC」 impossible, có khả năng"
詰める,"つめる「CẬT」 Nhồi, nhét"
帳票,"ちょうひょう「TRƯỚNG PHIẾU」 ◆ Report, form, Mẫu báo cáo"
一覧,いちらん「NHẤT LÃM」 list
元,"もと 「NGUYÊN」 Củ/ trước/ , nguyên"
台帳,"だいちょう「THAI TRƯỚNG」 Sổ cái,Sổ danh sách,Sổ lưu trữ"
メソッド,Method: Phương thức
絞込む,"しぼりこむ filtering, chọn lọc"
禁則,きんそく「CẤM TẮC」 ◆ Sự ngăn cấm
プラン,Plan kế hoạch
フラグ,Flags: Cờ
エンティティ,entity thực thể
統一,とういつ「THỐNG NHẤT」 ◆ Sự thống nhất
換算,"かんさん 「HOÁN TOÁN」 Convert-hoán đổi, quy đổi"
基準,きじゅん「CƠ CHUẨN」◆ Tiêu chuẩn; tiêu chí
省略,"しょうりゃく「TỈNH LƯỢC」 Sơ lược, rút gọn"
判定,"はんてい「PHÁN ĐỊNH」 phán quyết, quyết định"
簡易,かんい「GIẢN DỊCH」 ngắn gọn; vắn tắt; rút gọn
推奨,"すいしょう「THÔI TƯỞNG」 Tiến cử, đề xuất"
補完,ほかん「BỔ HOÀN」 Bổ sung cho hoàn thiện.Làm hoàn thiện.
ユーティリティ,Utility: tiện ích
記載,"きさい「KÍ TÁI」 mô tả, ghi"
飛行,ひこう「PHI HÀNH」 ◆ Phi hành; hàng không.
符号,"ふごう「PHÙ HÀO」: Sign, ký hiệu"
位置,いち「VỊ TRÍ」 ◆ Vị trí
マージン,margin- lề
妥当,だとう「THỎA ĐƯƠNG」 妥当: Thỏa đáng. 適当 : thích hợp. 適切: thíc hợp và cần thiết.
発信,はっしん「PHÁT TÍN」 ◆ Sự phát ra tín hiệu -- Call - gọi đi
先頭,せんとう「TIÊN ĐẦU」 先頭 - đầu >< 末尾 - cuối
プロパティファイル,Properties File
定義,"ていぎ「ĐỊNH NGHĨA」 định rõ, định nghĩa"
計画,けいかく「KẾ HỌA」 プラン kế hoạch plan
乗務員,"じょうむいん「THỪA VỤ VIÊN」 nhân viên làm việc trên các phương tiện giao thông như: taxi, tàu, máy bay"
常務,じょうむ「THƯỜNG VỤ」 ◆ Sự thông thường; sự phổ thông
パターン,pattern -- mẫu
混在,こんざい「HỖN TẠI」 Mixed
考慮,こうりょ「KHẢO LỰ」 Cân nhắc
プライオリティ,priority ◆ Sự ưu tiên
フライトプラン,Flight Plan
統制,とうせい「THỐNG CHẾ」 control Kiểm soát
指示,しじ「CHỈ KÌ」 ◆ Sự chỉ thị; sự chỉ dẫn◆ Hướng dẫn
複数,"ふくすう「PHỨC SỔ」  multiple
複数：Nhiều, nhiều thứ hợp lại
多数：nhiều, một thứ gì đó nhiều"
空白,"くうはく「KHÔNG BẠCH」 Blank ◆ Chỗ trống, khoảng trống, trống rỗng"
翌々,よくよく「DỰC」 The next day
参照,さんしょう「THAM CHIẾU」 tham khảo tài liệu
通報,"つうほう「THÔNG BÁO」 report, báo cáo"
ダミー,"dummy -- thế thân, giả"
表示,ひょうじ「BIỂU KÌ」 display hiển thị
精査,"せいさ「TINH TRA」 Sự khảo sát kỹ lưỡng, sự điều tra cẩn thận,"
フレキシブルタイム,Flexible Time Thời gian linh hoạt
技術,"ぎじゅつ「KĨ THUẬT」 kỹ thuật, công nghệ"
移管,"いかん「DI QUẢN」 Transfer ◆Bàn giao
◆ Chuyển giao "
改訂,かいてい「CẢI ĐÍNH」 revision sửa lại nâng cấp lên
相互,"そうご「TƯƠNG HỖ」 Mutual ◆ Lẫn nhau, qua lại"
誤記,ごき「NGỘ KÍ」 ◆ Viết lỗi; viết sai
見直し,みなおし「KIẾN TRỰC」 look over ◆ Sự xem lại;
整形,せいけい「CHỈNH HÌNH」 ◆ Chỉnh hình ; định dạng
改ページ,"Page break  Phân trang, ngắt trang"
過去,"かこ「QUÁ KHỨ」 past - quá khứ, trước đó"
形跡,けいせき「HÌNH TÍCH」 bằng chứng evidence
関連,かんれん「QUAN LIÊN」  connection; ◆ Sự liên quan; sự liên hệ;
データオブジェクト,Data Objects -- Đối tượng dữ liệu
エアラインセキュリティチェック,Airline Security Check -- Kiểm tra an ninh hàng không
導入,どうにゅう「ĐẠO NHẬP」 Introduction -- giới thiệu
決定,"けってい「QUYẾT ĐỊNH」 -- decide , quyết định"
プランファイル,Plan File
アクション,action -- hành động
最初,さいしょ「TỐI SƠ」 first -- đầu tiên
対象,たいしょう「ĐỐI TƯỢNG」 subject; đối tượng
目的,もくてき「MỤC ĐÍCH」 Mục đích
前提,ぜんてい「TIỀN ĐỀ」 premise ◆ Tiền đề; tiên đề
ユースケース,Use Cases-- Các trường hợp sử dụng
遷移,"せんい「THIÊN DI」 migrate -- điều hướng, di cư"
セキュリティチェック,Security Check
表紙,"ひょうし「BIỂU CHỈ」 trang bìa,bì,nhãn"
事前,じぜん「SỰ TIỀN」 Trước
切り替わる,きりかわる Switch◆ Sự thay đổi; Sự chuyển đổi
埋め込み,"うめこみ「MAI 」 embedded --gắn kèm, đính kèm"
凡例,"はんれい「PHÀM LỆ」 chú thích, chú giải"
メンテナンス,maintenance -- bảo trì
端末,たんまつ「ĐOAN MẠT」 Terminal--phần cuối
支援,しえん「CHI VIÊN」 help-- chi viện
但し,ただし「ĐÃN」 ◆ Tuy nhiên; nhưng
マスタ,"master Chủ
1. chủ ( quán ăn...)
2. Làm chủ ( kiến thức) nắm vững.
3... tao lao giao tiếp không dùng thôi khỏi học"
依存,いぞん「Y TỒN」 ◆ Sự phụ thuộc; sự sống nhờ;
詳細,しょうさい「TƯỜNG TẾ」 ◆ Một cách chi tiết; tường tận
該当,"がいとう「CAI ĐƯƠNG」 thoả mãn,tương ứng; sự liên quan"
アクター,actor -- diễn viên/ người làm
インフォメーションエリア,Information Area --Khu vực thông tin
全て,すべて「TOÀN」 ◆ Toàn bộ; tất cả; hoàn toàn
旨,"むね「CHỈ」 Việc đó, ý đó, (noi dung ma da noi truoc do)"
以外,いがい「DĨ NGOẠI」 ◆ Ngoài ra; khác với
実線,"じっせん「THỰC TUYẾN」
実線: đường nét liên (—).
点線: đường chấm( ••• )
破線 đường nét đứt( - - - ).
一点鎖線 đường đối xứng(_._._.)
二点鎖線　đường ảo, đường tượng trưng(_.._.._)
波線: đường lượn sóng( ~)"
細,ほそ「TẾ」 ◆ Chi tiết/ gầy
背景,"はいけい「BỐI CẢNH」 background,Bối cảnh,phong cảnh"
書式,しょしき「THƯ THỨC」 Format định dạng
トリム,trim
備考,"びこう「BỊ KHẢO」 remarks, ghi chú, chú thích"
及び,"および「CẬP」 And, và, với"
可変,"かへん「KHẢ BIẾN」 variable, biến"
所属,"しょぞく「SỞ CHÚC」 trực thuộc, sở thuộc"
氏名,しめい「THỊ DANH」 ◆ Họ tên.
通過,"つうか「THÔNG QUÁ」 pass, ◆ Sự vượt qua; sự đi qua"
代替,"だいたい「ĐẠI THẾ」 replace, thay thế"
リプラン,Replan - lập lại kế hoạch
タイマ,Time - Thời gian
エントリ,entry - lối vào
便運航情報,べんうんこうじょうほう--Flight Information -- Thông tin chuyến bay
期間,"きかん「KÌ GIAN」 giai đoạn, thời kì/period"
役割,"やくわり「DỊCH CÁT」 vai trò,chức trách /rule"
別途,"べっと「BIỆT ĐỒ」 riêng biệt, Separately"
文言,"もんごん 「VĂN NGÔN」 text, 1 cụm từ (a phrase)"
テンプレート,Template: Mẫu
