上司,"じょうし「THƯỢNG TI」 cấp trên, sếp
上司は厳しいほうが、いいと思う。
Tôi nghĩ sếp nên nghiêm khắc thì tốt hơn"
部下,"ぶか「BỘ HẠ」 cấp dưới , nv
この会社では、部下が上司に自由に意見を言える。
Trong cty này, cấp dưới có thể tự do nói ý kiến vs cấp trên"
先輩,"せんぱい「TIÊN BỐI」 senior, bậc đàn anh, người đi trước
私と先輩は、兄弟のようにしたしい。
Tôi và tiền bối thân thiết như 2 anh em
＜＞後輩：こうはい： hậu bối"
肩書き,"かたがき「KIÊN THƯ」 title, chức vụ
田中さんの肩書きは課長だ。
Chức vụ của anh Tanaka là trưởng phòng"
アドバイス,"advice, lời khuyên
先輩のアドレスは役に立つ。
Lời khuyên của bậc đàn anh rất có ích"
ひとこと,"a word, đôi lời
何かひとことアドレスをお願いします。
Xin anh cho đôi lời khuyên ạ"
同僚,"どうりょう「ĐỒNG LIÊU」 coworker, đồng nghiệp
あの会社の同僚はみんないい人だった。
Các đồng nghiệp của cty ấy tất cả đều là người đó"
同期,"どうき「ĐỒNG KÌ」 same time, cùng đợt, cùng kỳ
私の同期は10人しかない。
CÙng đợt với tôi chỉ có 10 người"
休暇,"きゅうか「HƯU HẠ」 break, rest, nghỉ, nghỉ phép
上司に許可をもらって、休暇を取った。
Tôi xin sếp nghỉ phép"
オフ,"off, day off, nghỉ, tắt
オフの日も、会社の同期と会う。
Ngày nghỉ cũng gặp người cùng đợt vào cty
＋オン：on, working day / bật"
責任,"せきにん「TRÁCH NHÂM」 trách nhiệm
今の仕事は責任が重い。
Cv này trách nhiệm nặng"
プレッシャー,"pressure, áp lực
上司からのプレッシャーに負けたくない。
Tôi ko muốn đầu hàng trước áp lực từ cấp trên"
不満,"ふまん「BẤT MÃN」 bất mãn, ko hài lòng
不満があるなら、はっきり言うべきだ（名）
Nếu có điều gì ko hài lòng thì phải nói rõ
不満な気持ちを上司に伝えた。（な形
Tôi đã nói cảm giác bất mãn của mình vs cấp trên"
命令,"めいれい「MỆNH LỆNH」 order, lệnh, mệnh lệnh
会社の命令に、NOと言えない。
KO thể nói ko vs mệnh lệnh của cty"
指示,"しじ「CHỈ KÌ」direction, chỉ thị
上司に指示されたことを忘れてしまった。
Tôi quên mất những gì dc cấp trên chỉ thị"
苦労,"くろう「KHỔ LAO」 trouble, sự chịu khó, vất vả
仕事を覚えるために、苦労した。
Tôi đã vất vả để nhớ cv"
くたくたな,"
exhausted, rã rời, rệu rã
毎日仕事が忙しくて、もうくたくただ。
Hàng ngày, cv bận bịu, rệu rã lắm rồi"
ミス,"mistake, lỗi
ミスは、誰にでもあることだ。
Bất kỳ ai cũng từng mắc lỗi"
報告,"ほうこく「BÁO CÁO」 report, báo cáo
もしミスしてしまったら、上司に報告しなさい。
Nếu mắc lỗi thì hãy báo cáo vs cấp trên"
飲み会,"のみかい「ẨM HỘI」 buổi ăn uống, buổi nhậu
明日、同期の飲み会がある
Ngày mai có buổi nhậu vs hội cùng đợt vào cty
＋宴会：えんかい：banquet, tiệc, liên hoan"
歓迎会,"かんげいかい「HOAN NGHÊNH HỘI」 welcome party, tiệc đón chào
4月と10月に歓迎会がある。
Tháng 4 và 10 có buổi liên quan chào mừng
＋送別会：そうべつかい：
＋歓迎：かんげい：sự đón chào"
飲み放題,"のみほうだい「ẨM PHÓNG ĐỀ」 all-you-can-drink, uống thoải mái
飲み放題だと、飲みすぎてしまう。
Nếu là kiểu uống thoải mái thì sẽ uống quá nhiều
＋食べ放題：たべほうだい：ăn thoải mái"
注ぐ,"つぐ「CHÚ」 to pour, rót
乾杯の前に、先輩にビールを注いだ。
Trước khi cụng ly, tôi đã rót bia cho bậc đàn anh"
