脳,NÃO - 音: ノウ - 故事: Phần thịt (月) chứa đựng những suy nghĩ hung (凶) dữ là bộ NÃO (脳) - Ví dụ: 脳 (のう) / 頭脳 (ずのう) / 脳科学 (のうかがく)
臓,TẠNG - 音: ゾウ - 故事: Phần thịt (月) được cất giấu (蔵) kỹ bên trong cơ thể là nội TẠNG (臓) - Ví dụ: 内臓 (ないぞう) / 心臓 (しんぞう) / 臓器移植 (ぞうきいしょく)
胃,VỊ - 音: イ - 故事: Phần thịt (月) nằm dưới đồng ruộng (田) là cái dạ dày VỊ (胃) - Ví dụ: 胃 (い) / 胃腸 (いちょう) / 胃がん (いがん)
骨,CỐT - 訓: ほね - 音: コツ - 故事: Phần thịt (月) bao quanh khung xương ở trên là CỐT (骨) - Ví dụ: 骨 (ほね) / 骨折 (こっせつ) / 接骨院 (せっこついん)
康,KHANG - 音: コウ - 故事: Dưới mái nhà (广) có gạo (米) ăn đầy đủ thì sức khỏe KHANG (康) kiện - Ví dụ: 健康 (けんこう) / 健康診断 (けんこうしんだん)
診,CHẨN - 訓: みーる - 音: シン - 故事: Dùng lời nói (言) để xem xét mái tóc (㐱) của bệnh nhân là CHẨN (診) bệnh - Ví dụ: 診る (みる) / 診察 (しんさつ) / 診断 (しんだん) / 受診 (じゅしん)
療,LIÊU - 音: リョウ - 故事: Chữa bệnh (疒) cho các quan LIÊU (僚) trong ban đêm (尞) là trị LIÊU (療) - Ví dụ: 治療 (ちりょう) / 医療 (いりょう) / 診療所 (しんりょうじょ)
異,DỊ - 訓: ことーなる - 音: イ - 故事: Hai tay (廾) bưng cái mặt nạ (田) lên trông rất khác DỊ (異) - Ví dụ: 異なる (ことなる) / 異常 (いじょう) / 異変 (いへん)
症,CHỨNG - 音: ショウ - 故事: Bệnh (疒) đang ở trạng thái đúng (正) như dự đoán là triệu CHỨNG (症) - Ví dụ: 症状 (しょうじょう) / 後遺症 (こういしょう) / 重症 (じゅうしょう)
状,TRẠNG - 音: ジョウ - 故事: Con chó (犬) đang ở bên cạnh tấm phản (爿) là hình TRẠNG (状) - Ví dụ: 状態 (じょうたい) / 状況 (じょうきょう) / 礼状 (れいじょう)
況,HUỐNG - 音: キョウ - 故事: Nước (氵) chảy qua anh trai (兄) là tình HUỐNG (況) - Ví dụ: 状況 (じょうきょう) / 不況 (ふきょう) / 実況 (じっきょう)
態,THÁI - 音: タイ - 故事: Trái tim (心) có năng lực (能) biểu hiện ra bên ngoài là THÁI (態) độ - Ví dụ: 態度 (たいど) / 状態 (じょうたい) / 事態 (じたい)
睡,THỤY - 音: スイ - 故事: Con mắt (目) rủ xuống (垂) là đang ngủ THỤY (睡) - Ví dụ: 睡眠 (すいみん) / 熟睡 (じゅくすい)
喫,KHIẾT - 音: キツ - 故事: Dùng miệng (口) để ăn khế (契) là KHIẾT (喫) thực - Ví dụ: 喫煙 (きつえん) / 喫茶店 (きっさてん) / 満喫 (まんきつ)
傷,THƯƠNG - 訓: きず / いたーむ / いたーめる - 音: ショウ - 故事: Con người (亻) bị mặt trời (日) làm bị THƯƠNG (傷) - Ví dụ: 傷 (きず) / 傷つく (きずつく) / 重傷 (じゅうしょう)
処,XỨ / XỬ - 音: ショ - 故事: Đi bộ (夂) dừng lại ở một nơi (几) để giải quyết là xử (処) lý - Ví dụ: 処理 (しょり) / 処分 (しょぶん) / 処置 (しょち)
針,CHÂM - 訓: はり - 音: シン - 故事: Kim loại (金) có 10 (十) đầu nhọn là cái kim CHÂM (針) - Ví dụ: 針 (はり) / 方針 (ほうしん) / 指針 (ししん)
抜,BẠT - 訓: ぬーく / ぬーける - 音: バツ - 故事: Dùng tay (扌) kéo người bạn (友) ra là BẠT (抜) - Ví dụ: 抜ける (ぬける) / 抜く (ぬく) / 抜群 (ばつぐん)
菌,KHUẨN - 音: キン - 故事: Cỏ (艹) mọc trong cái kho (囷) sinh ra vi KHUẨN (菌) - Ví dụ: 細菌 (さいきん) / 殺菌 (さっきん) / 除菌 (じょきん)
剤,TẾ - 音: ザイ - 故事: Dùng đao (刂) cắt đều (斉) thuốc là thuốc TẾ (剤) - Ví dụ: 薬剤師 (やくざいし) / 洗剤 (せんざい) / 錠剤 (じょうざい)
看,KHÁN - 音: カン - 故事: Dùng tay (手) che mắt (目) để KHÁN (看) đài - Ví dụ: 看護師 (かんごし) / 看板 (かんばん) / 看病 (かんびょう)
視,THỊ - 音: シ - 故事: Nhìn (見) thấy điềm báo (示) là THỊ (視) lực - Ví dụ: 視力 (しりょく) / 視野 (しや) / 視点 (してん)
眼,NHÃN - 訓: め - 音: ガン - 故事: Con mắt (目) nhìn thấy núi (艮) là NHÃN (眼) lực - Ví dụ: 眼科 (がんか) / 眼鏡 (めがね / がんきょう)
刺,THỨ - 訓: さーす / さーさる - 音: シ - 故事: Dùng đao (刂) đâm vào cái thúng (朿) là đâm THỨ (刺) - Ví dụ: 刺す (さす) / 刺激 (しげき) / 名刺 (めいし)
