交代,こうたい「GIAO ĐẠI」Thay phiên nhau - 意味: 場所や位置を入れ替えること - 例文: ・選手交代 ・社長交代 
合図,あ い ず「HỢP ĐỒ」Tín hiệu - 意味: 意志を伝えるために約束された、言葉以外の手段 - ポイント: サイン - 例文: ・（彼女の誕生日の日、レストランで）片手で店員に合図をすると、誕生日ケーキが来た。 ・（歯医者で）痛かったら合図してくださいね。 
愚痴,ぐ ち「NGU SI」Than vãn - 意味: 言っても仕方がないことを嘆く - ポイント: 嫌いな人や事のどうでもいい悪口を言うこと。愚痴を言う、愚痴る - 例文: ・課長は飲み会でいつも会社の愚痴をこぼす。 ・愚痴る（若者言葉）Ａ：ねぇ、ちょっとぐちってもいい？ Ｂ：うん。 
場面,"ば め ん「TRƯỜNG DIỆN」Cảnh, tình trạng - 意味: シーン、状況 - 例文: ・2021 年、世界は苦しい場面に直面している。 ・この本は使う場面別に文 pháp が書かれているので勉強しやすい。 "
成長,せいちょう「THÀNH TRƯỞNG」Trưởng thành - 意味: 育って大きくなること - ポイント: 人以外にも使う！経済・精神的な成長にも - 例文: ・子どもの成長は本当に早い。 
追加,ついか「TRUY GIA」Thêm vào - 意味: 今あるものにつけ足すこと - 例文: ・（店員）「ミルクティー１つですね. トッピングを追加しますか？」 
廃止,はいし「PHẾ CHỈ」Hủy bỏ - 意味: 制度・ルールをやめること - ポイント: 類：終了、中止 - 例文: ・レジ袋の無料配布を廃止します。（環境のため） 
心強い,"こころづよい「TÂM CƯỜNG」Mạnh mẽ, vững tâm - 意味: 頼りになって、安心できること - ポイント: ⇔心細い - 例文: ・Ａ「あー、合格できるかなぁ、、、」 Ｂ「ダオさんなら絶対合格できるよ！」 Ａ「そういってくれると本当に心強いです。」 "
解散,かいさん「GIẢI TÁN」Giải tán - 意味: 集まっていた人が分かれてバラバラになること - 例文: ・３時に解散 ・有名なグループ〇〇が解散したらしい。 
意欲,いよく「Ý DỤC」Sự mong muốn - 意味: 進んで何かをしようと思う事やる気 - 例文: ・RIKI の学生は意欲のある学生ばかりだ。 ・日本で頑張っている友達を見ると勉強意欲がわいてくる。 
専念,せんねん「CHUYÊN NIỆM」Sự say mê - 意味: 他のことを諦めて、一つのことに集中する - 例文: ・「今年は仕事に専念したいから恋愛はしないつもり。」 
格好,かっこう「CÁCH HẬU」Diện mạo/Gây ấn tượng - 意味 ①: 外から見た見た目、外見、姿 - ポイント: ＿がいい・＿をつける - 例文: ・同じ格好で並んで眠る柴犬 - 意味 ②: 人に対して恥ずかしくない姿 - 例文: ・テスト 100 点では母に格好がつかない…。 
提示,ていじ「ĐỀ THỊ」Xuất trình - 意味: 差し出して見せること - ポイント: クレジットカード、パスポート - 例文: ・（警備員さんが）Ａ「すみませんが、身分証の提示をお願いします。」Ｂ「はい」 ・他社からいい条件を提示されたため、今の会社を辞めるつもりだ。 
分野,ぶんや「PHÂN DÃ」Lĩnh vực - 意味: 物事のある範囲 - ポイント: A さんの得意分野➡計算・暗算、A さんの苦手分野➡デザイン - 例文: ・恋愛相談は私の得意分野です. 
中継,"ちゅうけい「TRUNG KẾ」Phát thanh, phát sóng - 意味: 中継放送の略。現場の放送を、他の人にも見せること - ポイント: 生中継 - 例文: ・スポーツ中継を見る。 ・「こちら現場からの中継です。」 "
見当,けんとう「KIẾN ĐƯƠNG」Dự đoán - 意味: 大体の予想をすること - ポイント: ＿がつく、つかない - 例文: ・誰が犯人なのか見当 cũng không có (見当もつかない). 
比例,ひれい「TỶ LỆ」Tỷ lệ - 意味: １つが減ったり増えたりすると、もう１つも増えたり減ったりすること - ポイント: グラフ、図を使って見せる場合が多い - 例文: ・身長と体重は必ず比例しているわけではない。 
ふもと,「CHÂN NÚI」Chân núi - 意味: 山の下の方のところ - 例文: ・富士山のふもとでキャンプする。 
補足,"ほそく「BỔ TÚC」Bổ túc, bổ sung - 意味: 不十分な説明をプラスすること - ポイント: 説明に対し、付け足して、補う。 - 例文: ・補足説明はページの下にあります。 ・「今の彼の意見に補足させていただきますと〜」 "
催促,"さいそく「THÔI XÚC」Thúc giục, hối thúc - 意味: 早くするように何かを言いたり・したりすること - ポイント: 借金、料金、メール、締め切り - 例文: ・取引先から催促の電話がかかってきた。 "
