護,"HỘ - 音: ゴ - 故事: Dùng lời nói (言) để bảo vệ con chim mọc cỏ trên đầu (艹+隹) là bảo HỘ (護) - Ví dụ: 弁護士 (べんごし) / 看護師 (かんごし) / 保護 (ほご) / 愛護 (あいご) - 弁護士に依頼する, 看護師として働く, 自然を保護する, 動物愛護"
衛,"VỆ - 音: エイ - 故事: Đi bộ (彳+亍) xung quanh tấm phản (韋) để canh VỆ (衛) - Ví dụ: 衛星 (えいせい) / 衛生 (えいせい) / 自衛 (じえい) / 防衛 (ぼうえい) - 人工衛星, 衛生的な環境, 自衛隊, 国を防衛する"
屈,"KHUẤT - 音: クツ - 故事: Con người (尸) đi ra (出) rồi lại phải KHUẤT (屈) phục - Ví dụ: 退屈 (たいくつ) / 屈折 (くっせつ) / 理屈 (りくつ) / 不屈 (ふくつ) - 退屈な映画, 光の屈折, 理屈を言う, 不屈の精神"
却,"KHƯỚC - 音: キャク - 故事: Đi bộ (⻌) đến nơi có thúng (去) để từ KHƯỚC (却) - Ví dụ: 返却 (へんきゃく) / 却下 (きゃっか) / 忘却 (ぼうきゃく) - 本を返却する, 提案を却下する, 過去を忘却する"
攻,"CÔNG - 訓: せーめる - 音: コウ - 故事: Dùng dụng cụ (工) và tay (攵) để tấn CÔNG (攻) - Ví dụ: 攻める (せめる) / 攻撃 (こうげき) / 専攻 (せんこう) - 敵を攻める, 攻撃を受ける, 大学で経済を専攻する"
撃,"KÍCH - 訓: うーつ - 音: ゲキ - 故事: Cái xe (車) chở tay (手) và giáo (殳) đi tấn KÍCH (撃) - Ví dụ: 撃つ (うつ) / 攻撃 (こうげき) / 目撃 (もくげき) / 打撃 (だげき) - 銃を撃つ, 敵の攻撃, 犯人を目撃する, 打撃を与える"
爆,"BẠC / BỘC - 音: バク - 故事: Lửa (火) bùng lên mạnh bạo (暴) là phát BỔC (爆) - Ví dụ: 爆発 (ばくはつ) / 爆弾 (ばくだん) / 爆笑 (ばくしょう) / 原爆 (げんばく) - 火山が爆発する, 爆弾を仕掛ける, 漫才を見て爆笑する, 原爆ドーム"
討,"THẢO - 訓: うーつ - 音: トウ - 故事: Dùng lời nói (言) để THẢO (討) phạt bằng thốn (寸) - Ví dụ: 討つ (うつ) / 検討 (けんとう) / 討論 (とうろん) / 討議 (とうぎ) - 敵を討つ, 計画を検討する, 討論会に参加する, 課題を討議する"
射,"XẠ - 訓: いーる - 音: シャ - 故事: Dùng thân (身) và tay (寸) để phát XẠ (射) mũi tên - Ví dụ: 射る (いる) / 発射 (はっしゃ) / 反射 (はんしゃ) / 注射 (ちゅうしゃ) - 的を射る, ロケットの発射, 光を反射する, インフルエンザの注射"
武,"VŨ / VÕ - 音: ブ / ム - 故事: Dùng giáo (弋) để ngăn chặn (止) là VÕ (武) - Ví dụ: 武器 (ぶき) / 武士 (ぶし) / 武道 (ぶどう) / 武装 (ぶそう) - 武器を持つ, 武士の精神, 武道に励む, 武装解除"
