北極,ほっきょく「BẮC CỰC」 North Pole / Bắc cực
南極,なんきょく「NAM CỰC」 South Pole / Nam Cực
北半球,きたはんきゅう「BẮC BÁN CẦU」 Northern hemisphere / bán cầu Bắc
南半球,みなみはんきゅう「NAM BÁN CẦU」 Southern hemisphere / bán cầu Nam
赤道,せきどう「XÍCH ĐẠO」 equator / xích đạo
北アフリカ,きたアフリカ「BẮC」 North Africa / Bắc Phi
中央アフリカ,ちゅうおうアフリカ「TRUNG ƯƠNG」 Central Africa / Trung Phi
南アフリカ,みなみアフリカ「NAM」 South Africa / Nam Phi
オセアニア,Oceania / châu Đại DƯơng
北アメリカ,きたアメリカ「BẮC」 Nouth America / Bắc Mỹ
南アメリカ,みなみアメリカ「NAM」 South America / Nam Mỹ
東南アジア,とうなんアジア「ĐÔNG NAM」 Southeast Asia / Đông Nam Á
東アジア,ひがしアジア「ĐÔNG」 East Asia / Đông Á
中央アジア,ちゅうおうアジア「TRUNG ƯƠNG」 Central Asia / Trung Á
南アジア,みなみアジア「NAM」 South Asia / Nam Á
中東,ちゅうとう「TRUNG ĐÔNG」 the Middle East - Trung Đông
中南米,ちゅうなんべい「TRUNG NAM MỄ」 Central and South America - Trung Nam Mỹ
北欧,ほくおう「BẮC ÂU」 Northern Europe - Bắc Âu
東欧,とうおう「ĐÔNG ÂU」 Eastern Europe - Đông Âu
西欧,せいおう「TÂY ÂU」 Western Europe - Tây Âu
南欧,なんおう「NAM ÂU」 Southern Europe - Nam Âu
欧米,"おうべい「ÂU MỄ」 Europe and America, the West - Âu Mỹ - Phương Tây nói chung"
　,
