夏物,"なつもの「HẠ VẬT」 đồ mùa hè
暖かくなってきたので、そろそろ夏物を出そう。
Trời bắt đầu ấm áp nên hãy chuẩn bị bỏ đồ mùa hè ra thôi"
冬物,"ふゆもの「ĐÔNG VẬT」 đồ mùa đông
暖かくなってきたので、冬物をしまおう。
Đã ấm lên rồi nên cất đồ mùa đông đi thôi"
上着,"うわぎ「THƯỢNG TRỨ」 jacket, áo khoác
もう春だ。うすい上着がほしい。
Đã sang mùa xuân rồi tôi muốn có áo khoác mỏng"
婦人服,"ふじんふく「PHỤ NHÂN PHỤC」 quần áo nữ
婦人服売り場は3階だ。
Quầy bán quần áo nữ ở tầng 3
＋レディース（ファッション）: women's fasion: thời trang nữ"
紳士服,"しんしふく「THÂN SĨ PHỤC」 men's wear, quần áo nam
最近は、おしゃれな紳士服が増えた。
Gần đây quần áo nam sành điệu tăng lên
＋ジーパン：men's fasion"
ジーンズ,"jeans, quần jean
私の会社では、ジーンズは禁止されている。
Ở cty tôi cấm quần jean
＋ジーパン：jean pants: quần jean"
パンツ,"pants, quần, quần lót
スカートより、パンツのスーツが好きだ。
Tôi thích áo vest đi vs quần hơn là váy"
イヤリング,"clip-on earring, xỏ lỗ tai
会社に、小さいイヤリングをして行く。
Tôi xỏ lỗ tai nho nhỏ đến cty
＋ペンダント： earring, hoa tai"
ネックレス,"necklace, dây chuyền
パーティーに、ダイヤのネックレスをして行く。
Tôi đeo dây chuyền kim cương đi dự tiệc
＋ペンダント：pendant, dây chuyền"
宝石,"ほうせき「BẢO THẠCH」 đá quý 
宝石は高くて買えない。
Đá quý đắt ko thể mua được"
スカーフ,"scarf, khăn quàn mỏng
ブランドのスカーフを何枚か持っている。
Tôi có mấy cái khăn hàng hiệu"
手袋,"てぶくろ「THỦ ĐẠI」 glove, găng tay
今年、新しい手袋を買った。
Năm nay tôi mua găng tay mới"
マフラー,"scarf, khăn choàng
寒い日でも、マフラーがあれば暖かい。
Cho dù là ngày lạnh nhưng nếu có cái khăn sẽ ấm"
化粧,"けしょう「HÓA TRANG」 makeup, trang điểm
出かけるときは、必ず化粧をする
Khi đi ra ngoài, tôi dứt khoát trang điểm
＝メイク
＋化粧品：けしょうひん：beauty products: đồ trang điểm"
口紅,"くちべに「KHẨU HỒNG」 lipstick, son
季節によって口紅を変えている。
Tôi thay đổi sơn môi theo mùa"
まつ毛,"まつげ「MAO」 eyelash, lông mi
彼女はまつ毛が長くて、かわいい。
Cô ấy có lông mi dài dễ thương
＋まゆ毛：まゆげ：eyebrow, lông mày"
ほほ,"cheek, (cái) má
彼女のほほは、ピンクでかわいい。
Má của cô ấy hồng dễ thương
＝ほお"
つめ,"nail, móng tay
つめの色を変えると、気分が変わる。
Khi thay đổi màu móng tay, tâm trạng sẽ thay đổi
＝ネイル
＋マニキュア：manicure, sơn móng, làm móng"
香水,"こうすい「HƯƠNG THỦY」 perfume, nước hoa
この香水は少し匂いが強い。
Nước hoa này mùi hơi mạnh"
古着,"ふるぎ「CỔ TRỨ」 used clothing, quần áo cũ
古着が好きで、よくこの店に寄る。
Tôi thích quần áo cũ nên hay ghé vào cửa hàng này"
革,"かわ「CÁCH」 leather, da ( động vật, túi da cá sấu)
この靴はとてもいい革でできている。
Đôi giày này làm bằng loại da rất tốt
＋皮：かわ：skin / da"
ベルト,"belt, thắt lưng, dây lưng
ブランドのベルトを、父にプレゼントした。
Tôi tặng bố 1 cái thắt lưng hàng hiệu"
そで,"sleeve, tay áo
会社の冷房が強いので、長そでを着ている。
Máy lạnh của cty rất mạnh nên tôi mặc áo dày tay
＋半そで：はんそで：short sleeve, cộc tay
＋ノースリーブ：sleeveless, găng tay"
ショップ,"shop, cửa hàng
近くに、とてもおしゃれなショップができた。
Ở gần đây mới mở 1 cửa hàng lộng lẫy
＝店
＋１００円ショップ: Shop 100 yên"
