トリガー,trigger
格納,かくのう - CÁCH NẠP- Lưu trữ/save
マニフェストリポジトリ,Manifest Repository - Kho lưu trữ Manifest
マージ,merge - hợp nhất làm 1
コンテナイメージ,Container image
タグ,tag - stagingタグ
検出,"けんしゅつ - KIỂM XUẤT- phát hiện, dò tìm"
インベントリファイル,Inventory file - Tệp kiểm kê
プッシュ,push
シークレット,secret - bí mật
秘密鍵,ひみつかぎ - BÍ MẬT KIỆN-Khóa riêng /secret key
除去,じょきょ - TRỪ KHỨ- Loại bỏ
払い出す,"はらいだす - PHẤT XUẤT- Trả tiền, thanh toán; đuổi đi, xua đuổi"
スロット,slot - chỗ
ゼロダウンタイム,Zero downtime / Không gián đoạn
アーキテクチャ,architecture / kiến ​​​​trúc hệ thống
コンポーネント,component /thành phần
付与,"ふよ - PHÓ DỮ- cấp,gán (quyền)"
回避,"かいひ - HỒI TỊ- Sự tránh; sự tránh né
リスクを回避する： Tránh rủi ro"
遮断,"しゃだん - GIÀ ĐOẠN- ngăn cách, ngắt "
定常,ていじょう - ĐỊNH THƯỜNG- Trạng thái ổn định
人手,ひとで - NHÂN THỦ- Tay người; số người làm
介在,かいざい - GIỚI TẠI- Trung gian hoà giải; can thiệp
鍵,かぎ - KIỆN- Chìa khóa / key
公開鍵,こうかいかぎ - CÔNG KHAI KIỆN- Khóa công khai/ public key
採用,"さいよう - THẢI DỤNG- sử dụng, chấp nhận"
論点,ろんてん - LUẬN ĐIỂM - Vấn đề chính
コネクションキャッシュ,Connection cache - bộ nhớ đệm kết nối
懸念,"けねん - HUYỀN NIỆM- quan ngại, lo lắng"
洗い出し,あらいだし - TẨY XUẤT- tìm và đưa ra (vấn đề để giải quyết)
早期,"そうき - TẢO KÌ-  thời kỳ đầu, Giai đoạn đầu
早期発見: phát hiện sớm"
詰まり,"つまり - CẬT- Trạng từ: Nói cách khác,Tóm lại; rốt cuộc là
Danh từ: Sự tắc; việc bị nghẹt, Hồi kết; kết cục"
破壊,"はかい - PHÁ HOẠI- phá hoại, phá hủy"
