二日間,ふつかかん「NHỊ NHẬT GIAN」 Khoảng 2 ngày
動作,"どうさ「ĐỘNG TÁC」 động tác, hành động
例：機械の動作
Hoạt động của máy móc　"
指標,"しひょう「CHỈ TIÊU」 chỉ tiêu, chỉ số
このテストは学生の理解度を測る指標となる
Bài kiểm tra lần này là một chỉ số để đo độ hiểu bài của học sinh"
統計,"とうけい「THỐNG KẾ」 ◆ Thống kê
このデータは過去の統計を参照して作成された。
Dữ liệu này được tạo ra dựa vào tham chiếu các thống kê quá khứ"
政府,"せいふ「CHÁNH PHỦ」 Chính phủ,government
政府は物価を統制しようとしている。
Chính phủ đang cố gắng kiểm soát giá cả."
ざっと,"◆ Đại khái; khoảng chừng; ước chừng, xem qua
この書類にざっと目を通してください。
Hãy xem qua cái tài liệu này."
単独,"たんどく「ĐƠN ĐỘC」 ◆ Đơn độc; một mình
単独事故 : tai nạn tự gây ra"
上限,"じょうげん「THƯỢNG HẠN」◆ Giới hạn trên, giới hạn lớn nhất. Max()
上限数などはありますか có giới hạn số lượng ko thì bảo?"
準拠,"じゅんきょ「CHUẨN CỨ」 ◆ Căn cứ; cơ sở.
国際標準に準拠する。
Tuân theo tiêu chuẩn quốc tế"
世代,"せだい「THẾ ĐẠI」 ◆ Thế hệ; thế giới; thời kỳ. IT: phiên bản
私たちの親の世代には、まだまだ古い教え方の人が多い。
ở thời đại bố mẹ chúng ta, vẫn còn nhiều người có cách suy nghĩ cũ."
とする-NP,"N/Na + (だ)とする
A/V + とする
Diễn tả ý nghĩa ""cho là..., quy định là..."".
エラーとする: Quy định là lỗi"
値域,"ちいき「TRỊ VỰC」 tập giá trị (range)
この関数の定義域と値域を求めなさい。
Hãy tìm tập xác định và tập giá trị của hàm số này."
磁方位,"じほうい「TỪ PHƯƠNG VỊ」 phương vị từ tính hay hướng từ
このコンパスは磁方位を正確に示す。
La bàn này chỉ chính xác hướng từ tính."
コンパス,"la bàn/compass
このコンパスは磁方位を正確に示す。
La bàn này chỉ chính xác hướng từ tính."
ランウェイ,"Run away - Đường băng
ランウェイ詳細情報を削除する
Xóa thông tin chi tiết của đường băng"
にする-NP,"くする/にする/ようにする
Làm cho…
Aいく　✙　する
Aなに　✙　する
V (thể từ điển)/Vない　 ✙　ようにする
『くする/にする』diễn tả ý: làm cho sự vật, sự việc có được tính chất như tính từ A thể hiện hoặc có được trạng thái như động từ V thể hiện."
グルービング,Grooving - Rãnh
有無,"うむ 「HỮU VÔ」 ◆ Tồn tại hay không tồn tại
当該ランウェイのグルービング有無を設定する
Thiết lập xem đường băng có rãnh hay không"
主要,"しゅよう「CHỦ YẾU」 ◆ Chủ yếu; quan trọng
主要点: điểm mấu chốt
主要人物: Nhân vật chủ chốt"
渡す,"わたす「ĐỘ」 ◆ Trao, đưa IT: truyền parameter
プレゼントを渡す: tặng quà cho ai đó
"
コンボ,combo
未来,"みらい「VỊ LAI」 未来: tương lại xa, quy mô lớn, khách quan (của một tổ chức,...)
地球の未来のために環境問題について考えよう
Hãy cùng suy nghĩ về các vấn đề môi trường cho tương lai của Trái Đất"
端末,"たんまつ「ĐOAN MẠT」 Terminal--thiết bị đầu cuối, và thường được dùng để chỉ các thiết bị điện tử dùng để nhập
この端末からインターネットに接続できます。
Bạn có thể kết nối internet từ thiết bị này"
異なる,"ことなる「DỊ」 ◆ khác, không giống nhau
文化は国によって異なる。
Văn hóa khác nhau tùy theo các nước"
判定,"はんてい「PHÁN ĐỊNH」 phán định, đánh giá, phân định, quyết định kết quả
AIが画像を判定して分類する。
AI sẽ phân tích và phân loại hình ảnh"
諸元,"しょげん 「CHƯ NGUYÊN」 các thông số kỹ thuật, hay dữ liệu kỹ thuật chi tiết
この車の諸元表を見せてください。
Vui lòng cho tôi xem bảng thông số kỹ thuật của chiếc xe này"
半角,"はんかく「BÁN GIÁC」 số dạng half-width
郵便番号は半角数字で入力してください。
(Vui lòng nhập mã bưu điện bằng chữ số half-width.)"
成否,"せいひ「THÀNH PHỦ」 ◆ Thành công hoặc sự thất bại;
成否を返す: Trả về thành công or thất bại"
保持,"ほじ「BẢO TRÌ」 Bảo trì; Lưu, giữ, Duy trì,bảo tồn
設定を保持する
Giữ nguyên cài đặt
ログイン状態を保持する
Duy trì trạng thái đăng nhập"
見出し,"みだし「KIẾN XUẤT」 tựa đề, đầu đề (cc: trong mail)
新聞の見出し：A newspaper headline"
教材,"きょうざい「GIÁO TÀI」 ◆ Giáo trình, tài liệu giảng dạy
日本語の教材: giáo trình tiếng Nhật"
有識者,"ゆうしきしゃ「HỮU THỨC GIẢ」 Chuyên gia, người có hiểu biết sâu rộng
有識者の意見を参考にする。
Tham khảo ý kiến chuyên gia"
相当,"そうとう「TƯƠNG ĐƯƠNG」 
Tương đương với…
この資格は大学卒業と相当する。
Bằng cấp này tương đương với tốt nghiệp đại học.
Khá là... / Rất... (mức độ cao)
今日は相当暑いですね。
Hôm nay nóng thật đấy
Tương ứng / phù hợp
年齢に相当した服装を選ぶ。
→ Chọn trang phục phù hợp với độ tuổi."
ブリーフィング,"Briefing - Tóm tắt
フライト前にパイロットがブリーフィングを受ける。
→ Phi công nhận thông tin tóm tắt trước chuyến bay."
気象,"きしょう「KHÍ TƯỢNG」 thời tiết
気象条件: điều kiện thời tiết"
整備,"せいび「CHỈNH BỊ」 bảo trì, bảo dưỡng, hoàn thiện
車のエンジンを整備する。
Bảo dưỡng động cơ xe hơi"
機体,"きたい「KI THỂ」 ◆ Thân máy bay
機体の整備が完了した。
Bảo dưỡng thân máy bay đã hoàn tất"
乱気流,"らんきりゅう「LOẠN KHÍ LƯU」 nhiễu loạn không khí, hay nhiễu động không khí
乱気流のため、機体が大きく揺れた。
Do nhiễu loạn không khí, máy bay rung lắc mạnh"
機内,"きない「KI NỘI」 Bên trong máy(bay)
機内モード: Airplane mode: Chế độ máy bay"
機長,"きちょう「KI TRƯỜNG」 Cơ trưởng, phi công trưởng
機長の指示に従う: Theo chỉ thị của cơ trưởng"
搭乗,"とうじょう「ĐÁP THỪA」 ◆ Việc lên máy bay
搭乗時間: sắp đến giờ lên máy bay"
手荷物,"てにもつ「THỦ HÀ VẬT」 Hành lý xách tay
受託手荷物: hành lí kí gửi
受託 じゅたく「THỤ THÁC」 phụ trách, giao phó
Baggage"
受託,"受託 じゅたく「THỤ THÁC」 phụ trách, giao phó
受託手荷物: hành lí kí gửi"
貨物,"かもつ 「HÓA VẬT」 ◆ Hàng hóa; hành lí
貨物検査: kiểm tra hành lí
Cargo"
総重量,"そうじゅうりょう「TỔNG TRỌNG LƯỢNG」◆ Tổng trọng lượng
総重量が制限を超えたため、通行できません。
Do tổng trọng lượng vượt quá giới hạn nên không thể lưu thông."
夜間,"やかん「DẠ GIAN」 ban đêm
この辺りで夜間の一人歩きは危険だ。
(Đi bộ một mình buổi tối ở khu vực này thì nguy hiểm đấy.)"
離着陸,"りちゃくりく「LI TRỨ LỤC」 Sự cất cánh và hạ cánh
安全に離着陸できるように
Để an toàn khi cất và hạ cánh"
程度,"ていど「TRÌNH ĐỘ」 ◆ Mức độ; trình độ
ある程度理解しています。
Tôi hiểu ở một mức độ nào đó"
搭載,"とうさい「ĐÁP TÁI」 ◆ Sự trang bị;tích hợp
このスマートフォンは最新のAIチップを搭載している。
Điện thoại này được trang bị chip AI mới nhất"
最適,"さいてき「TỐI THÍCH」 thích hợp nhất, tối ưu nhất
運動はストレス解消に最適。
Vận động là thích hợp nhất để giải tỏa stress"
検討,"けんとう「KIỂM THẢO」 kiểm tra , cân nhắc, xem xét
ご検討ください。Xin hãy xem xét lại"
悪天,"あくてん「ÁC THIÊN」 thời tiết xấu
悪天候のために、  私は行きませんでした。
Do thời tiết xấu, tôi không thể đi "
定時,"ていじ「ĐỊNH THÌ」 ◆ Thời gian bình thường;
定時退社 tan sở thời gian quy định của công ty"
発する,"はっする「PHÁT」 ◆ phát ra, phát sinh, hoặc bày tỏ
彼は大きな声を発した。 Anh ấy đã phát ra âm thanh lớn
火山が煙を発している。
Núi lửa đang phun ra khói."
火山,"かざん「HỎA SAN」 núi lửa
火山が煙を発している。
Núi lửa đang phun ra khói"
