だから,vì vậy
それで,do dó
ですから,vì thế
そのため,do đó
したがって,"vì thế
明日は部長が出張だ。したがって、会議は中止だ。
Ngày mai trưởng phòng đi công tác. Vì thế cuộc họp sẽ bị hủy bỏ"
だって,Thì do
なぜなら,Lý do là vì
なぜかというと,bởi vì
というのは,tại vì 
というのも,"là do
最近とても忙しい。というのも、アルバイトを始めたからだ。
Gần đây tôi rất bận rộn, cũng là do tôi bắt đầu đi làm thêm"
じゃ,"thế thì, then
A「明日は台風が来るらしいよ。」
B「じゃ、遊びに行くのはやめよう。」"
それじゃ,"well then, thế thì"
だったら,"if that's the case, vậy thì"
それなら,"then, thế thì"
それでは,"thế thì, in that case"
しかも,"moveover, hơn nữa"
そのうえ,"furthermore, lại còn
あのレストランの料理は、とてもおいしい。そのうえ、安い。
Các món ăn của nhà hàng ấy rất ngon. Lại còn rẻ"
つまり,"Tóm lại
A「田中さんは、木村さんいだけ親切だよね」
B「つまり、木村さんを好きだということだね」
Tanaka chỉ tốt vs Kimura thôi nhỉ
Tóm lại, anh ấy thích Kimura phải ko"
要するに,"ようするに, Tóm lại - nói ngắn gọn là"
でも,"but, nhưng"
だけど,"hower, nhưng mà"
けれども,"hower, nhưng mà"
ところが,"hower, nhưng mà"
しかし,"but, nhưng, song
がんばって勉強した。しかし、テストの点はよくなかった。
Tôi đã cố gắng học, song điểm bài thì đã ko tốt"
だが,"nhưng, song, but"
ただ,"có điều, but"
ただし,"tuy nhiên
今日は牛乳が1本１００円です。ただし、1人3本までです。
Hôm nay, sữa tươi 1 hộp 100 yên, tuy nhiên 1 người chỉ dc mua tối đa 3 hộp"
または,"or/ hoặc
ご連絡は、メールまたは電話でお願いします。
Hãy liên lạc cho chúng tôi bằng email hoặc dt"
それとも,"Hoặc là / or
大阪へは飛行機で行きますか。それとも、新幹線で行きますか。
Chị đến Osaka bằng máy bay à Hay là đi bằng tàu shinkansen"
