制約,"せいやく「CHẾ ƯỚC」 Ràng buộc, bị giới hạn
このシステムはメモリの制約を受けています。
Hệ thống này bị giới hạn bởi bộ nhớ."
運営,"うんえい「VẬN DOANH」 quản lý, điều hành
会社を運営するのは簡単ではありません。
Việc điều hành một công ty không phải là điều dễ dàng."
進捗,"しんちょく「TIẾN DUỆ」 progress, tiến độ, tiến triển
プロジェクトの進捗はいかがですか？
Tiến độ của dự án thế nào rồi?"
分担,"ぶんたん「PHÂN ĐAM」 phân chia công việc, chia sẻ trách nhiệm
仕事を効率よく進めるために、役割を分担しましょう。
Để công việc tiến triển hiệu quả, hãy phân chia vai trò."
定例,"ていれい 「ĐỊNH LỆ」 định kỳ, đều đặn
毎週月曜日に定例会議があります。
Có cuộc họp định kỳ vào mỗi thứ Hai hàng tuần."
規模,"きぼ「QUY MÔ」 ◆ Quy mô 
この会社は中小規模の企業です。
Công ty này là một doanh nghiệp quy mô vừa và nhỏ."
改修,"かいしゅう「CẢI TU」 sửa chữa, tu sửa, hoặc cải tạo
この橋は安全のために改修が必要です。
Cây cầu này cần được sửa chữa để đảm bảo an toàn."
結構,"けっこう「KẾT CẤU」 ◆ Tạm được; cũng được
この映画は結構面白かったです。
Bộ phim này khá thú vị đấy."
タイミング,"timing thời điểm, thời cơ 
プロジェクトを始めるタイミングを見計らっています。
Tôi đang cân nhắc thời điểm bắt đầu dự án."
アプリ,"application ứng dụng 
このアプリは使いやすくて、デザインもきれいです。
Ứng dụng này dễ sử dụng, thiết kế cũng đẹp "
俎上,"そじょう「TRỞ THƯỢNG」 ""đưa ra bàn thảo luận”, “đưa ra xem xét”
この件はまだ俎上に載っていない。
Vấn đề này vẫn chưa được đưa ra xem xét chính thức."
サイクル,"cycle Chu kỳ; chu trình. 
来週、理科のサイクルテストがあります。
Tuần sau sẽ có bài kiểm tra định kỳ môn Khoa học."
性能,"せいのう「TÍNH NĂNG」 hiệu năng, hiệu suất, hoặc tính năng hoạt động
このパソコンは性能が高いです。
Chiếc máy tính này có hiệu năng cao."
復旧,"ふっきゅう 「PHỤC CỰU」 sự trùng tu; sự phục chế
地震の後、電力の復旧に数日かかりました。
Sau trận động đất, việc khôi phục điện mất vài ngày."
業務,"ぎょうむ「NGHIỆP VỤ」 nghiệp vụ, công việc chuyên môn, hoặc nhiệm vụ công việc
私は営業業務を担当しています。
Tôi phụ trách nghiệp vụ kinh doanh."
マニュアル,"manual sách hướng dẫn, tài liệu hướng dẫn, hoặc quy trình thao tác
この機械の使い方はマニュアルに書いてあります。
Cách sử dụng máy này được ghi trong sách hướng dẫn."
踏襲,"とうしゅう「ĐẠP TẬP」　Kế thừa, tiếp nối
従来の業務フローを踏襲して、新人研修を行います。
Đào tạo nhân viên mới sẽ được thực hiện theo quy trình công việc hiện có."
保障,"ほしょう「BẢO CHƯỚNG」 Bảo vệ, bảo hiểm, bảo đảm
社会保障: bảo hiểm xã hội

治療保障: bảo hiển trị liệu

安全保障: bảo đảm, bảo vệ an toàn

権利保障: bảo vệ quyền lợi"
プログラム,"program Chương trình 
このプログラムはデータを自動的に処理します。
Chương trình này xử lý dữ liệu một cách tự động."
沿って,"そって「DUYÊN」 ◆ Dọc theo, men theo
ルールに沿って行動の事：Hành động THEO nguyên tắc, luật lệ."
導通,"どうつう「ĐẠO THÔNG」 dẫn điện, sự thông mạch, hoặc kết nối điện thành công.
導通テストで断線が見つかりました。
Đã phát hiện đứt mạch trong quá trình kiểm tra dẫn điện."
粒度,"りゅうど「LẠP ĐỘ」 Granularity: độ chi tiết
テストケースの粒度を揃う
揃う そろう「TIỄN」 đông đủ,thu thập đầy đủ, chuẩn bị
Chuẩn bị đầy đủ chi tiết của testcase"
揃う,"揃う そろう「TIỄN」 đông đủ,thu thập đầy đủ, chuẩn bị
テストケースの粒度を揃う
Chuẩn bị đầy đủ chi tiết của testcase"
確保,"かくほ「XÁC BẢO」 đảm bảo, bảo đảm, hoặc giữ chắc
旅行のためにホテルを早めに確保しました。
Tôi đã đặt phòng khách sạn sớm để đảm bảo cho chuyến đi"
