就,TỰU - 訓: つーく / つーける - 音: シュウ / ジュ - 故事: Con chó (尤) đi bộ đến kinh đô (京) để thành TỰU (就) sự nghiệp - Ví dụ: 就く (つく) / 就職 (しゅうしょく) / 就業 (しゅうぎょう)
従,TÙNG - 訓: したがーう / したがーえる - 音: ジュウ / ショウ - 故事: Đi bộ (彳) theo sau 2 người (从) là đi TÙNG (従) - Ví dụ: 従う (したがう) / 従業員 (じゅうぎょういん) / 従来 (じゅうらい)
応,ỨNG - 音: オウ - 故事: Trái tim (心) nằm dưới mái nhà (广) có con chim (隹) là sự ỨNG (応) đáp - Ví dụ: 応じる (おうじる) / 応援 (おうえん) / 反応 (はんのう) / 適応 (てきおう)
訪,PHÓNG / PHỎNG - 訓: おとずーれる / たずーねる - 音: ホウ - 故事: Dùng lời nói (言) hỏi phương (方) hướng để đến thăm PHÓNG (訪) - Ví dụ: 訪れる (おとずれる) / 訪ねる (たずねる) / 訪問 (ほうもん) / 来日 (らいにち)
採,THẢI / THÁI - 訓: とーる - 音: サイ - 故事: Dùng tay (扌) hái quả trên cây (采) là THU THẬP/THÁI (採) - Ví dụ: 採る (とる) / 採用 (さいよう) / 採血 (さいけつ) / 採点 (さいてん)
募,MỘ - 訓: つのーる - 音: ボ - 故事: Dùng sức lực (力) để CHIÊU MỘ (募) người dưới ánh mặt trời lặn (莫) - Ví dụ: 募る (つのる) / 募集 (ぼしゅう) / 募金 (ぼきん) / 応募 (おうぼ)
雇,CỐ - 訓: やとーう - 音: コ - 故事: Dùng con chim (隹) dưới mái nhà (戸) để THUÊ/CỐ (雇) làm việc - Ví dụ: 雇う (やとう) / 雇用 (こよう) / 解雇 (かいこ)
総,TỔNG - 音: ソウ - 故事: Dùng sợi chỉ (糸) kết nối các trái tim (心) lại là TỔNG (総) hợp - Ví dụ: 総合 (そうごう) / 総額 (そうがく) / 総選挙 (そうせんきょ)
企,XÍ - 訓: くわだーてる - 音: キ - 故事: Con người (人) đứng lên (止) để XÍ (企) nghiệp hóa - Ví dụ: 企てる (くわだてる) / 企業 (きぎょう) / 企画 (きかく)
依,Y - 音: イ / エ - 故事: Con người (人) mặc quần áo (衣) để Y (依) lại - Ví dụ: 依然 (いぜん) / 依頼 (いらい) / 依存 (いぞん)
頼,LẠI - 訓: たのーむ / たよーる - 音: ライ - 故事: Người cầm bó đuốc (束) đứng bên cạnh cái đầu (頁) để cậy LẠI (頼) - Ví dụ: 頼む (たのむ) / 信頼 (しんらい) / 頼もしい (たのもしい)
比,TỈ - 訓: くらーべる - 音: ヒ - 故事: Hai người đứng cạnh nhau để so TỈ (比) - Ví dụ: 比べる (くらべる) / 比較 (ひかく) / 比率 (ひりつ)
較,GIẢO - 音: カク - 故事: Dùng xe (車) giao (交) nhau để so GIẢO (較) - Ví dụ: 比較 (ひかく)
評,BÌNH - 音: ヒョウ - 故事: Dùng lời nói (言) công bằng (平) để BÌNH (評) luận - Ví dụ: 評判 (ひょうばん) / 評価 (ひょうか) / 評論 (ひょうろん)
善,THIỆN - 訓: よーい - 音: ゼン - 故事: Con cừu (羊) nói lời thảo luận (言) là điều THIỆN (善) - Ví dụ: 善い (よい) / 改善 (かいぜん) / 親善 (しんぜん)
努,NỖ - 訓: つとーめる - 音: ド - 故事: Người nô lệ (奴) dùng sức lực (力) để NỖ (努) lực - Ví dụ: 努める (つとめる) / 努力 (どりょく)
購,CẤU - 音: コウ - 故事: Dùng tiền (貝) để CẤU (購) thành việc mua bán - Ví dụ: 購入 (こうにゅう) / 購買 (こうばい)
額,NGẠCH - 訓: ひたい - 音: ガク - 故事: Cái đầu (頁) ở trạm dừng (客) là cái trán hoặc số NGẠCH (額) - Ví dụ: 額 (ひたい) / 金額 (きんがく) / 額縁 (がくぶち)
納,NẠP - 訓: おさーめる / おさーまる - 音: ノウ / ナッ / ナ / トウ - 故事: Dùng sợi chỉ (糸) thu vào trong nhà (内) là thu NẠP (納) - Ví dụ: 納める (おさめる) / 納得 (なっとく) / 納税 (のうぜい)
景,CẢNH - 音: ケイ - 故事: Mặt trời (日) chiếu sáng lên kinh đô (京) là phong CẢNH (景) - Ví dụ: 景色 (けしき) / 景気 (けいき) / 背景 (はいけい)
資,TƯ - 音: シ - 故事: Dùng tiền (貝) vào lần tiếp theo (次) là TƯ (資) bản - Ví dụ: 資源 (しげん) / 資料 (しりょう) / 資本 (しほん) / 投資 (とうし)
益,ÍCH - 音: エキ / ヤク - 故事: Nước chảy vào cái bát (皿) là lợi ÍCH (益) - Ví dụ: 利益 (りえき) / 有益 (ゆうえき) / 収益 (しゅうえき)
株,CHU - 訓: かぶ - 故事: Cái cây (木) mọc ở vùng đất đỏ (朱) là CHU (株) thức/gốc cây - Ví dụ: 株 (かぶ) / 株式会社 (かぶしきがいしゃ) / 株価 (かぶか)
